title,description,published date,url,publisher,keywords,content
"Saham Bank Ini Diam-diam Bisa Kasih Cuan dan Dividen Gede, Pegangan LKH - Investor.ID","Saham Bank Ini Diam-diam Bisa Kasih Cuan dan Dividen Gede, Pegangan LKH  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU1Ni9zYWhhbS1iYW5rLWluaS1kaWFtZGlhbS1iaXNhLWthc2loLWN1YW4tZGFuLWRpdmlkZW4tZ2VkZS1wZWdhbmdhbi1sa2jSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Kalbe (KLBF) Habiskan Capex Rp 400 Miliar - Investor.ID,Kalbe (KLBF) Habiskan Capex Rp 400 Miliar  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDgzNy9rYWxiZS1rbGJmLWhhYmlza2FuLWNhcGV4LXJwLTQwMC1taWxpYXLSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Arah Pasar Sepekan dan Saham-Saham Potensial Cuan - Investor.ID,Arah Pasar Sepekan dan Saham-Saham Potensial Cuan  Investor.ID,2023-09-17,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDgyNS9hcmFoLXBhc2FyLXNlcGVrYW4tZGFuLXNhaGFtc2FoYW0tcG90ZW5zaWFsLWN1YW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Inocycle Technology (INOV) Optimistis Lanjutkan Kinerja Positif - Investor.ID,Inocycle Technology (INOV) Optimistis Lanjutkan Kinerja Positif  Investor.ID,2023-09-14,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDUyOS9pbm9jeWNsZS10ZWNobm9sb2d5LWlub3Ytb3B0aW1pc3Rpcy1sYW5qdXRrYW4ta2luZXJqYS1wb3NpdGlm0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"25% Porsi ESG, CIMB Niaga (BNGA) Terapkan Bisnis Berkelanjutan Lebih Baik - Investor.ID","25% Porsi ESG, CIMB Niaga (BNGA) Terapkan Bisnis Berkelanjutan Lebih Baik  Investor.ID",2023-09-13,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDA1MDAvMjUtcG9yc2ktZXNnLWNpbWItbmlhZ2EtYm5nYS10ZXJhcGthbi1iaXNuaXMtYmVya2VsYW5qdXRhbi1sZWJpaC1iYWlr0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Berkonsep Hybrid, CIMB Niaga (BNGA) Resmikan Kantor Cabang Masa Depan di PIK - Investor.ID","Berkonsep Hybrid, CIMB Niaga (BNGA) Resmikan Kantor Cabang Masa Depan di PIK  Investor.ID",2023-08-25,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzg5NjQvYmVya29uc2VwLWh5YnJpZC1jaW1iLW5pYWdhLWJuZ2EtcmVzbWlrYW4ta2FudG9yLWNhYmFuZy1tYXNhLWRlcGFuZGktcGlr0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"CIMB Niaga Gelar Konser Kejar Mimpi untuk Indonesia, Tampilkan Raisa hingga Titiek Puspa - Investor.ID","CIMB Niaga Gelar Konser Kejar Mimpi untuk Indonesia, Tampilkan Raisa hingga Titiek Puspa  Investor.ID",2023-08-25,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vaW52ZXN0b3IuaWQvbGlmZXN0eWxlLzMzODkyMy9jaW1iLW5pYWdhLWdlbGFyLWtvbnNlci1rZWphci1taW1waS11bnR1ay1pbmRvbmVzaWEtdGFtcGlsa2FuLXJhaXNhLWhpbmdnYS10aXRpZWstcHVzcGHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Mau Private Placement, Emiten Portofolio Lo Kheng Hong (BNGA) Minta Restu - Investor.ID","Mau Private Placement, Emiten Portofolio Lo Kheng Hong (BNGA) Minta Restu  Investor.ID",2023-08-24,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzODg2Mi9tYXUtcHJpdmF0ZS1wbGFjZW1lbnQtZW1pdGVuLXBvcnRvZm9saW8tbG8ta2hlbmctaG9uZy1ibmdhLW1pbnRhLXJlc3R10gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
CIMB Niaga Bakal Gelar Konser Kejar Mimpi untuk Indonesia 2023 - Investor.ID,CIMB Niaga Bakal Gelar Konser Kejar Mimpi untuk Indonesia 2023  Investor.ID,2023-08-17,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzgyNjgvY2ltYi1uaWFnYS1iYWthbGdlbGFyLWtvbnNlci1rZWphci1taW1waS11bnR1ay1pbmRvbmVzaWEtMjAyM9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Saham HMSP Terancam Keluar dari BEI Gara-gara Ini - Investor.ID,Saham HMSP Terancam Keluar dari BEI Gara-gara Ini  Investor.ID,2023-08-13,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNzk0NC9zYWhhbWhtc3AtdGVyYW5jYW0ta2VsdWFyLWRhcmktYmVpLWdhcmFnYXJhLWluadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"CIMB Niaga (BNGA) Cetak Laba Bersih Rp 3,23 Triliun - Investor.ID","CIMB Niaga (BNGA) Cetak Laba Bersih Rp 3,23 Triliun  Investor.ID",2023-07-31,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzY2OTQvY2ltYi1uaWFnYS1ibmdhLWNldGFrLWxhYmEtYmVyc2loLXJwLTMyMy10cmlsaXVu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
CIMB Niaga Dukung Pengembangan Usaha 50 UMKM di Indonesia Timur - Investor.ID,CIMB Niaga Dukung Pengembangan Usaha 50 UMKM di Indonesia Timur  Investor.ID,2023-07-21,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzU3MjcvY2ltYi1uaWFnYS1kdWt1bmctcGVuZ2VtYmFuZ2FuLXVzYWhhLTUwLXVta20tZGktaW5kb25lc2lhLXRpbXVy0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Bahana TCW Bidik Pertumbuhan AUM Reksa Dana Ritel 15% - Investor.ID,Bahana TCW Bidik Pertumbuhan AUM Reksa Dana Ritel 15%  Investor.ID,2023-07-17,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNTI5NS9iYWhhbmEtdGN3LWJpZGlrLXBlcnR1bWJ1aGFuLWF1bS1yZWtzYS1kYW5hLXJpdGVsLTE10gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Kisi-kisi Cuan Saham Bank, BNI (BBNI) dan BRI (BBRI) Pilihan Teratas - Investor.ID","Kisi-kisi Cuan Saham Bank, BNI (BBNI) dan BRI (BBRI) Pilihan Teratas  Investor.ID",2023-07-05,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNDIwNi9raXNpa2lzaS1jdWFuLXNhaGFtLWJhbmstYm5pLWJibmktZGFuLWJyaS1iYnJpLXBpbGloYW4tdGVyYXRhc9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
OCTO Mobile dan OCTO Clicks CIMB Niaga Permudah Pembelian Hewan Kurban - Investor.ID,OCTO Mobile dan OCTO Clicks CIMB Niaga Permudah Pembelian Hewan Kurban  Investor.ID,2023-06-21,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzI4ODMvb2N0by1tb2JpbGUtZGFuLW9jdG8tY2xpY2tzLWNpbWItbmlhZ2EtcGVybXVkYWgtcGVtYmVsaWFuLWhld2FuLWt1cmJhbtIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
TERPOPULER: Lo Kheng Hong Terpincut Saham Ini hingga Potensi Cuan BRIS (BSI) - Investor.ID,TERPOPULER: Lo Kheng Hong Terpincut Saham Ini hingga Potensi Cuan BRIS (BSI)  Investor.ID,2023-06-14,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzMjIwMi90ZXJwb3B1bGVyLWxvLWtoZW5nLWhvbmctdGVycGluY3V0LXNhaGFtLWluaS1oaW5nZ2EtcG90ZW5zaS1jdWFuLWJyaXMtYnNp0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Lo Kheng Hong Masih Setia sama 2 Saham Ini: Mau Beli Lagi, eh Harganya Naik - Investor.ID","Lo Kheng Hong Masih Setia sama 2 Saham Ini: Mau Beli Lagi, eh Harganya Naik  Investor.ID",2023-06-13,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzMjExNC9sby1raGVuZy1ob25nLW1hc2loLXNldGlhLXNhbWEtMi1zYWhhbS1pbmktbWF1LWJlbGktbGFnaS1laC1oYXJnYW55YS1uYWlr0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Lo Kheng Hong Ditanya Kenapa Akhirnya Diversifikasi: Suka Ketinggalan, tapi Duit Masih Banyak - Investor.ID","Lo Kheng Hong Ditanya Kenapa Akhirnya Diversifikasi: Suka Ketinggalan, tapi Duit Masih Banyak  Investor.ID",2023-06-10,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzMTg0MS9sby1raGVuZy1ob25nLWRpdGFueWEta2VuYXBhLWFraGlybnlhLWRpdmVyc2lmaWthc2ktc3VrYS1rZXRpbmdnYWxhbi10YXBpLWR1aXQtbWFzaWgtYmFueWFr0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"OCBC NISP Bakal Tebar Dividen Rp 1,3 Triliun - Investor.ID","OCBC NISP Bakal Tebar Dividen Rp 1,3 Triliun  Investor.ID",2023-04-11,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMyNjg5NC9vY2JjLW5pc3AtYmFrYWwtdGViYXItZGl2aWRlbi1ycC0xMy10cmlsaXVu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"CIMB Niaga Finance Raup Laba Rp 329,8 Miliar - Investor.ID","CIMB Niaga Finance Raup Laba Rp 329,8 Miliar  Investor.ID",2023-04-09,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMjY3MDIvY2ltYi1uaWFnYS1maW5hbmNlLXJhdXAtbGFiYS1ycC0zMjk4LW1pbGlhctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Diam-diam, Lo Kheng Hong Koleksi Saham Bank Ini - Investor.ID","Diam-diam, Lo Kheng Hong Koleksi Saham Bank Ini  Investor.ID",2023-04-06,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMyNjU2MC9kaWFtZGlhbS1sby1raGVuZy1ob25nLWtvbGVrc2ktc2FoYW0tYmFuay1pbmnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Cerita Lo Kheng Hong Jual Saham Induk Panin Bank dan Petrosea, Untung Gede! - Investor.ID","Cerita Lo Kheng Hong Jual Saham Induk Panin Bank dan Petrosea, Untung Gede!  Investor.ID",2023-03-23,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMyNTI2OS9jZXJpdGEtbG8ta2hlbmctaG9uZy1qdWFsLXNhaGFtLWluZHVrLXBhbmluLWJhbmstZGFuLXBldHJvc2VhLXVudHVuZy1nZWRl0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
CIMB Niaga (BNGA) Optimalkan Transaksi Nasabah Bisnis - Investor.ID,CIMB Niaga (BNGA) Optimalkan Transaksi Nasabah Bisnis  Investor.ID,2023-03-21,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMjUwOTkvY2ltYi1uaWFnYS1ibmdhLW9wdGltYWxrYW4tdHJhbnNha3NpLW5hc2FiYWgtYmlzbmlz0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Lewati Krisis Bertubi-tubi, Lo Kheng Hong: Saya Selalu Jadi Pemenang - Investor.ID","Lewati Krisis Bertubi-tubi, Lo Kheng Hong: Saya Selalu Jadi Pemenang  Investor.ID",2023-03-21,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vaW52ZXN0b3IuaWQvaW52ZXN0b3J5LzMyNTE1OS9sZXdhdGkta3Jpc2lzLWJlcnR1Yml0dWJpLWxvLWtoZW5nLWhvbmctc2F5YS1zZWxhbHUtamFkaS1wZW1lbmFuZ9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
BRI (BBRI) Bidik Bisnis Kartu Kredit Tumbuh 30% - Investor.ID,BRI (BBRI) Bidik Bisnis Kartu Kredit Tumbuh 30%  Investor.ID,2023-03-21,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMjUxMDEvYnJpLWJicmktYmlkaWstYmlzbmlzLWthcnR1LWtyZWRpdC10dW1idWgtMzDSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Siapkan Capex Rp 800 M, Mitra Keluarga (MIKA) Genjot Pembangunan RS Baru - Investor.ID","Siapkan Capex Rp 800 M, Mitra Keluarga (MIKA) Genjot Pembangunan RS Baru  Investor.ID",2023-03-21,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMyNTEwMC9zaWFwa2FuLWNhcGV4LXJwLTgwMC1tLW1pdHJhLWtlbHVhcmdhLW1pa2EtZ2Vuam90LXBlbWJhbmd1bmFuLXJzLWJhcnXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Lo Kheng Hong Masuk 20 Pemegang Saham Terbesar Bank CIMB Niaga (BNGA) - Investor.ID,Lo Kheng Hong Masuk 20 Pemegang Saham Terbesar Bank CIMB Niaga (BNGA)  Investor.ID,2023-03-17,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMyNDc2OS9sby1raGVuZy1ob25nLW1hc3VrLTIwLXBlbWVnYW5nLXNhaGFtLXRlcmJlc2FyLWJhbmstY2ltYi1uaWFnYS1ibmdh0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Selamat Tinggal ARB Asimetris, Relaksasi Pasar Modal Berakhir!! - Investor.ID","Selamat Tinggal ARB Asimetris, Relaksasi Pasar Modal Berakhir!!  Investor.ID",2023-03-02,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LWFuZC1jb3Jwb3JhdGUvMzIzNDMwL3NlbGFtYXQtdGluZ2dhbC1hcmItYXNpbWV0cmlzLXJlbGFrc2FzaS1wYXNhci1tb2RhbC1iZXJha2hpctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Laba Lampaui Ekspektasi, Begini Prospek Saham CIMB Niaga (BNGA) - Investor.ID","Laba Lampaui Ekspektasi, Begini Prospek Saham CIMB Niaga (BNGA)  Investor.ID",2023-02-20,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LWFuZC1jb3Jwb3JhdGUvMzIyMjk0L2xhYmEtbGFtcGF1aS1la3NwZWt0YXNpLWJlZ2luaS1wcm9zcGVrLXNhaGFtLWNpbWItbmlhZ2EtYm5nYdIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
OCTO Mobile CIMB Niaga (BNGA) Mulai Normal dan Bisa Diakses Kembali - Investor.ID,OCTO Mobile CIMB Niaga (BNGA) Mulai Normal dan Bisa Diakses Kembali  Investor.ID,2023-02-19,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMjIyMzkvb2N0by1tb2JpbGUtY2ltYi1uaWFnYS1ibmdhLW11bGFpLW5vcm1hbC1kYW4tYmlzYS1kaWFrc2VzLWtlbWJhbGnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
