title,description,published date,url,publisher,keywords,content
"Valuasi Super Mahal, IPO Bren Prajogo Pangestu Layak Beli? - CNBC Indonesia","Valuasi Super Mahal, IPO Bren Prajogo Pangestu Layak Beli?  CNBC Indonesia",2023-09-21,https://news.google.com/rss/articles/CBMivgFBVV95cUxQUlRIRTc0Mi00Y3NJSkZBRmdVbHBmMEJsR2hXd1BQb2JVS0xSdWM4WkN4VlJBdjdRQkJzdWRGcHJKcGlJX0lQVUdkVUpzelNFdlhyR1F1TjVkNlhiYjZrRndkYW02WlgwMkNUQzJ5NUdrTHFSTHNXc2VtYWx5VGhJSmtwY09wVTU2eE5mUVRQcFJsQTNDa1BxZTNydTVuNkxIbkZDblloRFFwbFhyYS1idF9UU2pIbzNXeFJveXhR?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Prajogo Pangestu Borong Saham BRPT 4,6 Juta Lembar - CNBC Indonesia","Prajogo Pangestu Borong Saham BRPT 4,6 Juta Lembar  CNBC Indonesia",2023-09-18,https://news.google.com/rss/articles/CBMisAFBVV95cUxOb1hDUExkbmJRd2wycVFmNS1TRFpWRUZ3SWMzb1BZWDU1WTZnckFmSVpSazdfcngtOVY2czdxYWZHTVYzWEkzbEJ5ekVaNmJuREpzZXpXVG0xTnZreTNlVTA4aXVHNzVaVm9Mei1xUF96RHNZSnRDRXJBODlwRkZyX2pwTHkzSXdjNmpHUWJHUzZHQ2hOX1RqYkNyNlE5QWJobkROdmNYc3N6ZDdDUmdTStIBtgFBVV95cUxPRWhGdmF5aGY2dFdRUWdRenI2MWNjcU13N0xCbDVNUzVPdWtsbmQzNUZpRVpLRkd6eFZaZVRBNTlEdWM1eV9jcXRhTGRVdUhfZ0xHWGxuV2JqSTdpYVFQRkI1SDZaSC1NeE5EZW1Wel8yS2RkUlhTZUNLbGxIcmgwYWRUX3NIejNDeEg2ZGdXNzZydGxTb29welRJNG5La2t1YWpNeW5mbVFPdUotSG5QRnZIMzFHQQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Trio Saham Prajogo Ngacir Lagi, Gegara Ada yang Mau IPO Lagi? - CNBC Indonesia","Trio Saham Prajogo Ngacir Lagi, Gegara Ada yang Mau IPO Lagi?  CNBC Indonesia",2023-09-18,https://news.google.com/rss/articles/CBMivgFBVV95cUxPUzdfdi1KcS1GTGNYLVdzUTJBc2dKcVgyUExVUFU4OE1XVVgxc0ZhazFNTGtUX1V1cUhBUVJ6amZ1WThzc2tHbTJZVmFFaG9JT2dXRHF5bVVIODVsbC1VaFVMN1RDNl8zeFBhNjFLUkd4MzlLcEc2eHViZFBmdi1OVmFfRmZMOHdMeklMUnFRMzhtNkpKMWo1Zk1ZSkxFMHdrMF9JU2xFc3VtRF8wanp3aU45QWx2WVR2eUUtZk1n0gHDAUFVX3lxTE0wb3ZzeWNTa3g4QzV2Y1ZJeTcxc0JVVGhtTllFWUVDQWhEcWxuOF90M3FacFJlRU95YjdManNRbUVHZzFaSXUxbDFhemZvN0RtbFpOVVBFQmJvVlFadzh3WVZzcWtLTTE2MF9jamFGQXFiUVFqRTVTOThJd01VXzBGbWI1TGsxZExqVEtqRE8xdDluaVBucUJ2NGd2ekxfSHZ3ZFRPeU1vV2JnbnBxQXJ0bE1hbkZZOTNTOTR1a19LZU1ZRQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Mega Proyek IKN Dimulai 2023, Investor Kakap Ikut Serta - CNBC Indonesia","Mega Proyek IKN Dimulai 2023, Investor Kakap Ikut Serta  CNBC Indonesia",2023-09-18,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbFp6aV9RR1FxWE9TSUpYZEJ5d2phY2tuTTRZTFN6b1ZmMGJ0ZXQ4aU1nTXhOR1JEc0dSdlV0VXZ5RW1EMVNMVGJWNzN5VlFLRFNET2E5U2J5VngwLTZtSUdtV2xDQ2RXaWNVbkVzaVlLMlpsSjlMSUJEYV8ySFNkTk4zYUIwTGNtbDZaSmZ5TVNtQkZSM2FtZlY2NUF3bUxDZGFQSFZRTEx2TFlLSUlCaUNTb0NQb0HSAbwBQVVfeXFMT0dydl84YlFfYXZaRlpFT3pybFpTRzFsX2hWNkJZYXdibFpzV2tWX1NCLXNOMzhNTHQ1UFVsRk5ENzhoR3JyRjRzZGlDRk1CWmNkVm5hMHBwSFVQWENQcG5VdGxNYzJVVUxjcDJvcW04Mllpcy1FaGhEZ0paZ081eHI3OFN1dnVCVzYxTGp5Tk5HWDNHVUlpOTJaNVF5VVVMekF5S3AzMWlUOTdVa2s5ZXM2WkZOck4tc21kSjM?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Anak Usaha Prajogo Pangestu Mau IPO, BREN Bidik Rp 3,51 T - CNBC Indonesia","Anak Usaha Prajogo Pangestu Mau IPO, BREN Bidik Rp 3,51 T  CNBC Indonesia",2023-09-15,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPVVNvd1hIanFDT3Zab2NScC1xTFMtRUMzcmZLYXFIRXYxMWl6UUJ1XzJ5Y3dvRGtkQVNwSkp4S1ZuM0tDUXRIOTdfcGZjNHNWYTY2UDJNR1ZEbGFhc0VoZElRUng2Q3E3YmlVTldhZEFaWm05cHlMLW1iczQyNVJBUGtUcThPRHpMQ3cxUDV4U21Db0dqcFFDSDg2dmFnSDZlMldJd0R1WU9wTmZweHp2SnBDT2ZvUUNI0gG-AUFVX3lxTE5FaUppM0RyM2JYX1d0Q2l3eGdfSHUwbmZkTEZkSXpRamZ2SDFRNXh0TlhfdVRoc241TzBOU2dDY3gyZ0NBY3d1XzI4bHpBOEhmTV9EUWpvTkxxaXZMdGpXUmRxVFk5Y3B2c3VVUXBGeG96NE9HMllsak9YbmlZNUpmQjNUcm44c0VXUzR5SXpLYnM3cnNsVGM4aGVjalZ6ekxUR0h2LTN5WVBnSk9DNDRHcTAxQXdreFVjMEllWEE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Tiga Saham Ini Melejit Barengan, Prajogo Makin Tajir Dah - CNBC Indonesia","Tiga Saham Ini Melejit Barengan, Prajogo Makin Tajir Dah  CNBC Indonesia",2023-09-14,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPcE9nNHJjSENtZHV1YlpFQm9hVndyT0lSTzNnYXNtQ0dUY0oySDdsYTBoU09Cb2taMm8xNUR4R2V4Nml1R0U5emd0VjhFNV9tb3FFajFXU2pTb2dxSWUxdXFFZmE1TGo0T1I5Wi12bTRYZ3dySGJKT1pLVnI1M3h6RThMV1YtLUhIMTMweXBIVGZMTDhxSTZBVmZLOG50UjNUanVFMkZfczZYeEtRdlNDZGttMThvVEth0gG-AUFVX3lxTE1tc0FHU1pQbXFlRDJRUDVkVndxUmdON0Y3T0NqSmVJdFFsd3p0c3QwQkdSY1BMOWhXaTZzOHFaTU82LVFBSFV0SHAwMmpBV0pkSHRwLWxpaXJKNUNzaGdRNWpBQy1uek5lOXM4bGJHNmtBcFZWcXFyYXk5cTNmWWNNZ3cwYlBuRzNWRkRwek1wYUVwUTJRNXlSanl5cEFObzM5ME9NZTdkRFF5blFQZW5PSm5INmltcDU2WlRhbmc?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Harta Prajogo Pangestu Naik Rp11,35 T Semalam, Kok Bisa? - CNBC Indonesia","Harta Prajogo Pangestu Naik Rp11,35 T Semalam, Kok Bisa?  CNBC Indonesia",2023-09-14,https://news.google.com/rss/articles/CBMitgFBVV95cUxNTUhZUVVLOVY3YWRnb0xidjRzRi1uRVNtRXgtZGZsT2UzRTRBTFpXUEZVNl9tMmdSamVBc01lLXlJR3ZQTlJ3ckctZjlxZEZ1Zmt1bVFJMWVUZkVxN1QzSjJ0TktOQ3dabHRBbnhaWTh2cWtkZm5qTUJ1Yk4zOXRlbXZvTFUyQ2lNZlBVMVVpTzhPalB6SWlFaWZtYWliNTlSa3RxVldMZFJEdE1kbFJkcndxU28xUdIBuwFBVV95cUxQOVVxVEhCazE2RmZnb19qem5jeDJwQldoS3VNU1dabm0xaHhNLTMxN0ZCR2cySjE3dV9SWk9pZDdiN29DZF9SNldOMVBwZEtNOHAzeElaaTZVUm9iVlM4Q1RlekxyakhkRk5GaXcxZXRUS3RjMXJYQWxFanZKRVJSNUdObkJZQ1BtYnFYS241aV9MVEhxUDZockYxSFBfeWpGT2wyNVUyQ01yVnpHVng4R2h5OUtrNUx4a3k4?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Efek Pengendali Borong Saham, Emiten Ini Cuan Besar - CNBC Indonesia","Efek Pengendali Borong Saham, Emiten Ini Cuan Besar  CNBC Indonesia",2023-09-11,https://news.google.com/rss/articles/CBMisgFBVV95cUxNS3lEN1pubVpSekx2ck14Nk5yQjhIa1JGS3VVQVZvM2N3ZVpRVjJqR1NuYzZGNjBvUl91R01TV3NZVGRoUnYzb1JRZ2Z1NzN0QVNKd01Bb2t2clBBZDYwbm5OWVFVQTFScWRDbEZING90eUZMbi1FcmkzMGRBUFZETDJ4LTRTUklNMTFhems1QVFNZFhBRDR5eWNnSm9rUHhHOWE1YlEzdGIzd1RESlpxcTFR0gG3AUFVX3lxTE9fRVFodkdxQlBOWWI5UWxEU3dZTmJBc0FZWmhMYkF1WGFiczdHS0gyTk5qb3lFbjBxRTZjVGtLZDA5eGtOMEE0N1RLdjFfeTZfcHRFdXNvY0hneExkWjZrelZPWlJJZGQxNTh0NnJvS1djUmZTSUtTR18teXhGRDFXX3FoSjI0X3lkb3RkbFNRSDdPMTU2c0xkMVVKaTdpY2loUzJCMmNQRy1oRUp2Ymh2V1NkSFpYQQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
"Satu Naik, Satu Turun! Saham Prajogo Pangestu Ramai Lancar - CNBC Indonesia","Satu Naik, Satu Turun! Saham Prajogo Pangestu Ramai Lancar  CNBC Indonesia",2023-09-04,https://news.google.com/rss/articles/CBMiugFBVV95cUxQdFRwcEdsRXB3X2xtWlV0OEY2cmdTNkhxcnV6dG5DZFB1ajNFZ2xfVWo1djV0SWk1d0k2M0JqdGVqRTBJZGpkYUNWeUVlaDZ3c211R1VTcUp6MTIyRFVnNzcyV0FBX1VWWmRvYjBOTUtGTDRiZXZrdXc4THRWM0ZmcGVjSl9oWDROYktSdHRQR0ZVNkJNSkIxdXlRRkxfTTk0R0tVTDNyWmdlOExRcm1wUGF1N3VGZ2Y0WFHSAb8BQVVfeXFMT0ZnNkNiVkc2bHJmNnJwTVQzdTROZ2ZueGJGcGx1MzgwWkJvVW10aFlWVVBXTm9uTkl1bndyZl9vaDNWNUUzODROd2dnS3o0TjEzLS13cGlKeVBfWGVTOWJTQW4tUnlhb25fWFhjQlpmS3l6YnYxcWZRaE94cVFJUTNJSEppaEVRZHBaTDRzZFVKLTRVcEZTck5sYnZ1bDlRdGQxRkhtQ3J6bUlqRzgyZ3RuQ01uNHhHODdJcUsyYW8?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
Hotman Paris Pakai Sepatu Lebih Mahal dari Prajogo Pangestu - CNBC Indonesia,Hotman Paris Pakai Sepatu Lebih Mahal dari Prajogo Pangestu  CNBC Indonesia,2023-09-04,https://news.google.com/rss/articles/CBMivgFBVV95cUxQQjQteXI3S21nZW9EdHRJWFBhMWl1cV9TejVwNXdKYjNkNkhtYmpvVFdlVTd3d1hHemw4UUh2elZwdjV0YTI0dUlCT2RySXJlZWhtVWI1VDFlTE5SNUVtQ3hyYmZMUG9UU0E5WG82Y2xIRjBGejlEcjVHQXozLXhhc21KT09MbHJ6SE4zb29HOVIzUFVmOGlJSzJFRU5EX1NRY09GQmxVQjRrU3plcl95N1lTZ3RveS01cVhPQ2l30gHDAUFVX3lxTE9uVndaeURwYlA0WFNDdWxGcjVmVThKQzZEdkZpRHVFekFnaEp3ZVdkZWk3dnhOeGMyS0RwVTZzWThpcU9ybDBUOTE3Nno4Y3BEM1JuUjg5N0FKQV9zVnBsdjBwU0RQaUpybDZfTlV1aDdfS1c4dGNob1lBQnVwQ09MTVhhcEthTjVlU3VTUW5pbHJucXJQSmM3SVJ5d2U3dlJWbl9hdHJDUGJPTmlSRlJSUURKY0NtbUdLWTUzLU5CeW5fZw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://www.cnbcindonesia.com', 'title': 'CNBC Indonesia'}","['google', 'news']",
