title,description,published date,url,publisher,keywords,content
"Barito Renewables (BREN) IPO, Ada Riwayat Transaksi Saham Bulan Mei, Nilainya Besar - Investor.ID","Barito Renewables (BREN) IPO, Ada Riwayat Transaksi Saham Bulan Mei, Nilainya Besar  Investor.ID",2023-09-22,https://news.google.com/rss/articles/CBMiswFBVV95cUxPaXhlbm1oenFlbkI2VEw1eDgzNEc0VmlaZmhjejY3Qzd1bnVObjlGS0Fyd1hNdVlmR1VablZXd3ZRdFN3Rmxvdjg3U2ZLVGxzdk1QdmtBVFo1TmhKd0luZGRBdmFPUjhwemkwMWpERHdlYmhGekdZOU5mMVVoank3TnZkcXB3V3NfcUh6S05ybDltUlYtU2JLUUtKSXNrT3N5bmpOTXVKaGtWOTRGWXFzNzczTQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"IPO BREN Dongkrak Barito Pacific (BRPT), Target Harga Sahamnya Baru - Investor.ID","IPO BREN Dongkrak Barito Pacific (BRPT), Target Harga Sahamnya Baru  Investor.ID",2023-09-20,https://news.google.com/rss/articles/CBMinwFBVV95cUxONHVJbC1ZbG9rSnFWTWVtOWhKOVh4VVpELWdtaDZiUFAwUDdDN1NRWHBYV2JVX3I2YjN2NHhZVndIVEpUMTZFX25NRzlyWXc1aFpwbFF4cDdvNTlzWVkyWkxMWUxWOXJnd2pVSUh5ZzdrSUFDRGdjX3B0TU9LMzJUN25KV2dXRGRuRDl0Wl8xYWplUVFueWF5a0pGcHFDX00?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Kupas Tuntas Barito Renewables (BREN), dari Valuasi hingga Ekspansi - Investor.ID","Kupas Tuntas Barito Renewables (BREN), dari Valuasi hingga Ekspansi  Investor.ID",2023-09-20,https://news.google.com/rss/articles/CBMinwFBVV95cUxOMUNpQVdMdjVGX3Q0U0hzQjdYUVRxT29GdGxUZjM4VUtlUnBUY3Y0NWNidXVpeG5zaFBjVnBjMDI5cEM0dVB2SlNYWTROYUNTM2xVVDRVT1FDeU12XzViZlpTRHF3XzVhVk03SzRtdHFqLWg0bHN5bzNZcjdtMkc0bHF3VFh5RnVTYVRnMEpGOW9ibVdqRjRLUk1DRkRsOXc?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Barito Pacific (BRPT) Tembus Barisan Emiten Elite - Investor.ID,Barito Pacific (BRPT) Tembus Barisan Emiten Elite  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOWduNERSc094LVJYRG5wUDgySGt3cTUyekduSC1BRGJHM0otOV9kcWV1T3BJTzM0WTNCNlc0WW8wdWpnVmg4SFJPbEpSNTZkeDZaRUZPVVZhUWlqOTJYbkRkN0wtYVNmc1FjZ1RZRHpncjBTaU9fQWZXOG4wUDl0LXVKX1dRNzk5?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Barito Renewables (BREN) Masuk Top 5 Dunia, Saingi Enel hingga EDC - Investor.ID","Barito Renewables (BREN) Masuk Top 5 Dunia, Saingi Enel hingga EDC  Investor.ID",2023-09-18,https://news.google.com/rss/articles/CBMingFBVV95cUxOR0ZlTWhSVHlrQ2ZOTl84M3Bma0dtbWxUem1UajNMSExHdjJmaTVaSE1zcmdCRUlXOHRSR1RjeENHWVFNRDIyaEY2dGJLUUsyOS1lZ3lfcEpKazRXWWR0a0JuQ3BTUGpfbWNDVHBtZF9PdkYxZVUzSGM2M0FhREF3LTJ5amp0SHphbEx1bC1PeUFNeDlwcTRjX0s3QkozUQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Untung Rp 1,4 Triliun, Barito Renewables Energy Janjikan Dividen 60% - Investor.ID","Untung Rp 1,4 Triliun, Barito Renewables Energy Janjikan Dividen 60%  Investor.ID",2023-09-17,https://news.google.com/rss/articles/CBMioAFBVV95cUxPOE1pWVhLaGdWUGFrckM3T1BCM2RNaHBEdTV6eGY5cWxKeWVwZE9SeXRvM2NaTnlFMl9lZGVLN0xnR0ttdURqbDVIeUF6bjBCb3M0Uk4taUpNTVY1Y2VsV2hZdVo1TFBvbnVCYlVUSm43RE5sbWhKNzRsYUtWN3AxcnU3OVNrbWJQalFPX0dWZm5BRnFvdloybEwzSVM5ODRZ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Sebelum Barito Renewables (BREN) Umumkan IPO, Prajogo Pangestu Borong Saham BRPT - Investor.ID","Sebelum Barito Renewables (BREN) Umumkan IPO, Prajogo Pangestu Borong Saham BRPT  Investor.ID",2023-09-16,https://news.google.com/rss/articles/CBMisAFBVV95cUxQYUVlc0VoQUdLV2hVVmhReUJZb1ZYdGhPd0tPN2dyWDdYQ1BkdEc5dFF5S3E0bVNVQV9SZktLM3Ixd25sV001UXlIU3ktNTg3ZUV0X0FPT0FnMVlqY081azBJbWd2UVl6TDYyeUFQYURSbTJnU0oyWWtUQjZleHpoLTFQcFNuWmRWOS1fMk9jenI3ckE2WHhPUGhEby1vVW1wMXVWaE9nbnE2T0hKTF9GWQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Bawa Satu Lagi Perusahaannya IPO, Prajogo Pangestu Mantan Sopir Angkot Kini Berharta Rp 161 T - Investor.ID","Bawa Satu Lagi Perusahaannya IPO, Prajogo Pangestu Mantan Sopir Angkot Kini Berharta Rp 161 T  Investor.ID",2023-09-16,https://news.google.com/rss/articles/CBMixAFBVV95cUxNNXdRT2wxdU5ocTUzbUlUS05JVHlnZkJ3d2JmT3pCVXppbGxJLUhuM09UUS13NGRHMS1aeTZ5RnpOUW9lNV94TmdkSng4cnNBWEM1SklpT08yWUdpOWJiM2gzMkJ6b2ZvN3FQa0ctRU1NendiTl81LU9Wc3doWnR0YUl0dlJTSkE2alZ4N2phd3RNY2IyQldUajFMSUlkS1F3Q0JwZ053NGRhbE45cnNOc2Z2SVVHYWoxOW1vU1pBWjRydEp0?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
BREN dan PGEO Berebut Posisi Puncak di Bisnis Panas Bumi - Investor.ID,BREN dan PGEO Berebut Posisi Puncak di Bisnis Panas Bumi  Investor.ID,2023-09-15,https://news.google.com/rss/articles/CBMilAFBVV95cUxOTjZ2WmtVVm5PYlp1UkgtUVIxb2ZrY25ZSHpvRm9BWEdiRE5VOWt1OWMyXzJoR01ZUFVxZ21WYnRlYjhVdVlDZE5ObUNOSWZBbk1WYmFpWG9ucGR6Sk9uOFpFSTk1QlBQekMwVDFzR2VOUjdaaDJQaFAwY25HOS1HcVJOc3VlWTNhUkV2UnF2aXlWWmc3?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Siap IPO, Market Cap BREN Tembus Rp 100 Triliun Lampaui PGEO - Investor.ID","Siap IPO, Market Cap BREN Tembus Rp 100 Triliun Lampaui PGEO  Investor.ID",2023-09-15,https://news.google.com/rss/articles/CBMimAFBVV95cUxNM3F6X2VKMFB0X0QwSjJzQjFobFdQRGRzX2dfejlEWDgtSUVab0g5OUNVYlAtdE9iSHdZaTFXNDBGdXJnNEQycHNHdHBFMGZkd0RjdXN0djd0aFlrSUlMMno0OU5yQnJhRlk5dE9xOU5tQzJQNUZ6OGJSOHVLa0lLVFcwa2dfQ2p2OVpfdmJ3cU95YXgzanhleA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
