datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12,IDX:EXCL,2650.0,2850.0,2640.0,2790.0,12865400.0,,,,,,,,,,,,,,,hold,hold,hold,buy,hold
2018-07-13,IDX:EXCL,2800.0,2840.0,2790.0,2790.0,6058200.0,,,,,,,,,,,,,,,sell,hold,hold,buy,hold
2018-07-16,IDX:EXCL,2790.0,2820.0,2670.0,2680.0,8230000.0,,,,,,,,,,,,,,,buy,buy,hold,hold,hold
2018-07-17,IDX:EXCL,2680.0,2740.0,2610.0,2730.0,8886000.0,,,,,,,,,,,,,,,buy,buy,hold,hold,hold
2018-07-18,IDX:EXCL,2760.0,2960.0,2740.0,2840.0,15362500.0,2766.0,2766.0,,,,,,,,,,,,,hold,hold,hold,hold,hold
2018-07-19,IDX:EXCL,2870.0,2940.0,2760.0,2800.0,17674200.0,2768.0,2777.333333333333,,,,,,,,,,,,,buy,hold,hold,hold,hold
2018-07-20,IDX:EXCL,2800.0,2890.0,2800.0,2850.0,9439800.0,2780.0,2801.555555555556,,,,,,,,,,,,,buy,hold,hold,hold,hold
2018-07-23,IDX:EXCL,2870.0,2980.0,2850.0,2980.0,10532600.0,2840.0,2861.037037037037,,,,,,,,,,,,,hold,sell,hold,hold,hold
2018-07-24,IDX:EXCL,2990.0,3070.0,2930.0,2980.0,13567800.0,2890.0,2900.6913580246915,,,,,,,,,,,,,sell,sell,hold,hold,hold
2018-07-25,IDX:EXCL,2970.0,2970.0,2860.0,2870.0,12412100.0,2896.0,2890.4609053497943,2831.0,2831.0,,,,,,,,,,,hold,sell,buy,hold,hold
2018-07-26,IDX:EXCL,2900.0,2920.0,2800.0,2830.0,10838000.0,2902.0,2870.307270233196,2835.0,2830.818181818182,,,,,,,,,,,buy,sell,buy,hold,hold
2018-07-27,IDX:EXCL,2850.0,2890.0,2800.0,2880.0,5143800.0,2908.0,2873.538180155464,2844.0,2839.7603305785124,,,,,,,,,,,sell,sell,buy,hold,hold
2018-07-30,IDX:EXCL,2900.0,2930.0,2800.0,2820.0,9288400.0,2876.0,2855.6921201036425,2858.0,2836.167543200601,,,,,,,,,,,sell,hold,hold,buy,hold
2018-07-31,IDX:EXCL,2800.0,2800.0,2700.0,2750.0,21364700.0,2830.0,2820.461413402428,2860.0,2820.500717164128,,,,,,,,,,,hold,buy,hold,buy,hold
2018-08-01,IDX:EXCL,2790.0,2790.0,2700.0,2730.0,15953400.0,2802.0,2790.307608934952,2849.0,2804.046041316105,,,,,46.42857142857143,,,,,,hold,buy,buy,buy,hold
2018-08-02,IDX:EXCL,2730.0,2790.0,2720.0,2730.0,5633200.0,2782.0,2770.205072623301,2842.0,2790.583124713177,,,,,46.42857142857142,,,,,,hold,buy,hold,buy,hold
2018-08-03,IDX:EXCL,2730.0,2760.0,2720.0,2730.0,7399200.0,2752.0,2756.803381748868,2830.0,2779.568011128963,,,,,46.42857142857144,,,,,,buy,buy,buy,hold,hold
2018-08-06,IDX:EXCL,2760.0,2850.0,2720.0,2850.0,17878400.0,2758.0,2787.868921165912,2817.0,2792.3738272873334,,,,,54.5398112895216,,,,,,buy,hold,buy,hold,hold
2018-08-07,IDX:EXCL,2870.0,3080.0,2860.0,3050.0,37255300.0,2818.0,2875.245947443941,2824.0,2839.214949598728,,,,,64.25414711912754,,,,,,hold,sell,hold,hold,hold
2018-08-08,IDX:EXCL,3080.0,3080.0,2990.0,3050.0,9554100.0,2882.0,2933.4972982959607,2842.0,2877.5395042171403,2836.5,2836.5,,,64.25414711912754,,,3045.8107737313107,2836.5,2627.1892262686893,buy,sell,hold,hold,hold
2018-08-09,IDX:EXCL,3050.0,3170.0,3050.0,3160.0,15917200.0,2968.0,3008.998198863974,2875.0,2928.8959579958423,2855.0,2867.309523809524,,,68.54204489807654,,,3105.878456627906,2855.0,2604.121543372094,sell,sell,hold,hold,hold
2018-08-10,IDX:EXCL,3180.0,3190.0,3060.0,3070.0,5235500.0,3036.0,3029.3321325759825,2894.0,2954.5512383602345,2869.0,2886.6133786848072,,,61.990026755525065,,,3134.6237941149097,2869.0,2603.3762058850903,sell,hold,hold,hold,hold
2018-08-13,IDX:EXCL,3030.0,3030.0,2820.0,2850.0,17348500.0,3036.0,2969.554755050655,2897.0,2935.541922294737,2877.5,2883.126390238635,,,49.52696827185611,,,3128.8861571367843,2877.5,2626.113842863216,sell,buy,buy,hold,hold
2018-08-14,IDX:EXCL,2840.0,2840.0,2720.0,2730.0,29144200.0,2972.0,2889.7031700337698,2895.0,2898.170663695694,2877.5,2868.542924501622,,,44.29569316216365,,,3128.8861571367843,2877.5,2626.113842863216,buy,buy,buy,buy,hold
2018-08-15,IDX:EXCL,2730.0,2920.0,2640.0,2920.0,22130500.0,2946.0,2899.8021133558464,2914.0,2902.1396339328408,2881.5,2873.4435983586104,,,52.79711219755194,,,3132.917978672966,2881.5,2630.082021327034,hold,hold,buy,hold,hold
2018-08-16,IDX:EXCL,2910.0,2910.0,2760.0,2890.0,7460900.0,2892.0,2896.534742237231,2930.0,2899.932427763233,2886.0,2875.0203985149333,,,51.46162873903483,,,3134.6282365299644,2886.0,2637.371763470036,buy,buy,buy,hold,hold
2018-08-20,IDX:EXCL,2910.0,3040.0,2890.0,2990.0,12618000.0,2876.0,2927.689828158154,2956.0,2916.3083499881,2893.0,2885.9708367516064,,,55.50209374417585,,,3145.039679415762,2893.0,2640.960320584238,buy,hold,hold,hold,sell
2018-08-21,IDX:EXCL,3000.0,3050.0,2960.0,3050.0,4937600.0,2916.0,2968.459885438769,2976.0,2940.6159227175363,2896.5,2901.592661822882,,,57.77336278562408,,,3155.132944537234,2896.5,2637.867055462766,sell,hold,sell,hold,sell
2018-08-23,IDX:EXCL,3080.0,3120.0,2980.0,2990.0,14541100.0,2968.0,2975.639923625846,2970.0,2949.5948458598023,2897.0,2910.012408315941,,,54.76311772182686,,,3156.314480891446,2897.0,2637.685519108554,hold,buy,hold,hold,sell
2018-08-24,IDX:EXCL,2990.0,3000.0,2880.0,2950.0,6117300.0,2974.0,2967.093282417231,2960.0,2949.668510248929,2901.0,2913.820750381089,,,52.78839515524145,,,3160.9923075785127,2901.0,2641.0076924214877,hold,buy,hold,hold,sell
2018-08-27,IDX:EXCL,2910.0,3020.0,2910.0,2980.0,4275500.0,2992.0,2971.3955216114878,2942.0,2955.183326567306,2908.5,2920.1235360590804,,,54.12451238489511,,,3168.521152985675,2908.5,2648.478847014325,hold,buy,hold,hold,sell
2018-08-28,IDX:EXCL,3000.0,3080.0,2930.0,2940.0,6397600.0,2982.0,2960.930347740992,2929.0,2952.4227217368866,2911.5,2922.016532624882,,,52.01095497540474,,,3171.521152985675,2911.5,2651.478847014325,buy,hold,hold,hold,sell
2018-08-29,IDX:EXCL,2940.0,3100.0,2880.0,3090.0,8017000.0,2990.0,3003.953565160661,2953.0,2977.43677233018,2925.0,2938.014958089179,,,58.54800021376527,,,3192.544388840432,2925.0,2657.4556111595684,buy,sell,hold,hold,sell
2018-08-30,IDX:EXCL,3080.0,3160.0,3080.0,3150.0,11992200.0,3022.0,3052.635710107108,2995.0,3008.811904633784,2945.0,2958.204009699733,,,60.845551270972976,61.77330105642841,47.74043454307902,3216.992646959435,2945.0,2673.007353040565,hold,sell,hold,sell,sell
2018-08-31,IDX:EXCL,3030.0,3180.0,3010.0,3180.0,7370100.0,3068.0,3095.0904734047385,3021.0,3039.9370128821865,2967.5,2979.327437347378,,,61.980257763640445,71.80371712555416,52.55309105957405,3239.0787178701603,2967.5,2695.92128212984,sell,sell,sell,sell,sell
2018-09-03,IDX:EXCL,3130.0,3160.0,3040.0,3080.0,2539500.0,3088.0,3090.060315603159,3040.0,3047.2211923581526,2985.0,2988.9153004571517,,,56.1399238997282,70.86682125805373,56.21583709926998,3237.547025323998,2985.0,2732.452974676002,sell,sell,hold,sell,sell
2018-09-04,IDX:EXCL,3070.0,3070.0,2880.0,2910.0,6036200.0,3082.0,3030.040210402106,3032.0,3022.2718846566704,2994.0,2981.39955755647,,,47.88006493695577,55.76393337031914,56.12545635347981,3221.103500633522,2994.0,2766.896499366478,sell,hold,hold,hold,sell
2018-09-05,IDX:EXCL,2900.0,2900.0,2750.0,2800.0,14109500.0,3024.0,2953.3601402680706,3007.0,2981.858814719094,2991.5,2964.1234092177588,,,43.427650396774254,34.52077125462574,51.804519333709,3225.8736333293486,2991.5,2757.126366670652,hold,buy,hold,hold,sell
2018-09-06,IDX:EXCL,2750.0,2910.0,2750.0,2830.0,10835200.0,2960.0,2912.240093512047,2991.0,2954.248121133804,2980.5,2951.34975119702,,,44.9316785085341,19.877031463075586,45.41902175958232,3223.355924366691,2980.5,2737.644075633309,buy,buy,hold,hold,sell
2018-09-07,IDX:EXCL,2830.0,2970.0,2800.0,2950.0,7403400.0,2914.0,2924.826729008032,2991.0,2953.4757354731123,2975.5,2951.2212034639706,,,50.59027643394695,17.750146652452713,39.8852467381564,3216.537341505419,2975.5,2734.462658494581,sell,hold,hold,hold,sell
2018-09-10,IDX:EXCL,2960.0,2990.0,2860.0,2900.0,5620500.0,2878.0,2916.551152672021,2983.0,2943.752874478001,2962.5,2946.34299361026,,,48.36045141217527,11.892899046951245,34.28677719991536,3189.997252730665,2962.5,2735.002747269335,hold,hold,hold,hold,sell
2018-09-12,IDX:EXCL,2910.0,3020.0,2890.0,2930.0,12825200.0,2882.0,2921.0341017813475,2982.0,2941.2523518456373,2955.5,2944.7865180283297,,,49.790419221931046,9.561518170311048,29.3417253939945,3177.893794877465,2955.5,2733.106205122535,hold,hold,hold,hold,sell
2018-09-13,IDX:EXCL,2950.0,2990.0,2940.0,2970.0,4560200.0,2916.0,2937.356067854232,2970.0,2946.4791969646126,2961.5,2947.187802025632,,,51.71050192458535,10.816857732256269,25.636751861646854,3178.596752624262,2961.5,2744.403247375738,buy,hold,hold,hold,sell
2018-09-14,IDX:EXCL,3000.0,3050.0,3000.0,3030.0,4797800.0,2956.0,2968.237378569488,2958.0,2961.664797516501,2976.5,2955.0746780231907,,,54.52000608953175,16.46344163141839,23.80208981560116,3167.42144981641,2976.5,2785.57855018359,sell,sell,sell,hold,sell
2018-09-17,IDX:EXCL,3020.0,3020.0,2900.0,2970.0,6516700.0,2960.0,2968.824919046325,2937.0,2963.180288877137,2979.0,2956.4961372590774,,,51.30542098598553,15.913461021001694,22.224364056681267,3168.1983086605164,2979.0,2789.801691339484,hold,sell,hold,hold,sell
2018-09-18,IDX:EXCL,2910.0,3000.0,2910.0,2960.0,4052500.0,2972.0,2965.883279364217,2925.0,2962.60205453584,2982.5,2956.8298384724985,,,50.76814949208747,14.503493750492908,20.680189995443595,3167.5270250530984,2982.5,2797.4729749469016,hold,sell,sell,hold,sell
2018-09-19,IDX:EXCL,2970.0,3020.0,2960.0,2990.0,4756700.0,2984.0,2973.922186242811,2933.0,2967.583499165687,2982.5,2959.988901475118,,,52.37928616227868,15.626698951655726,19.66949178668602,3167.5270250530984,2982.5,2797.4729749469016,sell,sell,hold,hold,sell
2018-09-20,IDX:EXCL,3000.0,3000.0,2860.0,2920.0,8065300.0,2974.0,2955.948124161874,2945.0,2958.9319538628347,2976.0,2956.180434667964,,,48.39925588730687,10.744575403260114,17.88450851000084,3160.217263034712,2976.0,2791.7827369652887,sell,sell,hold,hold,sell
