datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12,IDX:MEDC,787.3008,804.232,761.904,791.5336,19199584.0,,,,,,,,,,,,,,,buy,hold,buy,hold,hold
2018-07-13,IDX:MEDC,791.5336,812.6976,791.5336,808.4648,12161571.0,,,,,,,,,,,,,,,sell,hold,hold,hold,hold
2018-07-16,IDX:MEDC,812.6976,816.9304,791.5336,791.5336,9889553.0,,,,,,,,,,,,,,,sell,hold,buy,hold,hold
2018-07-17,IDX:MEDC,787.3008,799.9992,778.8352,778.8352,16784161.0,,,,,,,,,,,,,,,hold,hold,buy,hold,hold
2018-07-18,IDX:MEDC,787.3008,804.232,774.6024,783.068,26301030.0,790.68704,790.68704,,,,,,,,,,,,,hold,hold,buy,hold,buy
2018-07-19,IDX:MEDC,787.3008,821.1632,783.068,783.068,48271475.0,788.9939200000001,788.14736,,,,,,,,,,,,,hold,buy,buy,hold,hold
2018-07-20,IDX:MEDC,778.8352,804.232,778.8352,791.5336,12912965.0,785.6076800000001,789.2761066666667,,,,,,,,,,,,,hold,buy,buy,hold,hold
2018-07-23,IDX:MEDC,791.5336,795.7664,778.8352,783.068,6880670.0,783.9145600000002,787.2067377777778,,,,,,,,,,,,,hold,buy,buy,hold,hold
2018-07-24,IDX:MEDC,783.068,791.5336,778.8352,783.068,13910650.0,784.7611200000001,785.8271585185186,,,,,,,,,,,,,hold,buy,buy,hold,hold
2018-07-25,IDX:MEDC,787.3008,804.232,774.6024,783.068,49546753.0,784.7611200000001,784.9074390123457,787.7240800000001,787.7240800000001,,,,,,,,,,,buy,buy,buy,hold,hold
2018-07-26,IDX:MEDC,795.7664,876.1896,791.5336,863.4912,183959672.0,800.84576,811.1020260082305,794.9198400000001,801.4999200000001,,,,,,,,,,,sell,hold,hold,sell,hold
2018-07-27,IDX:MEDC,871.9568,880.4224,846.56,846.56,70369495.0,811.85104,822.9213506721536,798.72936,809.6926618181819,,,,,,,,,,,buy,hold,hold,sell,hold
2018-07-30,IDX:MEDC,846.56,867.724,842.3272,863.4912,27053250.0,827.9356800000002,836.4446337814358,805.9251200000001,819.4742142148762,,,,,,,,,,,sell,hold,sell,sell,sell
