emiten,model_type,target_day,accuracy,precision,recall,f1_score
ANTM,Price Prediction,1,0.4221,0.454,0.4221,0.3949
ANTM,Price Prediction,5,0.4877,0.4905,0.4877,0.4864
ANTM,Price Prediction,10,0.5287,0.5164,0.5287,0.4902
ANTM,Price Prediction,20,0.5246,0.5759,0.5246,0.4936
ANTM,Price Prediction,50,0.6189,0.6797,0.6189,0.612
ANTM,Deep Learning,1,0.5123,0.4629,0.5123,0.4421
ANTM,Deep Learning,5,0.5984,0.6173,0.5984,0.6031
ANTM,Deep Learning,10,0.7992,0.8011,0.7992,0.7995
ANTM,Deep Learning,20,0.8934,0.8944,0.8934,0.8933
ANTM,Deep Learning,50,0.9221,0.9263,0.9221,0.9223
ANTM,Machine Learning,1,0.5205,0.6274,0.5205,0.413
ANTM,Machine Learning,5,0.5123,0.5762,0.5123,0.4998
ANTM,Machine Learning,10,0.7295,0.753,0.7295,0.7201
ANTM,Machine Learning,20,0.7951,0.8003,0.7951,0.7953
ANTM,Machine Learning,50,0.832,0.8394,0.832,0.8313
ANTM,Ensemble Model,1,0.2377,0.2926,0.2377,0.1178
ANTM,Ensemble Model,5,0.2377,0.2926,0.2377,0.1178
ANTM,Ensemble Model,10,0.2418,0.6673,0.2418,0.1262
ANTM,Ensemble Model,20,0.2336,0.4397,0.2336,0.1172
ANTM,Ensemble Model,50,0.2418,0.6673,0.2418,0.1262
