emiten,model_type,target_day,accuracy,precision,recall,f1_score
BMRI,Price Prediction,1,0.5246,0.4241,0.5246,0.4686
BMRI,Price Prediction,5,0.6434,0.5278,0.6434,0.562
BMRI,Price Prediction,10,0.7541,0.6319,0.7541,0.6717
BMRI,Price Prediction,20,0.7623,0.759,0.7623,0.672
BMRI,Price Prediction,50,0.8443,0.8531,0.8443,0.8464
BMRI,Deep Learning,1,0.6066,0.5081,0.6066,0.5225
BMRI,Deep Learning,5,0.7008,0.6975,0.7008,0.6806
BMRI,Deep Learning,10,0.877,0.8781,0.877,0.8754
BMRI,Deep Learning,20,0.9016,0.9,0.9016,0.9005
BMRI,Deep Learning,50,0.9344,0.9387,0.9344,0.9353
BMRI,Machine Learning,1,0.6516,0.6015,0.6516,0.5456
BMRI,Machine Learning,5,0.6598,0.6712,0.6598,0.6021
BMRI,Machine Learning,10,0.8197,0.8395,0.8197,0.7973
BMRI,Machine Learning,20,0.8484,0.858,0.8484,0.8358
BMRI,Machine Learning,50,0.8648,0.8698,0.8648,0.8626
BMRI,Ensemble Model,1,0.6598,0.6458,0.6598,0.5592
BMRI,Ensemble Model,5,0.6557,0.653,0.6557,0.5862
BMRI,Ensemble Model,10,0.6475,0.6526,0.6475,0.5737
BMRI,Ensemble Model,20,0.709,0.722,0.709,0.6609
BMRI,Ensemble Model,50,0.9221,0.9237,0.9221,0.9223
