emiten,model_type,target_day,accuracy,precision,recall,f1_score
INCO,Price Prediction,1,0.4877,0.4694,0.4877,0.3369
INCO,Price Prediction,5,0.4098,0.3816,0.4098,0.3872
INCO,Price Prediction,10,0.5574,0.4487,0.5574,0.4345
INCO,Price Prediction,20,0.6311,0.6085,0.6311,0.5832
INCO,Price Prediction,50,0.7582,0.7825,0.7582,0.7572
INCO,Deep Learning,1,0.4795,0.3573,0.4795,0.3643
INCO,Deep Learning,5,0.6189,0.6427,0.6189,0.6218
INCO,Deep Learning,10,0.8156,0.8188,0.8156,0.8158
INCO,Deep Learning,20,0.8975,0.9002,0.8975,0.8971
INCO,Deep Learning,50,0.9139,0.9146,0.9139,0.9138
INCO,Machine Learning,1,0.5164,0.4577,0.5164,0.4279
INCO,Machine Learning,5,0.541,0.6299,0.541,0.5411
INCO,Machine Learning,10,0.6967,0.7431,0.6967,0.6834
INCO,Machine Learning,20,0.7787,0.8012,0.7787,0.7683
INCO,Machine Learning,50,0.8197,0.8296,0.8197,0.8202
INCO,Ensemble Model,1,0.2049,0.2543,0.2049,0.0991
INCO,Ensemble Model,5,0.209,0.6513,0.209,0.1076
INCO,Ensemble Model,10,0.2049,0.2543,0.2049,0.0991
INCO,Ensemble Model,20,0.209,0.6513,0.209,0.1076
INCO,Ensemble Model,50,0.2172,0.721,0.2172,0.1173
