emiten,model_type,target_day,accuracy,precision,recall,f1_score
MEDC,Price Prediction,1,0.3607,0.2128,0.3607,0.253
MEDC,Price Prediction,5,0.3115,0.209,0.3115,0.2496
MEDC,Price Prediction,10,0.4221,0.4494,0.4221,0.3602
MEDC,Price Prediction,20,0.4508,0.4796,0.4508,0.426
MEDC,Price Prediction,50,0.7008,0.7007,0.7008,0.6918
MEDC,Deep Learning,1,0.3811,0.3774,0.3811,0.36
MEDC,Deep Learning,5,0.5902,0.5874,0.5902,0.5878
MEDC,Deep Learning,10,0.7869,0.7907,0.7869,0.7868
MEDC,Deep Learning,20,0.8484,0.8526,0.8484,0.8486
MEDC,Deep Learning,50,0.9057,0.9056,0.9057,0.9054
MEDC,Machine Learning,1,0.4221,0.3713,0.4221,0.3609
MEDC,Machine Learning,5,0.5451,0.5588,0.5451,0.5324
MEDC,Machine Learning,10,0.6598,0.6864,0.6598,0.6515
MEDC,Machine Learning,20,0.7623,0.7848,0.7623,0.7618
MEDC,Machine Learning,50,0.7869,0.8038,0.7869,0.7858
MEDC,Ensemble Model,1,0.4098,0.4926,0.4098,0.3312
MEDC,Ensemble Model,5,0.3811,0.3907,0.3811,0.3715
MEDC,Ensemble Model,10,0.3852,0.4128,0.3852,0.3718
MEDC,Ensemble Model,20,0.4959,0.5269,0.4959,0.5001
MEDC,Ensemble Model,50,0.8893,0.8887,0.8893,0.8889
