,title,sentiment,kode_emiten,cleaned,description,published date,url,publisher,keywords,content
0,Pundi-pundi Konglomerat di Lapak Bursa Karbon Indonesia - Bisnis.com,0.0,ADRO,pundipundi konglomerat lapak bursa karbon indonesia,,,,,,
1,"IHSG Diprediksi Lanjut Menguat, Cek Saham AKRA, MDKA, PGEO & TLKM - Bisnis.com",1.0,ADRO,ihsg prediksi kuat cek saham akra mdka pgeo tlkm,,,,,,
2,"Indeks Bisnis-27 Melemah Awal Pekan, Saham AMRT, AKRA & INTP Justru Cuan - Bisnis.com",1.0,ADRO,indeks bisnis lemah pekan saham amrt akra intp cuan,,,,,,
3,"IHSG Dibuka Menguat, Saham CUAN, ASII, hingga AMMN Melesat Pagi Ini - Bisnis.com",1.0,ADRO,ihsg buka kuat saham cuan asii ammn melesat pagi,,,,,,
4,Profil Tambang MUTU yang Bikin CUAN Milik Prajogo Pangestu Kepincut - Bisnis.com,0.0,ADRO,profil tambang mutu bikin cuan milik prajogo pangestu kepincut,,,,,,
5,"Harga Emas Pegadaian Mandek Awal Pekan, Borong sebelum Naik - Bisnis.com",1.0,ADRO,harga emas pegadaian mandek pekan borong,,,,,,
6,"Cek Rapor Pergerakan IHSG 4 Musim Pemilu Terakhir, Cuan atau Boncos? - Bisnis.com",0.0,ADRO,cek rapor pergerakan ihsg musim milu cuan boncos,,,,,,
7,"IHSG Bisa Bertahan di Atas 7.000 Besok, Cek Rekomendasi Sahamnya - Bisnis.com",1.0,ADRO,ihsg tahan besok cek rekomendasi saham,,,,,,
8,Mitratel (MTEL) Sebut Layanan Starlink Penting - Bisnis.com,0.0,ADRO,mitratel mtel layan starlink,,,,,,
9,"Saham-Saham Favorit Investor Asing, AMMN, TLKM, BBCA Jawara - Bisnis.com",1.0,ADRO,sahamsaham favorit investor asing ammn tlkm bbca jawara,,,,,,
10,Presiden Jokowi Akan Resmikan Bursa Karbon Indonesia pada 26 September - Bisnis.com,0.0,ADRO,presiden jokowi resmi bursa karbon indonesia september,,,,,,
11,"Grup Indika (INDY) Raih Kredit Rp769,15 miliar dari Bank DBS - Bisnis.com",1.0,ADRO,grup indika indy raih kredit rp miliar bank dbs,,,,,,
12,"Saham-Saham Paling Rontok Sepekan, Ada RELF-MSKY - Bisnis.com",-1.0,ADRO,sahamsaham rontok sepekan relfmsky,,,,,,
13,"Saham-Saham Paling Cuan Sepekan saat IHSG Tembus 7.000, Ada yang Naik 86 Persen! - Bisnis.com",1.0,ADRO,sahamsaham cuan sepekan ihsg tembus persen,,,,,,
14,"IHSG Melaju ke 7.016,84, Grup Salim (META) Puncaki Top Gainers Sepekan - Bisnis.com",1.0,ADRO,ihsg laju grup salim meta puncak top gainers sepekan,,,,,,
15,"Daftar 10 Saham Top Losers Pekan Ini, Emiten Hary Tanoe (MSKY) Masuk - Bisnis.com",-1.0,ADRO,daftar saham top losers pekan emiten hary tanoe msky,,,,,,
16,"Harga Minyak Mendingin, Efek Sinyal Hawkish the Fed dan Larangan Ekspor BBM Rusia - Bisnis.com",-1.0,ADRO,harga minyak dingin efek sinyal hawkish the fed larang ekspor bbm rusia,,,,,,
17,Tiga Alasan Utama Gen-Z Harus Melek Investasi Sejak Dini - Bisnis.com,0.0,ADRO,alas utama genz melek investasi,,,,,,
18,"IHSG Ditutup 7.016, Saham META, AHAP & DOOH Melambung 30 Persen - Bisnis.com",1.0,ADRO,ihsg tutup saham meta ahap dooh lambung persen,,,,,,
19,"10 Top Gainers Hari Ini, Saham DOOH hingga META Pesta Pora - Bisnis.com",1.0,ADRO,top gainers saham dooh meta pesta pora,,,,,,
20,"IHSG Diprediksi Lanjut Koreksi Kala Suku Bunga Ditahan, Cermati Saham ICBP, KLBF & CPIN - Bisnis.com",-1.0,ADRO,ihsg prediksi koreksi suku bunga ditahan cermat saham icbp klbf cpin,,,,,,
21,Bisakah IHSG Menguat saat The Fed dan BI Tahan Suku Bunga? Cek 4 Saham Ini - Bisnis.com,0.0,ADRO,ihsg kuat the fed bi tahan suku bunga cek saham,,,,,,
22,Multivision Plus (RAAM) Akuisisi 30 Persen Saham B-Universe - Bisnis.com,1.0,ADRO,multivision plus raam akuisisi persen saham buniverse,,,,,,
23,"Profil Keluarga Tjajadi Pemilik Best Agro, Pecah Konflik Warga Seruyan - Bisnis.com",0.0,ADRO,profil keluarga tjajadi milik best agro pecah konflik warga seruyan,,,,,,
24,"Indeks Bisnis-27 Dibuka Menguat, Saham INKP, AKRA, hingga ICBP Dorong Penguatan - Bisnis.com",1.0,ADRO,indeks bisnis buka kuat saham inkp akra icbp dorong kuat,,,,,,
25,"Bursa Karbon Segera Meluncur, Emiten LVV (MUTU) Rambah Pasar China - Bisnis.com",1.0,ADRO,bursa karbon luncur emiten lvv mutu rambah pasar china,,,,,,
26,Menilik Larangan Ekspor Solar Rusia dan Dampaknya ke Asia - Bisnis.com,-1.0,ADRO,tilik larang ekspor solar rusia dampak asia,,,,,,
27,"Sumber Global Energy (SGER) Gelar RUPS Bulan Depan, Siap Bagi Dividen Lagi - Bisnis.com",1.0,ADRO,sumber global energy sger gelar rups dividen,,,,,,
28,Optimisme Adaro ADRO Kala Batu Bara Rusia & Australia Serbu China - Bisnis.com,1.0,ADRO,optimisme adaro adro batu bara rusia australia serbu china,,,,,,
29,"The Fed Rem Suku Bunga, Saham VALE, PGAS dan UNTR Berpotensi Topang IHSG - Bisnis.com",1.0,ADRO,the fed rem suku bunga saham vale pgas untr potensi topang ihsg,,,,,,
30,"IHSG Dibuka Melemah Usai The Fed Tahan Suku Bunga, Saham BBCA, BBRI, BMRI Paling Laris - Bisnis.com",-1.0,ADRO,ihsg buka lemah the fed tahan suku bunga saham bbca bbri bmri laris,,,,,,
31,"IHSG Diprediksi Lanjut Menguat Tersengat Suku Bunga The Fed, 4 Saham Ini Bisa Cuan - Bisnis.com",1.0,ADRO,ihsg prediksi kuat sengat suku bunga the fed saham cuan,,,,,,
32,"Indeks Bisnis-27 Dibuka Melemah, Saham AKRA, MAPI, AMRT Jadi Beban - Bisnis.com",-1.0,ADRO,indeks bisnis buka lemah saham akra papi amrt beban,,,,,,
33,"Jatuh Tempo Utang Waskita (WSKT) Rp941 Miliar Menghitung Hari, Sanggup Bayar? - Bisnis.com",-1.0,ADRO,jatuh tempo utang waskita wskt rp miliar hitung sanggup bayar,,,,,,
34,"Permintaan Batu Bara Membaik, Simak Rekomendasi Saham Harum Energy (HRUM) - Bisnis.com",1.0,ADRO,minta batu bara baik simak rekomendasi saham harum energy hrum,,,,,,
35,"Grup Sinarmas DSSA Lego 30,5 Miliar Saham Smartfren (FREN), Raup Rp2,4 Triliun - Bisnis.com",1.0,ADRO,grup sinarmas dssa lego miliar saham smartfren fren raup rp triliun,,,,,,
36,Kereta Cepat Jakarta-Bandung jadi Alasan WIKA Raih PMN Rp6 Triliun - Bisnis.com,1.0,ADRO,kereta cepat jakartabandung alas wika raih pmn rp triliun,,,,,,
37,"BI Tahan Suku Bunga, Saham Properti Jumbo Melemah - Bisnis.com",-1.0,ADRO,bi tahan suku bunga saham properti jumbo lemah,,,,,,
38,PGN (PGAS) Berencana Bangun Hub LNG di Nusa Dua Bali - Bisnis.com,0.0,ADRO,pgn pgas rencana bangun hub lng nusa bali,,,,,,
39,"Indeks Bisnis-27 Ditutup Melemah, Saham Boy Thohir (BFIN), MTEL, ASII Loyo - Bisnis.com",-1.0,ADRO,indeks bisnis tutup lemah saham boy thohir bfin mtel asii loyo,,,,,,
40,Harga Emas Antam Hari Ini di Pegadaian Diskon Usai The Fed Tahan Suku Bunga - Bisnis.com,0.0,ADRO,harga emas antam pegadaian diskon the fed tahan suku bunga,,,,,,
41,"IHSG Sesi I Melemah Tinggalkan Level 7.000, Saham META, MSIN & HITS Melesat - Bisnis.com",1.0,ADRO,ihsg sesi lemah tinggal level saham meta msin hits melesat,,,,,,
42,"10 Saham Paling Banyak Dilego Asing saat IHSG Merah, BMRI hingga GOTO - Bisnis.com",-1.0,ADRO,saham lego asing ihsg merah bmri goto,,,,,,
43,"The Fed Tahan Suku Bunga, IHSG Menuju ke 7.030 Jelang RDG BI - Bisnis.com",0.0,ADRO,the fed tahan suku bunga ihsg jelang rdg bi,,,,,,
44,"Peluang Rebound IHSG Terbuka, Analis Jagokan Saham ADRO, AMRT hingga INDF - Bisnis.com",1.0,ADRO,peluang rebound ihsg buka analis jago saham adro amrt indf,,,,,,
45,"Indeks Bisnis-27 Naik Bareng IHSG, Saham Boy Thohir (BFIN) Melesat - Bisnis.com",1.0,ADRO,indeks bisnis bareng ihsg saham boy thohir bfin melesat,,,,,,
46,Rekomendasi Saham dan Pergerakan IHSG Hari Ini Dipengaruhi The Fed dan RDG BI - Bisnis.com,1.0,ADRO,rekomendasi saham pergerakan ihsg pengaruh the fed rdg bi,,,,,,
47,"Wall Street Jatuh setelah The Fed Tahan Suku Bunga 5,25-5,50 Persen - Bisnis.com",-1.0,ADRO,wall street jatuh the fed tahan suku bunga persen,,,,,,
48,"IHSG Ditutup Menguat ke 7.011, Saham TLKM-BBCA Hijau - Bisnis.com",1.0,ADRO,ihsg tutup kuat saham tlkmbbca hijau,,,,,,
49,"Saham Energi & Metal Bersinar Semester II/2023, Waktunya Rotasi Sektor? - Bisnis.com",1.0,ADRO,saham energi metal sinar semester ii rotasi sektor,,,,,,
50,"Potensi Cuan Akhir Tahun dari Dividen Interim, Cek Emiten Ini - CNBC Indonesia",1.0,ADRO,potensi cuan tahun dividen interim cek emiten,,,,,,
51,Cerita Adaro dari BUMN Spanyol Hingga Polemik Rebutan Saham - CNBC Indonesia,0.0,ADRO,cerita adaro bumn spanyol polemik rebut saham,,,,,,
52,"Harga Batu Bara Jeblok, Tapi 13 Saham Ini Malah Meroket - CNBC Indonesia",1.0,ADRO,harga batu bara jeblok saham roket,,,,,,
53,Asing Terciduk Kompak Lego 10 Saham Ini Kala IHSG Melemah - CNBC Indonesia,-1.0,ADRO,asing ciduk kompak lego saham ihsg lemah,,,,,,
54,"IHSG Merana, Asing Jual Saham Bank Pelat Merah - CNBC Indonesia",-1.0,ADRO,ihsg merana asing jual saham bank pelat merah,,,,,,
55,Asing Buang Saham Big Bank Sepanjang Perdagangan Pekan Lalu - CNBC Indonesia,-1.0,ADRO,asing buang saham big bank dagang pekan,,,,,,
56,Asing Terciduk Borong 10 Saham Ini Kala IHSG Menguat Tipis - CNBC Indonesia,1.0,ADRO,asing ciduk borong saham ihsg kuat tipis,,,,,,
57,3 Perusahaan RI Ini Siap Jual Listrik ke Singapura - CNBC Indonesia,0.0,ADRO,usaha ri jual listrik singapura,,,,,,
58,"Net Sell Rp881 M, Asing Lagi-lagi Lepas Saham Big Bank RI - CNBC Indonesia",-1.0,ADRO,net sell rp asing lagilagi lepas saham big bank ri,,,,,,
59,10 Saham Ini Ramai-ramai Dilepas Asing Meski IHSG Hijau - CNBC Indonesia,-1.0,ADRO,saham ramairamai lepas asing ihsg hijau,,,,,,
60,"Asing Lepas Saham Perbankan & Blue Chip, IHSG Gagal ke 7.000 - CNBC Indonesia",-1.0,ADRO,asing lepas saham perban blue chip ihsg gagal,,,,,,
61,"Asing Net Sell Rp 1,1 T, Saham Bank Ini Paling Banyak Dijual - CNBC Indonesia",-1.0,ADRO,asing net sell rp saham bank jual,,,,,,
62,"IHSG Akhirnya Tembus 7.000 Lagi, Berkah KTT ASEAN? - CNBC Indonesia",1.0,ADRO,ihsg tembus berkah ktt asean,,,,,,
63,"Sah! BUMI Masuk Indeks FTSE Syariah, Sahamnya Terbang 1,39% - CNBC Indonesia",1.0,ADRO,sah bumi indeks ftse syariah saham terbang,,,,,,
64,Asing Terciduk Lepas Saham Ini Saat IHSG Mau Tembus 7.000 - CNBC Indonesia,-1.0,ADRO,asing ciduk lepas saham ihsg tembus,,,,,,
65,"IHSG Menguat Terus, Asing Kompak Lepas 10 Saham Ini - CNBC Indonesia",-1.0,ADRO,ihsg kuat asing kompak lepas saham,,,,,,
66,Investor Asing Ramai-ramai Lego 10 Saham Ini Kala IHSG Loyo - CNBC Indonesia,-1.0,ADRO,investor asing ramairamai lego saham ihsg loyo,,,,,,
67,Asing Terciduk Lepas 10 Saham Ini Kala IHSG Pesta Pora - CNBC Indonesia,-1.0,ADRO,asing ciduk lepas saham ihsg pesta pora,,,,,,
68,"Batu Bara Rehat Dulu, Sahamnya di RI Ikutan Loyo - CNBC Indonesia",-1.0,ADRO,batu bara rehat saham ri ikut loyo,,,,,,
69,10 Saham Ini Diam-diam Malah Dilego Asing Kala IHSG Perkasa - CNBC Indonesia,-1.0,ADRO,saham diamdiam lego asing ihsg perkasa,,,,,,
70,Asing Terciduk Borong 10 Saham Ini Kala IHSG Menguat - CNBC Indonesia,1.0,ADRO,asing ciduk borong saham ihsg kuat,,,,,,
71,"IHSG Sumringah Lagi, 6 Saham Ini Penopangnya - CNBC Indonesia",1.0,ADRO,ihsg sumringah saham topang,,,,,,
72,"Harga Batu Bara Masih Mendidih, Sahamnya di RI Pesta Pora - CNBC Indonesia",1.0,ADRO,harga batu bara didih saham ri pesta pora,,,,,,
73,"Net Buy Rp 132,05 M, Ini Saham Pilihan Asing Kemarin - CNBC Indonesia",1.0,ADRO,net buy rp saham pilih asing kemarin,,,,,,
74,"Saham Batu Bara Seksi Lagi, Euforia Sesaat atau Tahan Lama? - CNBC Indonesia",1.0,ADRO,saham batu bara seksi euforia tahan,,,,,,
75,"Dukung Anies, Segini Harta dan Gurita Bisnis Surya Paloh - CNBC Indonesia",0.0,ADRO,dukung anies segini harta gurita bisnis surya paloh,,,,,,
76,"Adaro Energy Rela Gelontorkan Rp 4,1 T Untuk Beli Ini! - CNBC Indonesia",0.0,ADRO,adaro energy rela gelontor rp beli,,,,,,
77,"ADMR Kantongi Rp 2,5 T Buat Bangun Smelter Aluminium - CNBC Indonesia",0.0,ADRO,admr kantong rp bangun smelter aluminium,,,,,,
78,Deretan Saham Ini Dilepas Asing Saat IHSG Hijau Tiga Hari - CNBC Indonesia,-1.0,ADRO,deret saham lepas asing ihsg hijau,,,,,,
