,title,sentiment,kode_emiten,cleaned,description,published date,url,publisher,keywords,content,published_date,kode_emitten
0,"Cara Daftar dan Syarat Program Mudik Gratis BRI, BTN, dan Pegadaian 2022",0.0,BBRI,daftar syarat program mudik gratis bri btn pegadaian,,,,,,,,
1,BRI Surabaya Bidik 4.000 Merchant EDC Baru di Ajang SSF 2023,1.0,BBRI,bri surabaya bidik merchant edc ajang ssf,,,,,,,,
2,BRI Andalkan BRI Spot untuk Dongkrak Kredit Mikro,1.0,BBRI,bri andal bri spot dongkrak kredit mikro,,,,,,,,
3,"IHSG Belum Aman, Pantau Saham BBRI, SMGR, MIKA, ICBP, INDF",0.0,BBRI,ihsg aman pantau saham bbri smgr mika icbp indf,,,,,,,,
4,"Jadi BUMN Terbaik, BRI Borong 8 Penghargaan Kehumasan",1.0,BBRI,bumn baik bri borong harga humas,,,,,,,,
5,"IHSG Ditutup Menguat ke 6.945, Saham BBRI, UNTR, GOTO, dan BBCA Laris Manis",1.0,BBRI,ihsg tutup kuat saham bbri untr goto bbca laris manis,,,,,,,,
6,"Saham BRI (BBRI), BCA (BBCA), Mandiri (BMRI), BNI (BBNI) Anjlok, Intip Kinerjanya",-1.0,BBRI,saham bri bbri bca bbca mandiri bmri bni bbni anjlok intip kinerja,,,,,,,,
7,BRI Kenalkan Startup Plepah ke Panggung Dunia,0.0,BBRI,bri kenal startup plepah panggung dunia,,,,,,,,
8,"BRI (BBRI) Sebut Margin Bunga Bukan Pendorong Laba, Ini Buktinya",1.0,BBRI,bri bbri margin bunga dorong laba bukti,,,,,,,,
9,"Lingkungan Lebih Hijau dan Cuan, Ini Manfaat 'BRI Menanam'",1.0,BBRI,lingkung hijau cuan manfaat bri tanam,,,,,,,,
10,Transaksi Digital BRI Tembus Rp 4.000 T di Kuartal II-2021,1.0,BBRI,transaksi digital bri tembus rp kuartal ii,,,,,,,,
11,"Tak Perlu 1 Miliar Saham, Semuanya Bisa Ikut Rights Issue BRI",0.0,BBRI,miliar saham rights issue bri,,,,,,,,
12,"Rupiah Awal Pekan Ini Loyo, Intip Kurs di BCA, BRI, Bank Mandiri, & BNI Senin (25/9/2023)",-1.0,BBRI,rupiah pekan loyo intip kurs bca bri bank mandiri bni senin,,,,,,,,
13,"Limit Transfer Bank BCA, BNI, BRI, dan Bank Mandiri",0.0,BBRI,limit transfer bank bca bni bri bank mandiri,,,,,,,,
14,"Rupiah Tunjukkan Tren Penguatan, Intip Kurs Dolar di BCA, BRI, Mandiri dan Siang Ini (14/12/2022)",1.0,BBRI,rupiah tunjuk tren kuat intip kurs dolar bca bri mandiri siang,,,,,,,,
15,"Tingkatkan Daya Saing, BRI Perkuat Transformasi Digital",1.0,BBRI,tingkat daya saing bri kuat transformasi digital,,,,,,,,
16,"Kredit Lesu, Bos BRI: Uang Rp 1.200 T 'Nganggur' di Bank",-1.0,BBRI,kredit lesu bos bri uang rp anggur bank,,,,,,,,
17,"Laba BRI Berpeluang Cetak Rekor, Gimana Potensinya?",1.0,BBRI,laba bri peluang cetak rekor gimana potensi,,,,,,,,
18,Rights Issue BBRI Jadi Bukti Kepercayaan Dunia ke Indonesia,0.0,BBRI,rights issue bbri bukti percaya dunia indonesia,,,,,,,,
19,"Asing Masuk Rp 2,2 T, Borong BBRI-BMRI & Lepas ASII-MDKA",1.0,BBRI,asing rp borong bbribmri lepas asiimdka,,,,,,,,
20,"BRI-BNI-Mandiri Bantu Garuda 'Survive',Tenor Utang Jadi 2026",0.0,BBRI,bribnimandiri bantu garuda survivetenor utang,,,,,,,,
21,"Pasca Bank BRI dan Pegadaian Merger, Ini Strategi Pemerintah",1.0,BBRI,pasca bank bri pegadaian merger strategi perin,,,,,,,,
22,Menghitung Hari BRI Jadi Induk Pegadaian & PNM,1.0,BBRI,hitung bri induk pegadaian pnm,,,,,,,,
23,"Rights Issue BSI (BRIS), Begini Pembagian Pemilikan BRI (BBRI), BNI (BBNI) dan Mandiri (BMRI)",0.0,BBRI,rights issue bsi bris bagi pemilikan bri bbri bni bbni mandiri bmri,,,,,,,,
24,Tok! Komite Privatisasi Restui Holding BUMN Ultra Mikro BRI,1.0,BBRI,tok komite privatisasi restu holding bumn ultra mikro bri,,,,,,,,
25,"Punya Dana Jumbo, Likuiditas BRI Aman Selama Libur Lebaran",0.0,BBRI,dana jumbo likuiditas bri aman libur lebaran,,,,,,,,
26,"Sambut Ramadhan, BRI Salurkan Donasi Ke Masjid Istiqlal",0.0,BBRI,sambut ramadhan bri salur donasi masjid istiqlal,,,,,,,,
27,Sah! Pemerintah Alihkan Saham Pegadaian dan PNM ke BRI (BBRI),1.0,BBRI,sah perin alih saham pegadaian pnm bri bbri,,,,,,,,
28,"Dirut BRI Paparkan Potensi Kopi Indonesia, Seperti Apa Sih?",0.0,BBRI,dirut bri papar potensi kopi indonesia sih,,,,,,,,
29,"Saham BMRI, BBRI, BBNI, BBCA Tekan Indeks Bisnis-27 Melemah",-1.0,BBRI,saham bmri bbri bbni bbca tekan indeks bisnis lemah,,,,,,,,
