datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:ADRO,1900.0,1930.0,1865.0,1870.0,64182900.0,1851.0,1854.9363304243154,1810.5,1835.9557011008621,1847.5,1840.0248606775504,1866.5,1871.056862745098,51.10193465048775,-12.089250373413961,-25.72681422421737,2052.548774685439,1847.5,1642.4512253145608,hold,hold,hold,hold,hold
2018-07-13 ,IDX:ADRO,1885.0,1895.0,1825.0,1860.0,40469000.0,1866.0,1856.6242202828769,1817.5,1840.3273918097964,1841.25,1841.927254898736,1860.1,1870.623260284506,50.31678530594018,-9.114852089551277,-22.40442179728415,2036.5414488655354,1841.25,1645.9585511344646,sell,hold,hold,hold,hold
2018-07-16 ,IDX:ADRO,1830.0,1860.0,1780.0,1800.0,58828800.0,1859.0,1837.7494801885846,1823.0,1832.9951387534697,1831.75,1837.9341830036183,1851.5,1867.8537206655058,45.77259606787692,-11.466934891772325,-20.216924416181786,2015.30584981144,1831.75,1648.19415018856,sell,hold,buy,hold,hold
2018-07-17 ,IDX:ADRO,1800.0,1810.0,1755.0,1760.0,58751600.0,1838.0,1811.8329867923896,1827.0,1819.723295343748,1823.0,1830.5118798604165,1841.5,1863.6241629923486,42.9854578686656,-16.36994067822161,-19.44752766858975,2002.677488851553,1823.0,1643.322511148447,buy,hold,buy,hold,hold
2018-07-18 ,IDX:ADRO,1790.0,1865.0,1780.0,1865.0,87066600.0,1831.0,1829.5553245282597,1836.5,1827.9554234630666,1816.25,1833.796462730853,1834.8,1863.6781173848055,51.35834592259738,-11.648706571556659,-17.887763449183133,1978.0793854650633,1816.25,1654.4206145349367,hold,hold,buy,hold,hold
2018-07-19 ,IDX:ADRO,1890.0,1915.0,1860.0,1870.0,64638600.0,1831.0,1843.0368830188397,1841.0,1835.5998919243273,1809.25,1837.244418661248,1829.8,1863.9260343501073,51.721930063770095,-7.418124789166086,-15.793835717179723,1947.3179180693328,1809.25,1671.1820819306672,sell,hold,hold,hold,hold
2018-07-20 ,IDX:ADRO,1850.0,1875.0,1825.0,1825.0,31792100.0,1824.0,1837.0245886792266,1845.0,1833.6726388471768,1804.0,1836.078283550653,1826.4,1862.3995231991228,48.22793372721175,-7.6087729677585685,-14.156823167295492,1930.8305956778568,1804.0,1677.1694043221432,hold,buy,buy,hold,hold
2018-07-23 ,IDX:ADRO,1805.0,1840.0,1800.0,1800.0,26271300.0,1824.0,1824.6830591194844,1841.5,1827.5503408749628,1800.5,1832.6422565458288,1825.8,1859.952483073667,46.35444416156847,-9.665733529701356,-13.258605239776665,1923.6624942910787,1800.5,1677.3375057089213,hold,buy,buy,hold,hold
2018-07-24 ,IDX:ADRO,1815.0,1840.0,1795.0,1800.0,46045000.0,1832.0,1816.4553727463228,1835.0,1822.541187988606,1802.75,1829.533470208131,1825.1,1857.6014053060724,46.35444416156848,-11.167161508092931,-12.840316493439918,1924.1367785222096,1802.75,1681.3632214777904,buy,buy,buy,hold,hold
2018-07-25 ,IDX:ADRO,1820.0,1885.0,1810.0,1880.0,61510700.0,1835.0,1837.6369151642152,1833.0,1832.9882447179505,1811.5,1834.3398063787852,1827.2,1858.4797815685793,53.11395907489318,-5.834466488222006,-11.439146492396336,1928.5939793499222,1811.5,1694.4060206500778,sell,buy,hold,hold,hold
