datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:ANTM,850.0,865.0,840.0,860.0,72284300.0,,,,,,,,,,,,,,,buy,buy,buy,buy,sell
2018-07-13 ,IDX:ANTM,880.0,945.0,875.0,910.0,172649400.0,,,,,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-16 ,IDX:ANTM,915.0,935.0,895.0,900.0,119203500.0,,,,,,,,,,,,,,,sell,sell,buy,sell,sell
2018-07-17 ,IDX:ANTM,905.0,905.0,875.0,880.0,73995300.0,,,,,,,,,,,,,,,buy,buy,buy,sell,sell
2018-07-18 ,IDX:ANTM,885.0,910.0,875.0,885.0,74310200.0,887.0,887.0,,,,,,,,,,,,,sell,sell,buy,sell,sell
2018-07-19 ,IDX:ANTM,895.0,900.0,870.0,875.0,62368900.0,890.0,883.0,,,,,,,,,,,,,sell,buy,buy,sell,sell
2018-07-20 ,IDX:ANTM,870.0,880.0,865.0,870.0,48279400.0,882.0,878.6666666666666,,,,,,,,,,,,,buy,buy,buy,sell,sell
2018-07-23 ,IDX:ANTM,875.0,895.0,870.0,885.0,62488300.0,879.0,880.7777777777777,,,,,,,,,,,,,sell,buy,buy,sell,sell
2018-07-24 ,IDX:ANTM,885.0,905.0,880.0,885.0,65016400.0,880.0,882.1851851851851,,,,,,,,,,,,,sell,buy,buy,sell,sell
2018-07-25 ,IDX:ANTM,895.0,900.0,880.0,880.0,44411000.0,879.0,881.4567901234567,883.0,883.0,,,,,,,,,,,buy,buy,buy,sell,sell
2018-07-26 ,IDX:ANTM,890.0,925.0,890.0,890.0,127167800.0,882.0,884.3045267489712,886.0,884.2727272727273,,,,,,,,,,,buy,buy,buy,buy,sell
2018-07-27 ,IDX:ANTM,895.0,905.0,885.0,900.0,47461800.0,888.0,889.5363511659808,885.0,887.1322314049587,,,,,,,,,,,buy,sell,sell,sell,sell
2018-07-30 ,IDX:ANTM,895.0,960.0,890.0,955.0,218292600.0,902.0,911.3575674439873,890.5,899.4718256949662,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-31 ,IDX:ANTM,955.0,960.0,910.0,915.0,118883000.0,908.0,912.5717116293248,894.0,902.2951301140633,,,,,,,,,,,buy,buy,sell,sell,sell
2018-08-01 ,IDX:ANTM,925.0,945.0,920.0,940.0,84475200.0,920.0,921.7144744195499,899.5,909.1505610024154,,,,,65.38461538461539,,,,,,sell,sell,sell,sell,sell
2018-08-02 ,IDX:ANTM,925.0,940.0,910.0,915.0,58688100.0,925.0,919.4763162797,903.5,910.2140953656126,,,,,59.24932975871313,,,,,,sell,sell,sell,sell,sell
2018-08-03 ,IDX:ANTM,920.0,925.0,890.0,900.0,50570900.0,925.0,912.9842108531333,906.5,908.3569871173194,,,,,55.86233715730118,,,,,,buy,sell,sell,sell,sell
2018-08-06 ,IDX:ANTM,905.0,940.0,905.0,935.0,69575600.0,921.0,920.3228072354221,911.5,913.2011712778068,,,,,61.406170304591754,,,,,,sell,sell,sell,sell,sell
2018-08-07 ,IDX:ANTM,945.0,955.0,920.0,925.0,123380900.0,923.0,921.8818714902815,915.5,915.3464128636601,,,,,59.12130061456654,,,,,,sell,sell,sell,sell,sell
2018-08-08 ,IDX:ANTM,935.0,940.0,915.0,920.0,48764400.0,919.0,921.254580993521,919.5,916.192519615722,901.25,901.25,,,57.96003189641451,,,950.430788932265,901.25,852.069211067735,sell,sell,sell,sell,sell
2018-08-09 ,IDX:ANTM,925.0,930.0,905.0,910.0,31836400.0,918.0,917.5030539956807,921.5,915.066606958318,903.75,902.0833333333334,,,55.607493364115015,,,949.2335134966506,903.75,858.2664865033494,sell,sell,sell,sell,sell
2018-08-10 ,IDX:ANTM,915.0,915.0,895.0,895.0,45945400.0,917.0,910.0020359971205,921.0,911.4181329658965,903.0,901.4087301587302,,,52.18583452890238,,,948.5411901469428,903.0,857.4588098530572,sell,sell,sell,sell,sell
2018-08-13 ,IDX:ANTM,890.0,890.0,850.0,855.0,64752100.0,901.0,891.6680239980803,911.0,901.1602906084607,900.75,896.988851095994,,,44.349000665352136,,,950.8773378507177,900.75,850.6226621492823,sell,sell,buy,sell,sell
2018-08-14 ,IDX:ANTM,850.0,865.0,825.0,845.0,64021600.0,885.0,876.1120159987203,904.0,890.9493286796497,899.0,892.0375319439946,,,42.62561163990828,,,954.0999092558236,899.0,843.9000907441764,buy,buy,buy,sell,sell
2018-08-15 ,IDX:ANTM,835.0,865.0,830.0,865.0,47421900.0,874.0,872.4080106658135,896.5,886.2312689197134,898.0,889.4625289017094,,,47.056838979318485,,,954.7802782663135,898.0,841.2197217336865,sell,buy,buy,sell,sell
2018-08-16 ,IDX:ANTM,845.0,845.0,825.0,830.0,59004900.0,858.0,858.2720071105424,888.0,876.0074018434019,895.75,883.7994309110704,,,41.077746084172034,,,959.1751527392721,895.75,832.3248472607279,buy,buy,sell,sell,sell
2018-08-20 ,IDX:ANTM,845.0,860.0,835.0,855.0,56120800.0,850.0,857.181338073695,883.5,872.1878742355107,895.0,881.056627967159,,,46.32400039833859,,,959.9615270756468,895.0,830.0384729243532,sell,buy,sell,sell,sell
2018-08-21 ,IDX:ANTM,860.0,865.0,835.0,835.0,54643400.0,846.0,849.7875587157966,873.5,865.426442556327,892.5,876.6702824464771,,,43.02370745859279,,,962.4642765988472,892.5,822.5357234011528,buy,buy,sell,sell,sell
2018-08-23 ,IDX:ANTM,845.0,880.0,840.0,870.0,96147600.0,851.0,856.5250391438644,868.0,866.2579984551766,891.75,876.0350174515745,,,49.768181213544366,,,962.3385968127998,891.75,821.1614031872002,buy,sell,sell,sell,sell
2018-08-24 ,IDX:ANTM,870.0,880.0,855.0,875.0,63389000.0,853.0,862.683359429243,863.5,867.8474532815081,891.5,875.9364443609484,,,50.666605585215166,,,962.2884171316184,891.5,820.7115828683816,buy,sell,sell,sell,sell
2018-08-27 ,IDX:ANTM,890.0,915.0,885.0,895.0,140381500.0,866.0,873.4555729528287,862.0,872.7842799575976,891.75,877.7520210884771,,,54.195626583686085,,,962.5507768318964,891.75,820.9492231681036,sell,sell,sell,sell,sell
2018-08-28 ,IDX:ANTM,905.0,910.0,875.0,880.0,57171900.0,871.0,875.6370486352191,860.5,874.0962290562162,890.75,877.966114318146,,,51.235371855445976,,,961.621362340511,890.75,819.878637659489,sell,sell,sell,sell,sell
2018-08-29 ,IDX:ANTM,890.0,890.0,860.0,875.0,52790500.0,879.0,875.4246990901461,862.5,874.260551045995,886.75,877.6836272402273,,,50.25007969962593,,,951.4241834119302,886.75,822.0758165880698,sell,sell,sell,sell,sell
