datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:BNGA,955.0,955.0,935.0,940.0,1897300.0,,,,,,,,,,,,,,,hold,buy,hold,hold,hold
2018-07-13 ,IDX:BNGA,940.0,955.0,940.0,940.0,2356400.0,,,,,,,,,,,,,,,buy,buy,hold,hold,hold
2018-07-16 ,IDX:BNGA,945.0,970.0,945.0,960.0,2882700.0,,,,,,,,,,,,,,,hold,buy,hold,hold,hold
2018-07-17 ,IDX:BNGA,970.0,970.0,950.0,960.0,2737100.0,,,,,,,,,,,,,,,buy,buy,hold,hold,hold
2018-07-18 ,IDX:BNGA,970.0,995.0,970.0,995.0,2768500.0,959.0,959.0,,,,,,,,,,,,,hold,buy,hold,hold,hold
2018-07-19 ,IDX:BNGA,1000.0,1020.0,995.0,1000.0,4069800.0,971.0,972.6666666666666,,,,,,,,,,,,,sell,hold,hold,sell,hold
2018-07-20 ,IDX:BNGA,1000.0,1000.0,975.0,985.0,744800.0,980.0,976.7777777777777,,,,,,,,,,,,,hold,hold,hold,hold,hold
2018-07-23 ,IDX:BNGA,985.0,1015.0,970.0,995.0,1019100.0,987.0,982.8518518518518,,,,,,,,,,,,,buy,hold,hold,hold,hold
2018-07-24 ,IDX:BNGA,995.0,1030.0,995.0,1030.0,5147800.0,1001.0,998.5679012345679,,,,,,,,,,,,,hold,sell,hold,hold,sell
2018-07-25 ,IDX:BNGA,1045.0,1060.0,1020.0,1025.0,4575700.0,1007.0,1007.3786008230453,983.0,983.0,,,,,,,,,,,sell,hold,hold,hold,sell
2018-07-26 ,IDX:BNGA,1025.0,1035.0,990.0,995.0,4289800.0,1006.0,1003.2524005486969,988.5,985.1818181818181,,,,,,,,,,,hold,hold,hold,hold,hold
2018-07-27 ,IDX:BNGA,1000.0,1005.0,995.0,995.0,9023400.0,1008.0,1000.5016003657979,994.0,986.9669421487603,,,,,,,,,,,buy,hold,hold,hold,hold
2018-07-30 ,IDX:BNGA,995.0,1035.0,995.0,1015.0,3852600.0,1012.0,1005.3344002438653,999.5,992.0638617580765,,,,,,,,,,,sell,hold,sell,hold,sell
2018-07-31 ,IDX:BNGA,1015.0,1020.0,990.0,995.0,4211600.0,1005.0,1001.8896001625768,1003.0,992.5977050747899,,,,,,,,,,,buy,buy,sell,hold,hold
2018-08-01 ,IDX:BNGA,1005.0,1030.0,1000.0,1010.0,6190400.0,1002.0,1004.5930667750512,1004.5,995.7617586975554,,,,,66.66666666666666,,,,,,hold,hold,sell,hold,sell
2018-08-02 ,IDX:BNGA,1015.0,1020.0,1000.0,1000.0,2683300.0,1003.0,1003.0620445167008,1004.5,996.5323480252725,,,,,63.41463414634148,,,,,,hold,hold,sell,hold,sell
2018-08-03 ,IDX:BNGA,1000.0,1020.0,1000.0,1000.0,3745600.0,1004.0,1002.0413630111339,1006.0,997.1628302024957,,,,,63.41463414634148,,,,,,buy,hold,sell,hold,sell
2018-08-06 ,IDX:BNGA,1000.0,1055.0,1000.0,1025.0,11582700.0,1006.0,1009.6942420074225,1009.0,1002.2241338020419,,,,,67.94790744721205,,,,,,hold,sell,sell,sell,sell
2018-08-07 ,IDX:BNGA,1025.0,1045.0,1025.0,1025.0,1903400.0,1012.0,1014.7961613382816,1008.5,1006.3652003834889,,,,,67.94790744721203,,,,,,hold,sell,sell,sell,sell
2018-08-08 ,IDX:BNGA,1025.0,1035.0,1010.0,1010.0,3350100.0,1012.0,1013.1974408921877,1007.0,1007.0260730410363,995.0,995.0,,,62.554266259559235,,,1046.8652099195597,995.0,943.1347900804402,hold,sell,sell,sell,sell
2018-08-09 ,IDX:BNGA,1010.0,1030.0,1005.0,1010.0,2039600.0,1014.0,1012.1316272614584,1008.5,1007.5667870335751,998.5,996.4285714285714,,,62.554266259559235,,,1044.1179789118282,998.5,952.8820210881718,hold,sell,hold,sell,sell
2018-08-10 ,IDX:BNGA,1010.0,1025.0,990.0,1000.0,7909100.0,1014.0,1008.0877515076389,1009.0,1006.1910075729251,1001.5,996.7687074829932,,,58.937065753224175,,,1038.3917334913933,1001.5,964.6082665086066,sell,sell,sell,sell,sell
2018-08-13 ,IDX:BNGA,995.0,1000.0,935.0,940.0,8282400.0,997.0,985.391834338426,1001.5,994.1562789233024,1000.5,991.3621639131844,,,42.90580610406575,,,1042.5594816896262,1000.5,958.4405183103738,sell,hold,hold,hold,hold
2018-08-14 ,IDX:BNGA,940.0,950.0,910.0,915.0,5502600.0,975.0,961.9278895589506,993.5,979.7642282099747,998.25,984.0895768738335,,,38.23862314657959,,,1051.9412469588851,998.25,944.5587530411148,hold,buy,hold,hold,hold
2018-08-15 ,IDX:BNGA,930.0,950.0,895.0,915.0,14141700.0,956.0,946.2852597059671,984.0,967.9889139899793,994.25,977.5096171715636,,,38.238623146579584,,,1059.0786202228614,994.25,929.4213797771386,hold,hold,hold,hold,hold
2018-08-16 ,IDX:BNGA,915.0,925.0,905.0,910.0,7273000.0,936.0,934.1901731373114,975.0,957.4454750827103,989.75,971.0801298218909,,,37.29756046993311,,,1064.1459004246874,989.75,915.3540995753126,hold,buy,hold,hold,hold
2018-08-20 ,IDX:BNGA,910.0,935.0,910.0,920.0,3309900.0,920.0,929.4601154248743,967.0,950.637206885854,986.5,966.2153555531394,,,40.45390407187133,,,1066.8803458564344,986.5,906.1196541435656,buy,hold,hold,hold,hold
2018-08-21 ,IDX:BNGA,925.0,950.0,925.0,950.0,2853900.0,922.0,936.3067436165828,959.5,950.521351088426,984.25,964.6710359766499,,,48.783363693739936,,,1066.05922930819,984.25,902.44077069181,hold,hold,sell,hold,hold
2018-08-23 ,IDX:BNGA,950.0,960.0,935.0,945.0,2868700.0,928.0,939.2044957443885,951.5,949.5174690723485,980.0,962.7976039788738,,,47.58855201726355,,,1060.6845710157772,980.0,899.3154289842228,hold,hold,sell,hold,hold
2018-08-24 ,IDX:BNGA,940.0,945.0,925.0,940.0,2527700.0,933.0,939.4696638295924,944.5,947.7870201501033,975.75,960.6264035999334,,,46.3656031121922,,,1055.4541404194288,975.75,896.0458595805713,buy,hold,hold,hold,hold
2018-08-27 ,IDX:BNGA,940.0,970.0,920.0,955.0,7757900.0,942.0,944.6464425530615,939.0,949.0984710319027,973.75,960.090555638035,,,50.47725614607159,,,1053.4290436689598,973.75,894.0709563310402,sell,sell,hold,hold,hold
2018-08-28 ,IDX:BNGA,960.0,965.0,935.0,940.0,4889500.0,946.0,943.0976283687077,933.0,947.4442035715567,971.0,958.1771693867936,,,46.62777306470824,,,1051.3492377064026,971.0,890.6507622935974,hold,hold,sell,hold,hold
2018-08-29 ,IDX:BNGA,940.0,945.0,935.0,940.0,1666200.0,944.0,942.0650855791384,933.0,946.0907120130919,967.25,956.4460103975752,,,46.62777306470824,,,1046.0202354953951,967.25,888.4797645046049,hold,sell,hold,hold,hold
2018-08-30 ,IDX:BNGA,940.0,955.0,940.0,940.0,3504500.0,943.0,941.3767237194256,935.5,944.9833098288933,964.5,954.8797236930442,,,46.62777306470824,-12.780912006229755,-10.487727742723349,1043.0429818634357,964.5,885.9570181365642,sell,sell,hold,hold,hold
2018-08-31 ,IDX:BNGA,935.0,940.0,920.0,920.0,4089700.0,939.0,934.2511491462838,936.0,940.4408898600036,960.0,951.5578452460876,,,41.37340247194877,-14.375083024036144,-11.265198798985908,1037.91020472313,960.0,882.0897952768702,hold,hold,hold,hold,hold
2018-09-03 ,IDX:BNGA,925.0,935.0,915.0,915.0,4772400.0,931.0,927.8340994308559,936.5,935.8152735218212,955.75,948.0761456988412,,,40.15513728653875,-15.859119200106306,-12.183982879209989,1033.7419867678725,955.75,877.7580132321275,hold,hold,hold,hold,hold
2018-09-04 ,IDX:BNGA,915.0,930.0,910.0,915.0,3799100.0,926.0,923.5560662872373,936.0,932.0306783360355,951.5,944.9260365846658,,,40.15513728653876,-16.841094902724194,-13.11540528391283,1028.6427248676114,951.5,874.3572751323885,sell,sell,hold,hold,hold
2018-09-05 ,IDX:BNGA,915.0,915.0,865.0,880.0,9204300.0,914.0,909.0373775248248,929.0,922.5705550022109,944.25,938.7426045289833,,,32.40801468007811,-20.21055056827697,-14.534434340785658,1019.6340168736052,944.25,868.8659831263948,hold,hold,hold,hold,hold
2018-09-06 ,IDX:BNGA,880.0,895.0,865.0,875.0,6014500.0,901.0,897.6915850165499,922.0,913.9213631836271,936.75,932.6718802881278,,,31.473824127048765,-23.018978219997393,-16.231343116628004,1008.2534964180074,936.75,865.2465035819926,buy,buy,hold,hold,hold
2018-09-07 ,IDX:BNGA,880.0,905.0,875.0,895.0,2728000.0,896.0,896.7943900110332,917.5,910.4811153320586,931.0,929.084082165449,,,39.04304197850021,-23.36154714120289,-17.65738392154298,996.2380257212003,931.0,865.7619742787997,hold,hold,hold,hold,hold
2018-09-10 ,IDX:BNGA,900.0,920.0,890.0,905.0,3374000.0,894.0,899.5295933406888,912.5,909.4845489080479,925.75,926.7903600544538,,,42.46504935220743,-22.56599233996849,-18.63910560522808,980.8204094773228,925.75,870.6795905226772,sell,hold,hold,hold,hold
2018-09-12 ,IDX:BNGA,915.0,920.0,880.0,880.0,3270600.0,887.0,893.0197288937926,906.5,904.1237218338574,919.75,922.334135287363,,,36.88952842116151,-23.67983410720683,-19.647251305623833,966.7047654663508,919.75,872.7952345336492,hold,buy,hold,hold,hold
2018-09-13 ,IDX:BNGA,890.0,900.0,885.0,890.0,1929500.0,889.0,892.0131525958617,901.5,901.5557724095197,917.25,919.2546938314237,,,40.26789161206065,-23.48492570139979,-20.414786184779025,964.9443392867539,917.25,869.5556607132461,buy,hold,hold,hold,hold
2018-09-14 ,IDX:BNGA,895.0,910.0,895.0,910.0,1223600.0,896.0,898.0087683972412,898.5,903.0910865168797,917.0,918.3732944189071,,,46.44288841489376,-21.46914360908488,-20.625657669640198,964.7912125813941,917.0,869.2087874186059,sell,hold,hold,hold,sell
2018-09-17 ,IDX:BNGA,910.0,910.0,895.0,895.0,674400.0,896.0,897.0058455981608,896.0,901.619979877447,916.0,916.1472663790112,,,42.86385261646393,-20.841745746341417,-20.66887528498044,964.7442304278158,916.0,867.2557695721842,hold,hold,hold,hold,hold
2018-09-18 ,IDX:BNGA,890.0,900.0,885.0,900.0,416200.0,895.0,898.0038970654406,894.5,901.3254380815475,915.5,914.609431485772,,,44.401901668515805,-19.713821543379026,-20.477864536660157,964.6833305094317,915.5,866.3166694905683,hold,hold,hold,hold,hold
2018-09-19 ,IDX:BNGA,900.0,910.0,895.0,910.0,1749100.0,901.0,902.002598043627,894.0,902.9026311576298,915.0,914.1704380109366,,,47.44879062900696,-17.80774051207368,-19.943839731742862,964.1934955049953,915.0,865.8065044950047,hold,hold,hold,hold,hold
2018-09-20 ,IDX:BNGA,915.0,930.0,905.0,905.0,3153100.0,904.0,903.0017320290847,896.5,903.2839709471516,912.75,913.297062962276,,,46.08876695879348,-16.510295367750928,-19.257130858944475,959.384214907083,912.75,866.115785092917,hold,hold,hold,hold,hold
2018-09-21 ,IDX:BNGA,910.0,925.0,910.0,915.0,2173600.0,905.0,907.0011546860565,900.5,905.4141580476695,911.25,913.4592474420592,,,49.223487754419175,-14.50790620490261,-18.307285928136103,955.5077676798096,911.25,866.9922323201904,hold,hold,hold,hold,hold
