datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:INKP,19725.0,19900.0,19275.0,19400.0,9626500.0,,,,,,,,,,,,,,,buy,buy,sell,sell,sell
2018-07-13 ,IDX:INKP,19375.0,19900.0,19250.0,19900.0,8911700.0,,,,,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-16 ,IDX:INKP,19900.0,19975.0,19025.0,19525.0,8202100.0,,,,,,,,,,,,,,,buy,sell,buy,sell,sell
2018-07-17 ,IDX:INKP,19450.0,19850.0,19325.0,19775.0,8390900.0,,,,,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-18 ,IDX:INKP,19700.0,19800.0,19425.0,19750.0,3376600.0,19670.0,19670.0,,,,,,,,,,,,,buy,sell,sell,sell,sell
2018-07-19 ,IDX:INKP,19750.0,20375.0,19575.0,20000.0,13949200.0,19790.0,19780.0,,,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-20 ,IDX:INKP,20000.0,20000.0,19400.0,19750.0,6733900.0,19760.0,19770.0,,,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-23 ,IDX:INKP,19800.0,20000.0,18150.0,18275.0,9832500.0,19510.0,19271.666666666668,,,,,,,,,,,,,sell,buy,buy,buy,sell
2018-07-24 ,IDX:INKP,18475.0,18975.0,17675.0,17900.0,9894300.0,19135.0,18814.444444444445,,,,,,,,,,,,,buy,buy,buy,buy,sell
2018-07-25 ,IDX:INKP,17900.0,18725.0,17525.0,18650.0,9359600.0,18915.0,18759.62962962963,19292.5,19292.5,,,,,,,,,,,buy,buy,buy,buy,sell
2018-07-26 ,IDX:INKP,18900.0,19650.0,18775.0,19400.0,11967900.0,18795.0,18973.086419753086,19292.5,19312.045454545456,,,,,,,,,,,buy,sell,sell,sell,sell
2018-07-27 ,IDX:INKP,19500.0,19750.0,19400.0,19750.0,7416500.0,18795.0,19232.057613168723,19277.5,19391.67355371901,,,,,,,,,,,buy,sell,sell,sell,sell
2018-07-30 ,IDX:INKP,19800.0,19900.0,19400.0,19850.0,7930400.0,19110.0,19438.03840877915,19310.0,19475.00563486101,,,,,,,,,,,sell,sell,sell,sell,sell
2018-07-31 ,IDX:INKP,19800.0,20000.0,18800.0,19200.0,10144100.0,19370.0,19358.692272519434,19252.5,19425.004610340824,,,,,,,,,,,buy,buy,sell,sell,sell
2018-08-01 ,IDX:INKP,19475.0,19700.0,18700.0,19700.0,8736600.0,19580.0,19472.461515012958,19247.5,19475.00377209704,,,,,52.27272727272727,,,,,,sell,buy,sell,sell,sell
2018-08-02 ,IDX:INKP,19600.0,19650.0,18875.0,19250.0,11478500.0,19550.0,19398.307676675304,19172.5,19434.093995352123,,,,,48.69706840390879,,,,,,sell,buy,sell,sell,sell
