datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:MEDC,787.3008,804.232,761.904,791.5336,19199584.0,786.4542400000003,788.5689177911464,784.76112,797.8817055191411,838.0943999999997,833.8837609026931,940.1895359999997,939.8907501176468,37.75335326006078,-49.37280126077053,-51.50267693545855,976.1122419520128,838.0943999999997,700.0765580479866,buy,hold,buy,hold,hold
2018-07-13 ,IDX:MEDC,791.5336,812.6976,791.5336,808.4648,12161571.0,799.1526400000002,795.200878527431,783.9145599999999,799.8059045156608,830.8986399999998,831.462907483389,934.3482719999998,934.7367912895038,41.285643420051095,-45.40812507323483,-50.283766563013806,958.9812376272355,830.8986399999998,702.8160423727641,sell,hold,hold,hold,hold
2018-07-16 ,IDX:MEDC,812.6976,816.9304,791.5336,791.5336,9889553.0,794.0732800000002,793.9784523516206,781.37488,798.301849149177,820.5282799999998,827.6601162944949,928.2530399999999,929.120979866386,38.90791085269366,-43.13506281720845,-48.854025813852736,923.6653834893314,820.5282799999998,717.3911765106682,sell,hold,buy,hold,hold
2018-07-17 ,IDX:MEDC,787.3008,799.9992,778.8352,778.8352,16784161.0,791.5336000000002,788.9307015677471,782.2214399999999,794.7624583947811,811.6393999999997,823.0101242664477,922.4117759999999,923.2274198716258,37.17848637942463,-41.87558369562419,-47.45833739020703,895.0964346513924,811.6393999999997,728.1823653486069,hold,hold,buy,hold,hold
2018-07-18 ,IDX:MEDC,787.3008,804.232,774.6024,783.068,26301030.0,790.6870400000001,786.9764677118313,784.7611199999999,792.6361932320937,805.7134799999997,819.2061124315479,916.4858559999999,917.7309720335228,38.16513057435371,-40.073938415800285,-45.98145759532568,878.9922827959624,805.7134799999997,732.4346772040369,hold,hold,buy,hold,buy
2018-07-19 ,IDX:MEDC,787.3008,821.1632,783.068,783.068,48271475.0,788.9939200000002,785.6736451412208,787.72408,790.8965217353493,801.2690399999996,815.7643874380672,911.5758079999999,912.4500711694631,38.16513057435371,-38.20570990977535,-44.42630805821561,868.467989512009,801.2690399999996,734.0700904879901,hold,buy,buy,hold,hold
2018-07-20 ,IDX:MEDC,778.8352,804.232,778.8352,791.5336,12912965.0,785.6076800000003,787.6269634274805,792.3801599999999,791.012354147104,798.9409999999996,813.4566933963465,907.51232,907.7082487706606,40.3385586484689,-35.63128689326254,-42.667303825225,864.069749912184,798.9409999999996,733.8122500878152,hold,buy,buy,hold,hold
2018-07-23 ,IDX:MEDC,791.5336,795.7664,778.8352,783.068,6880670.0,783.9145600000004,786.1073089516536,788.99392,789.5679261203578,795.5547599999996,810.562532120504,902.9408960000001,902.8203958776935,38.86732659733818,-33.88355277043058,-40.910553614266114,856.4526759982097,795.5547599999996,734.6568440017896,hold,buy,buy,hold,hold
2018-07-24 ,IDX:MEDC,783.068,791.5336,778.8352,783.068,13910650.0,784.7611200000003,785.0942059677691,788.14736,788.3861213712019,791.7452399999995,807.9440052518845,898.284816,898.124223490333,38.86732659733818,-32.12810805572815,-39.15406450255852,845.318176148897,791.7452399999995,738.172303851102,hold,buy,buy,hold,hold
2018-07-25 ,IDX:MEDC,787.3008,804.232,774.6024,783.068,49546753.0,784.7611200000003,784.4188039785128,787.7240800000001,787.4191902128015,787.5124399999995,805.5748618945622,893.6287359999999,893.6122147260062,38.86732659733818,-30.38662734699301,-37.40057707144542,828.2420067645708,787.5124399999995,746.7828732354283,buy,buy,buy,hold,hold
2018-07-26 ,IDX:MEDC,795.7664,876.1896,791.5336,863.4912,183959672.0,800.8457600000003,810.7762693190085,794.9198400000001,801.2504647195649,789.8404799999996,811.0907036188896,891.0890559999998,892.4309984622413,57.33197367108548,-22.26040710685004,-34.37254307852634,841.0136140449081,789.8404799999996,738.6673459550912,sell,hold,hold,sell,hold
2018-07-27 ,IDX:MEDC,871.9568,880.4224,846.56,846.56,70369495.0,811.8510400000002,822.7041795460057,798.72936,809.4885620432804,791.3219599999995,814.468731845662,889.6499039999998,890.6321357774475,53.6575475832733,-16.990667521474847,-30.896167967116043,847.0584700513249,791.3219599999995,735.5854499486742,buy,hold,hold,sell,hold
2018-07-30 ,IDX:MEDC,846.56,867.724,842.3272,863.4912,27053250.0,827.9356800000003,836.2998530306704,805.9251200000001,819.3072234899566,793.6499999999996,819.1375383365513,887.3641919999998,889.5677853548025,56.649607850017944,-11.317691293372036,-26.980472632367242,856.8591834492674,793.6499999999996,730.4408165507318,sell,hold,sell,sell,sell
2018-07-31 ,IDX:MEDC,871.9568,876.1896,825.396,838.0944,50598421.0,838.9409600000002,836.8980353537803,811.8510400000001,822.72307376451,797.0362399999997,820.9429537330702,885.0784799999998,887.5492212232416,51.29930073401275,-8.770030815019481,-23.33838426889769,862.1223362142615,797.0362399999997,731.9501437857379,buy,buy,sell,sell,hold
2018-08-01 ,IDX:MEDC,829.6288,867.724,825.396,867.724,53161855.0,855.8721600000002,847.1733569025203,820.31664,830.9050603527809,802.5388799999996,825.3982914727778,882.1155199999998,886.7717615674283,56.465241442300375,-4.310442339785709,-19.532795883075295,871.8534840921964,802.5388799999996,733.2242759078028,hold,buy,sell,sell,sell
2018-08-02 ,IDX:MEDC,863.4912,867.724,842.3272,863.4912,43725902.0,855.8721600000002,852.6126379350135,828.3589599999999,836.8298130159117,808.0415199999995,829.0261875229895,878.4753119999997,885.8587983687056,55.558565920782584,-1.1050001744056317,-15.847236741341362,878.3569790969183,808.0415199999995,737.7260609030808,sell,hold,sell,sell,hold
2018-08-03 ,IDX:MEDC,850.7928,859.2584,838.0944,846.56,40057881.0,855.8721600000002,850.5950919566757,833.8616,838.5989379221095,813.1208799999996,830.696074425562,874.9197599999997,884.3176690209132,51.96422063979218,0.06834169504497822,-12.664121054064093,879.0167536779887,813.1208799999996,747.2250063220105,hold,hold,sell,sell,hold
2018-08-06 ,IDX:MEDC,846.56,855.0256,838.0944,846.56,56649499.0,852.4859200000003,849.2500613044505,840.2108000000001,840.0464037544532,814.6023599999996,832.2069244802703,871.3642079999996,882.8369761181323,51.96422063979218,0.9868478127622211,-9.93392728069883,882.087317557761,814.6023599999996,747.1174024422382,buy,sell,sell,sell,sell
2018-08-07 ,IDX:MEDC,855.0256,910.052,855.0256,910.052,171539287.99999997,866.8774400000002,869.517374202967,852.9092,852.7746939809163,820.5282799999995,839.6207411964351,869.3324639999997,883.9042319566369,62.51201205557104,6.760117872936576,-6.5951182499717484,898.8190623618234,820.5282799999995,742.2374976381757,hold,sell,sell,sell,sell
2018-08-08 ,IDX:MEDC,918.5176,926.9832,888.888,897.3536,93701686.0,872.8033600000002,878.7961161353113,864.33776,860.8799496207497,826.0309199999995,845.1191087015366,866.6234719999998,884.4316581544158,59.68904381343142,10.19331899845281,-3.2374308002868366,909.5051273226154,826.0309199999995,742.5567126773835,sell,sell,sell,sell,sell
2018-08-09 ,IDX:MEDC,884.6552,897.3536,859.2584,859.2584,58094996.0,871.9568000000003,872.2835440902076,863.91448,860.585122416977,829.4171599999994,846.4657078728188,862.8139519999997,883.444471560125,52.08933021192781,9.728052427293619,-0.6443341547707453,912.5127487564586,829.4171599999994,746.3215712435402,hold,sell,sell,sell,sell
2018-08-10 ,IDX:MEDC,871.9568,880.4224,846.56,850.7928,32282649.0,872.8033600000002,865.119962726805,864.33776,858.8047001593449,831.5335599999995,846.8778118849314,858.7504639999997,882.1640138518848,50.54909117722747,8.577347821088665,1.200002240401137,914.5428582388705,831.5335599999995,748.5242617611285,sell,sell,sell,sell,sell
2018-08-13 ,IDX:MEDC,846.56,846.56,791.5336,795.7664,66066669.0,862.6446400000002,842.0021084845367,857.56528,847.3431910394639,831.7451999999994,842.0100583720807,853.9250719999998,878.775872132203,41.880487944417474,3.1884807043060164,1.5976979331821128,914.3661599014995,831.7451999999994,749.1242400984993,sell,sell,hold,sell,hold
2018-08-14 ,IDX:MEDC,791.5336,808.4648,770.3696,774.6024,37191220.0,835.5547200000003,819.5355389896912,851.2160799999999,834.1175926686523,831.5335599999995,835.5902813842636,849.0996799999998,874.69063793094,39.102970117005654,-2.7581984408006974,0.7265186583855507,914.7153497586596,831.5335599999995,748.3517702413394,sell,hold,hold,sell,hold
2018-08-15 ,IDX:MEDC,778.8352,787.3008,740.74,757.6712,45491991.0,807.6182400000004,798.9140926597942,840.2108000000001,820.2182485470792,830.2637199999996,828.1694164905242,844.1896319999997,870.1016403650208,36.98949014037301,-8.736482119265588,-1.1660814971446771,917.0629579959746,830.2637199999996,743.4644820040246,sell,hold,hold,sell,hold
2018-08-16 ,IDX:MEDC,740.74,757.6712,728.0416,732.2744,49607233.0,782.2214400000003,776.7008617731962,827.08912,804.2284579021557,827.7240399999995,819.036557777141,839.0256159999997,864.6966505467847,34.01926568826635,-15.346717113854652,-4.002208620486672,922.5037951601736,827.7240399999995,732.9442848398254,buy,hold,hold,sell,hold
2018-08-20 ,IDX:MEDC,740.74,757.6712,736.5072,744.9728,25447576.0,761.0574400000003,766.1248411821308,816.9304,793.4547019199456,825.3959999999995,811.9828665602704,834.8774719999998,860.0015975841657,36.75390062432259,-19.337807014300665,-7.069328299249471,925.7410390506894,825.3959999999995,725.0509609493096,hold,hold,sell,sell,hold
2018-08-21 ,IDX:MEDC,753.4384,774.6024,744.9728,753.4384,48220916.99999999,752.5918400000003,761.8960274547538,807.61824,786.1790106617736,823.9145199999996,806.4072030783399,831.3219199999999,855.8226486592964,38.58147483540969,-21.569036913347645,-9.969270022069107,927.5368875316992,823.9145199999996,720.2921524683,hold,hold,sell,hold,hold
2018-08-23 ,IDX:MEDC,770.3696,787.3008,749.2056,757.6712,59406775.0,749.2056000000002,760.4877516365026,792.38016,780.995772359633,822.6446799999997,801.7656789756409,827.5123999999997,851.9735722412848,39.5224755823933,-22.73369125689328,-12.522154269033942,928.8289204882841,822.6446799999997,716.4604395117152,hold,hold,sell,hold,sell
2018-08-24 ,IDX:MEDC,761.904,770.3696,753.4384,757.6712,20613305.0,749.2056000000002,759.5489010910018,778.41192,776.7549410215179,821.3748399999997,797.5662047874846,824.0415039999997,848.2754399965286,39.5224755823933,-23.387096326544224,-14.695142680535998,930.001221944114,821.3748399999997,712.7484580558854,hold,hold,sell,hold,hold
2018-08-27 ,IDX:MEDC,766.1368,774.6024,753.4384,753.4384,26577915.0,753.4384000000002,757.5120673940012,767.82992,772.5155699266965,815.8721999999996,793.3635567124861,820.5706079999997,844.5563403888216,38.832466312141506,-23.97016301841836,-16.55014674811247,926.5378635385878,815.8721999999996,705.2065364614114,hold,sell,sell,hold,hold
2018-08-28 ,IDX:MEDC,761.904,787.3008,753.4384,761.904,63567614.0,756.8246400000002,758.9760449293341,758.94104,770.586193576388,811.6393999999997,790.3674084541541,816.7610879999997,841.3150721382796,41.049208099645,-23.47849888221242,-17.93581717493246,923.7526811559605,811.6393999999997,699.5261188440388,hold,sell,sell,hold,hold
2018-08-29 ,IDX:MEDC,761.904,770.3696,753.4384,761.904,26345208.0,758.5177600000002,759.9520299528893,755.5548000000001,769.0076129261357,806.5600399999996,787.6566076489966,812.0203519999999,838.2009124465824,41.04920809964501,-22.825730697068593,-18.913799879359686,918.0193975681353,806.5600399999996,695.1006824318639,sell,sell,hold,hold,hold
2018-08-30 ,IDX:MEDC,770.3696,774.6024,744.9728,744.9728,44238211.0,755.9780800000001,754.9589533019263,752.59184,764.6376469395656,801.9039599999996,783.5914831109969,807.7875519999999,834.5449080369125,37.86614941906484,-23.40481738167591,-19.812003379822933,915.4653377640849,801.9039599999996,688.3425822359144,hold,sell,hold,buy,hold
2018-08-31 ,IDX:MEDC,740.74,744.9728,728.0416,736.5072,35774664.0,751.7452800000001,748.8083688679509,750.47544,759.5230202232809,795.3431199999997,779.1072656718544,804.4859679999998,830.7002920354649,36.34846785438529,-24.267114728514343,-20.703025649561216,908.0946155299218,795.3431199999997,682.5916244700775,hold,sell,sell,buy,hold
2018-09-03 ,IDX:MEDC,736.5072,749.2056,723.8088,728.0416,23139175.0,746.6659200000001,741.886112578634,750.05216,753.7991256372298,788.5706399999997,774.2438689412016,801.6076639999998,826.6744609752507,34.844467197199506,-25.34147402044175,-21.630715323737324,900.4031064851712,788.5706399999997,676.7381735148282,sell,sell,sell,buy,hold
2018-09-04 ,IDX:MEDC,732.2744,736.5072,694.1792,698.412,39182456.0,733.9675200000001,727.3947417190893,745.3960800000001,743.7287391577336,781.1632399999996,767.0217861848968,798.8140159999997,821.6445605448487,30.14330240598858,-28.258031596505248,-22.95617857829091,896.2292434928024,781.1632399999996,666.0972365071968,sell,sell,hold,buy,hold
2018-09-05 ,IDX:MEDC,694.1792,694.1792,609.5232,643.3856,61380528.0,710.2638400000002,699.3916944793929,734.3908,725.4845320381456,771.0045199999997,755.2469113101447,794.6658719999997,814.6540130725017,23.737928807187245,-34.61062534873156,-25.28706793237904,896.5775074007382,771.0045199999997,645.4315325992612,buy,buy,buy,buy,hold
2018-09-06 ,IDX:MEDC,634.92,664.5496,617.9888,660.3168,45434582.0,693.3326400000002,686.3667296529286,724.65536,713.6358534857555,758.5177599999997,746.2059483282261,790.6870399999997,808.6015733441683,28.75455844604211,-37.84266859792615,-27.79818806548846,875.686067986609,758.5177599999997,641.3494520133904,hold,buy,hold,buy,hold
2018-09-07 ,IDX:MEDC,664.5496,668.7824,651.8512,651.8512,19793162.0,676.4014400000002,674.8615531019524,714.0733600000001,702.402280124709,746.2426399999997,737.219781820776,786.3695839999996,802.4544998796911,27.77089177366527,-40.61895925073759,-30.362342302538288,853.695750811803,746.2426399999997,638.7895291881964,sell,buy,hold,buy,hold
2018-09-10 ,IDX:MEDC,651.8512,656.084,630.6872,630.6872,20908264.0,656.9305600000001,660.1367687346349,701.7982400000001,689.3631746474892,734.8140799999996,727.0738216473687,782.6447199999997,795.7185273353895,25.428859731258736,-44.01951791888632,-33.09377742580789,840.359438161702,734.8140799999996,629.2687218382973,hold,buy,buy,buy,hold
2018-09-12 ,IDX:MEDC,639.1528,660.3168,634.92,639.1528,47105462.0,645.0787200000001,653.1421124897565,689.5231200000001,680.2340156206731,724.2320799999997,718.700391014286,779.0891679999997,789.5786948908644,28.04295262132341,-45.50680783930045,-35.5763835085064,823.3880739346187,724.2320799999997,625.0760860653807,buy,buy,buy,buy,hold
2018-09-13 ,IDX:MEDC,651.8512,723.8088,651.8512,719.576,143459884.0,660.3168000000001,675.2867416598377,685.29032,687.3871036896415,720.4225599999996,718.7837823462587,777.1420799999999,786.833491169654,47.03743717546887,-39.73794144829378,-36.40869509646388,813.9894632899,720.4225599999996,626.8556567100993,sell,hold,buy,hold,sell
2018-09-14 ,IDX:MEDC,723.8088,732.2744,698.412,702.6448,39553959.0,668.7824,684.4060944398918,681.05752,690.1612302915249,716.8246799999996,717.2467364085198,775.7875839999999,783.5319738688833,44.381330174946086,-36.11595733627098,-36.3501475444253,807.2630853758274,716.8246799999996,626.3862746241718,sell,hold,buy,hold,sell
2018-09-17 ,IDX:MEDC,702.6448,706.8776,673.0152,677.248,27112431.0,673.86176,682.0200629599279,675.1315999999999,687.8133702385204,712.8035199999996,713.4373329410417,774.17912,779.363974893633,40.67139026233843,-34.89259819054064,-36.05863767364836,802.7701879203067,712.8035199999996,622.8368520796924,sell,hold,buy,hold,sell
2018-09-18 ,IDX:MEDC,673.0152,685.7136,660.3168,664.5496,29713664.0,680.6342400000001,676.1965753066187,668.7823999999998,683.5835938315167,709.4172799999996,708.7813583752283,772.401344,774.8614503880003,38.91957101544378,-34.54946725652928,-35.75680359022455,801.2758668430964,709.4172799999996,617.5586931569027,buy,buy,buy,buy,sell
2018-09-19 ,IDX:MEDC,677.248,685.7136,673.0152,677.248,23256709.0,688.2532800000001,676.5470502044125,666.6659999999998,682.4316676803319,706.0310399999996,705.7781813871113,771.0468479999998,771.0334719414121,41.62723771684348,-32.87392857881059,-35.180228587941755,797.3889460952573,706.0310399999996,614.6731339047419,buy,buy,buy,buy,sell
2018-09-20 ,IDX:MEDC,689.9464,711.1104,681.4808,698.412,56628945.0,684.0204800000001,683.8353668029416,672.1686399999999,685.3371826475443,703.2797199999995,705.0766403026246,768.6764799999999,768.1855710809646,45.92940879788641,-29.498256639528904,-34.043834198259184,792.0384173586866,703.2797199999995,614.5210226413125,hold,buy,buy,hold,sell
