datetime,symbol,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,target_1,target_5,target_10,target_20,target_50
2018-07-12 ,IDX:PGAS,1550.0,1630.0,1550.0,1620.0,114387900.0,,,,,,,,,,,,,,,buy,buy,hold,buy,buy
2018-07-13 ,IDX:PGAS,1640.0,1695.0,1625.0,1685.0,131805400.0,,,,,,,,,,,,,,,sell,hold,hold,buy,buy
2018-07-16 ,IDX:PGAS,1695.0,1705.0,1635.0,1640.0,55577900.0,,,,,,,,,,,,,,,buy,hold,hold,buy,buy
2018-07-17 ,IDX:PGAS,1660.0,1730.0,1630.0,1725.0,90337000.0,,,,,,,,,,,,,,,hold,hold,hold,hold,buy
2018-07-18 ,IDX:PGAS,1735.0,1770.0,1715.0,1720.0,86209300.0,1678.0,1678.0,,,,,,,,,,,,,sell,hold,hold,hold,buy
2018-07-19 ,IDX:PGAS,1735.0,1740.0,1660.0,1675.0,74133600.0,1689.0,1677.0,,,,,,,,,,,,,hold,hold,hold,hold,buy
2018-07-20 ,IDX:PGAS,1670.0,1715.0,1655.0,1695.0,47624000.0,1691.0,1683.0,,,,,,,,,,,,,hold,hold,hold,buy,buy
2018-07-23 ,IDX:PGAS,1695.0,1715.0,1670.0,1675.0,38865600.0,1698.0,1680.3333333333333,,,,,,,,,,,,,buy,hold,hold,buy,buy
2018-07-24 ,IDX:PGAS,1690.0,1725.0,1685.0,1720.0,51253700.0,1697.0,1693.5555555555554,,,,,,,,,,,,,hold,hold,hold,buy,buy
2018-07-25 ,IDX:PGAS,1735.0,1750.0,1720.0,1725.0,56761900.0,1698.0,1704.037037037037,1688.0,1688.0,,,,,,,,,,,sell,hold,buy,buy,buy
2018-07-26 ,IDX:PGAS,1730.0,1735.0,1675.0,1680.0,89542300.0,1699.0,1696.0246913580247,1694.0,1686.5454545454545,,,,,,,,,,,hold,hold,buy,buy,buy
2018-07-27 ,IDX:PGAS,1690.0,1700.0,1685.0,1695.0,22826000.0,1699.0,1695.6831275720165,1695.0,1688.0826446280992,,,,,,,,,,,hold,buy,buy,buy,buy
2018-07-30 ,IDX:PGAS,1700.0,1730.0,1690.0,1710.0,44179700.0,1706.0,1700.4554183813443,1702.0,1692.067618332081,,,,,,,,,,,hold,buy,hold,buy,buy
2018-07-31 ,IDX:PGAS,1715.0,1725.0,1670.0,1700.0,49237200.0,1702.0,1700.3036122542296,1699.5,1693.50986954443,,,,,,,,,,,buy,buy,buy,buy,buy
2018-08-01 ,IDX:PGAS,1710.0,1760.0,1700.0,1750.0,87911400.0,1707.0,1716.869074836153,1702.5,1703.7808023545338,,,,,63.829787234042556,,,,,,hold,buy,hold,buy,buy
2018-08-02 ,IDX:PGAS,1750.0,1790.0,1730.0,1730.0,74752900.0,1717.0,1721.2460498907687,1708.0,1708.547929199164,,,,,61.03286384976526,,,,,,buy,buy,hold,buy,buy
2018-08-03 ,IDX:PGAS,1740.0,1785.0,1735.0,1760.0,50859300.0,1730.0,1734.1640332605125,1714.5,1717.9028511629524,,,,,63.60876897133221,,,,,,hold,buy,hold,buy,buy
2018-08-06 ,IDX:PGAS,1775.0,1795.0,1770.0,1775.0,50955200.0,1743.0,1747.776022173675,1724.5,1728.2841509515065,,,,,64.85958363604479,,,,,,hold,hold,buy,hold,buy
2018-08-07 ,IDX:PGAS,1790.0,1795.0,1765.0,1780.0,29803700.0,1759.0,1758.5173481157833,1730.5,1737.6870325966872,,,,,65.28787649011308,,,,,,buy,hold,buy,buy,buy
2018-08-08 ,IDX:PGAS,1790.0,1875.0,1760.0,1870.0,155451200.0,1783.0,1795.6782320771888,1745.0,1761.743935760926,1716.5,1716.5,,,71.92167542066719,,,1822.8531851897253,1716.5,1610.1468148102747,buy,hold,buy,hold,buy
