title,description,published date,url,publisher,keywords,content
"Gandeng GEM, Merdeka Battery (MBMA) Bangun Pabrik HPAL Rp 9,2 Triliun - Investor.ID","Gandeng GEM, Merdeka Battery (MBMA) Bangun Pabrik HPAL Rp 9,2 Triliun  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU0OS9nYW5kZW5nLWdlbS1tZXJkZWthLWJhdHRlcnktbWJtYS1iYW5ndW4tcGFicmlrLWhwYWwtcnAtOTItdHJpbGl1btIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Gojek Tokopedia (GOTO) Fokus Keruk Pendapatan dari Iklan - Investor.ID,Gojek Tokopedia (GOTO) Fokus Keruk Pendapatan dari Iklan  Investor.ID,2023-09-25,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU3OC9nb2play10b2tvcGVkaWEtZ290by1mb2t1cy1rZXJ1ay1wZW5kYXBhdGFuLWRhcmktaWtsYW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Soal Bayar Gugatan Rp 1,2 Triliun, Antam (ANTM) Punya Kas Segini - Investor.ID","Soal Bayar Gugatan Rp 1,2 Triliun, Antam (ANTM) Punya Kas Segini  Investor.ID",2023-09-24,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTQ1OC9zb2FsLWJheWFyLWd1Z2F0YW4tcnAtMTItdHJpbGl1bi1hbnRhbS1hbnRtLXB1bnlhLWthcy1zZWdpbmnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"IHSG Dihujani Sentimen Positif, Berkah untuk Saham-Saham Ini - Investor.ID","IHSG Dihujani Sentimen Positif, Berkah untuk Saham-Saham Ini  Investor.ID",2023-09-24,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTQ2MS9paHNnLWRpaHVqYW5pLXNlbnRpbWVuLXBvc2l0aWYtYmVya2FoLXVudHVrLXNhaGFtc2FoYW0taW5p0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham ADRO, PTBA, ITMG Cs Bisa Panas Gara-gara Ini - Investor.ID","Saham ADRO, PTBA, ITMG Cs Bisa Panas Gara-gara Ini  Investor.ID",2023-09-20,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTA2Ni9zYWhhbS1hZHJvLXB0YmEtaXRtZy1jcy1iaXNhLXBhbmFzLWdhcmFnYXJhLWluadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Gandeng BTV, MVP: Kemajuan Bagi Industri Perfilman - Investor.ID","Gandeng BTV, MVP: Kemajuan Bagi Industri Perfilman  Investor.ID",2023-09-20,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTEyNy9nYW5kZW5nLWJ0di1tdnAta2VtYWp1YW4tYmFnaS1pbmR1c3RyaS1wZXJmaWxtYW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham Nikel Banyak, tapi yang Paling Jos Dua Ini - Investor.ID","Saham Nikel Banyak, tapi yang Paling Jos Dua Ini  Investor.ID",2023-09-19,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTAzMy9zYWhhbS1uaWtlbC1iYW55YWstdGFwaS15YW5nLXBhbGluZy1qb3MtZHVhLWluadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Laba Harita Nickel (NCKL) Bakal Melompat, Target Harga Saham Naik - Investor.ID","Laba Harita Nickel (NCKL) Bakal Melompat, Target Harga Saham Naik  Investor.ID",2023-09-18,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDg5OC9sYWJhLWhhcml0YS1uaWNrZWwtbmNrbC1iYWthbC1tZWxvbXBhdC10YXJnZXQtaGFyZ2Etc2FoYW0tbmFpa9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham Raksasa Nikel MBMA Menuju Level Baru, Dinasti Sedang Dibangun - Investor.ID","Saham Raksasa Nikel MBMA Menuju Level Baru, Dinasti Sedang Dibangun  Investor.ID",2023-09-18,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDg4Ny9zYWhhbS1yYWtzYXNhLW5pa2VsLW1ibWEtbWVudWp1LWxldmVsLWJhcnUtZGluYXN0aS1zZWRhbmctZGliYW5ndW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham Harita Nickel Kebangetan Murah, padahal Punya Kerajaan Nikel Besar - Investor.ID","Saham Harita Nickel Kebangetan Murah, padahal Punya Kerajaan Nikel Besar  Investor.ID",2023-09-17,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDgxMS9zYWhhbS1oYXJpdGEtbmlja2VsLWtlYmFuZ2V0YW4tbXVyYWgtcGFkYWhhbC1wdW55YS1rZXJhamFhbi1uaWtlbC1iZXNhctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Arah Pasar Sepekan dan Saham-Saham Potensial Cuan - Investor.ID,Arah Pasar Sepekan dan Saham-Saham Potensial Cuan  Investor.ID,2023-09-17,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDgyNS9hcmFoLXBhc2FyLXNlcGVrYW4tZGFuLXNhaGFtc2FoYW0tcG90ZW5zaWFsLWN1YW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Sebelum Barito Renewables (BREN) Umumkan IPO, Prajogo Pangestu Borong Saham BRPT - Investor.ID","Sebelum Barito Renewables (BREN) Umumkan IPO, Prajogo Pangestu Borong Saham BRPT  Investor.ID",2023-09-16,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDc4Mi9zZWJlbHVtLWJhcml0by1yZW5ld2FibGVzLWJyZW4tdW11bWthbi1pcG8tcHJham9nby1wYW5nZXN0dS1ib3Jvbmctc2FoYW0tYnJwdNIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"10 Saham Paling Juara Cuannya, Bahkan Hingga 140% - Investor.ID","10 Saham Paling Juara Cuannya, Bahkan Hingga 140%  Investor.ID",2023-09-16,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDc2OS8xMC1zYWhhbS1wYWxpbmctanVhcmEtY3Vhbm55YS1iYWhrYW4taGluZ2dhLTE0MC3SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Antam (ANTM) Pastikan Operasional Tambang Weda Bay Aman dari Banjir - Investor.ID,Antam (ANTM) Pastikan Operasional Tambang Weda Bay Aman dari Banjir  Investor.ID,2023-09-15,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDY1MS9hbnRhbS1hbnRtLXBhc3Rpa2FuLW9wZXJhc2lvbmFsLXRhbWJhbmctd2VkYS1iYXktYW1hbi1kYXJpLWJhbmppctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
