,published_date,title,publisher,kode_emitten
0,2018-09-19,BCA Finance Upayakan Dorong Kontribusi Makassar,Bisnis,BBCA
1,2018-09-26,Saham BBCA Jadi Motor Penggerak IHSG,Bisnis,BBCA
2,2018-10-04,"Tingkatkan Pelayanan, BCA Life Luncurkan Mobile Service",Bisnis,BBCA
3,2018-10-11,"BCA Pasarkan Asuransi Penyakit Kritis dari AIA, Premi Mulai Rp300.000 Per Bulan",Bisnis,BBCA
4,2018-10-16,BCA Tawarkan Buka Rekening Tanpa Buku Tabungan,Bisnis,BBCA
5,2018-11-04,UMKM dan Modal Kerja Dorong Pertumbuhan Kredit BCA,Bisnis,BBCA
6,2018-11-09,"Metode Perhitungan Indeks LQ45 & IDX30 Berubah, BCA Juaranya",CNBC Indonesia,BBCA
7,2018-11-12,BCA Kucurkan Kredit Rp20 Miliar melalui PT Askara Bangun Cemerlang,Bisnis,BBCA
8,2018-11-12,"Oktober 2018, Saham BCA Jadi Juara Nilai Transaksi Tertinggi",CNBC Indonesia,BBCA
9,2018-11-25,BCA MEDAN RUN 2018: 1.800 Peserta Akan Ikut Berpartisipasi,Bisnis,BBCA
10,2018-11-28,BCA Salurkan Kredit kepada Grup Pupuk Indonesia,Bisnis,BBCA
11,2018-12-03,BCA Luncurkan Kartu Kredit Co-Brand Bersama Singapore Airlines,Bisnis,BBCA
12,2018-12-03,Peluncuran BCA Singapore Airlines KrisFlyer Visa Infinite,Bisnis,BBCA
13,2018-12-10,BCA Raih ‘Best of The Best Awards’ 2018 dari Forbes Indonesia,Bisnis,BBCA
14,2018-12-13,Vonis Johanes Kotjo: Pemblokiran 4 Rekening BCA Terpidana Dicabut,Bisnis,BBCA
15,2018-12-17,"BCA Kucurkan Pinjaman Rp 1,2 T ke Perusahaan Sawit Ini",CNBC Indonesia,BBCA
16,2018-12-20,Alipay Disebut Mulai Dekati BRI & BCA,Bisnis,BBCA
