,published_date,title,publisher,kode_emitten
0,2018-09-09,"Fokus dorong digital, BNI gencar kerjasama dengan fintech",Kontan,BBNI
1,2018-10-07,"BNI Incar Kenaikan FBI eChannel 13 Persen Jadi Rp1,7 Triliun",Bisnis,BBNI
2,2018-10-14,"Pendapatan fee digital banking BNI sudah capai Rp 1,2 triliun",Kontan,BBNI
3,2018-10-18,"Dongkrak dana murah, ini strategi yang dilakukan BNI",Kontan,BBNI
4,2018-11-22,BNI Berencana Pakai AI dan BIG Data pada 2020,Bisnis,BBNI
5,2018-11-27,"BNI Cs Kucurkan Dana Rp 13,7 T Untuk Proyek Tol Semanan",CNBC Indonesia,BBNI
6,2018-12-03,BNI Sediakan Layanan untuk Nasabah Disabilitas,Bisnis,BBNI
7,2018-12-17,"Jelang Natal 2018, BNI Salurkan 1.500 Paket Sembako Murah",CNBC Indonesia,BBNI
8,2018-12-17,BNI Sediakan Fitur Tambahan di Mobile Banking,Bisnis,BBNI
9,2018-12-18,BNI Dukung Percepatan Pemkab Malang Jadi Smart City,Bisnis,BBNI
10,2019-01-11,BNI targetkan bisnis cash management tumbuh hingga 30% di tahun 2019 ini,Kontan,BBNI
11,2019-01-16,Kredit Pensiun BNI Melesat 94%,Bisnis,BBNI
12,2019-01-23,"Persaingan Ketat, BNI akan Naikan Suku Bunga Kredit",CNBC Indonesia,BBNI
13,2019-01-23,"Tahun Ini, BNI Incar Akuisisi Bank & Asuransi Kerugian",CNBC Indonesia,BBNI
14,2019-01-23,"Laba BNI Tahun 2018 Capai Rp15,02 Triliun",Bisnis,BBNI
15,2019-01-30,"Berikut tiga sektor yang menyumbang hapus buku BNI sebesar Rp 7,4 triliun di 2018",Kontan,BBNI
16,2019-02-05,"Merger Rampung, BNI & BCA Jadi Pemegang Saham Bank BTPN",CNBC Indonesia,BBNI
17,2019-02-14,"Laba BNI Syariah 2018 Mencapai Rp416,08 Miliar",Bisnis,BBNI
18,2019-02-17,BNI Syariah memberi kontribusi terbesar pada pendapatan Bank BNI,Kontan,BBNI
19,2019-02-19,BNI Perkuat Layanan di Myanmar,Bisnis,BBNI
20,2019-02-25,Catat! BNI Tidak Naikan Bunga KPR Tahun Ini,CNBC Indonesia,BBNI
21,2019-03-03,BNI bidik transaksi Tapcash Rp 600 miliar di BNI Java Jazz 2019,Kontan,BBNI
22,2019-03-04,Ulasan Kinerja Bank BNI: Terbaik di Kelasnya,CNBC Indonesia,BBNI
23,2019-03-04,BNI Masih Audisi Bank BUKU II untuk Dijadikan Bank Digital,Bisnis,BBNI
24,2019-03-11,Simak! Direktur BNI Beberkan Rencana & Target 2019,CNBC Indonesia,BBNI
25,2019-03-19,Market Cap Bank Mandiri & BNI Naik Paling Tinggi Pekan Lalu,CNBC Indonesia,BBNI
26,2019-03-20,Alih Tugas dan Fungsi Pegawai BNI Mencapai 60 Persen,Bisnis,BBNI
27,2019-03-21,TNI AD Gandeng BNI Salurkan Tunjangan Prajurit,Bisnis,BBNI
28,2019-03-22,Bank BNI jadi sponsor Stasiun MRT Dukuh Atas selama 10 tahun,Kontan,BBNI
29,2019-03-23,"Bisnis KTA, BNI Rencanakan Skema Pinjaman di Bawah Rp5 Juta",Bisnis,BBNI
30,2019-03-28,BNI Kediri Pacu Transaksi Keagenan dengan Hadiah,Bisnis,BBNI
31,2019-03-29,"Untuk Danai Kredit, BNI Terbitkan NCD Rp 950 M",CNBC Indonesia,BBNI
32,2019-03-31,"Bank BNI ikut pembiayaan sindikasi Rp 26,72 triliun sepanjang kuartal I-2019",Kontan,BBNI
33,2019-04-02,BNI Buka Kantor di Universitas Negeri Makassar (UNM),Bisnis,BBNI
34,2019-04-07,Ammana Kerja Sama Dengan Bank BNI Syariah,CNBC Indonesia,BBNI
35,2019-04-10,Ini Strategi BNI Jaga Kualitas Kredit,Bisnis,BBNI
36,2019-04-16,Begini progres dari rencana akuisisi yang akan dilakukan BNI dan BTN di tahun ini,Kontan,BBNI
37,2019-04-18,"BNI Dorong Kredit Pertanian, Ini Strateginya",Bisnis,BBNI
38,2019-04-24,"Rencana IPO BNI Syariah tahun ini kemungkinan akan ditunda, kenapa?",Kontan,BBNI
39,2019-04-30,Ridwan Kamil Pilih Direktur Penyelamatan dan Penyelesaian Kredit BNI Pimpin BJB,Bisnis,BBNI
40,2019-05-08,Lima Mitra Binaan BNI Ramaikan Gelar Batik Nusantara 2019,Bisnis,BBNI
41,2019-05-13,"Tak Ada Direksi yang Diganti, BNI Hanya Rombak Komisaris",CNBC Indonesia,BBNI
42,2019-05-13,Ini Dua Profil Komisaris Anyar Bank BNI,CNBC Indonesia,BBNI
43,2019-05-16,"Laba BNI Cabang London naik 12,71% pada April 2019",Kontan,BBNI
44,2019-06-01,"Cek Persiapan Mudik, Direksi BNI Turun ke Lapangan",CNBC Indonesia,BBNI
45,2019-06-01,"Ini jadwal layanan operasional BCA, Bank Mandiri, BRI dan BNI saat libur Lebaran",Kontan,BBNI
46,2019-06-07,Selama Lebaran Kantor Cabang BNI Luar Negeri Beroperasi Penuh,CNBC Indonesia,BBNI
47,2019-06-12,"Ada Kantor BNI di Pusat Demo Hong Kong, Bagaimana Nasibnya?",CNBC Indonesia,BBNI
48,2019-06-16,Bank BNI Masih Kaji Rencana Revisi RBB 2019,Bisnis,BBNI
49,2019-06-25,BNI Gandeng Kyodai Remittance Tingkatkan Transaksi di Jepang,Bisnis,BBNI
50,2019-06-26,LAPORAN DARI JEPANG : Pelayanan BNI Osaka Diperluas,Bisnis,BBNI
51,2019-06-27,"Bidik nasabah tajir, BNI rilis kartu kredit Visa Signature",Kontan,BBNI
52,2019-06-27,BNI Visa Signature Rilis Kartu Kredit Contactless,Bisnis,BBNI
53,2019-07-03,BNI Mobile Banking,Kontan,BBNI
54,2019-07-04,BNI dan Bank Mandiri kian gencar salurkan kredit mikro,Kontan,BBNI
55,2019-07-06,Start-up Lyfe Gandeng BNI Hadirkan Jam Tangan Pembayaran Pertama di Indonesia,Bisnis,BBNI
56,2019-07-16,BNI Wilayah Manado Lakukan Pergantian Pemimpin,Bisnis,BBNI
57,2019-07-18,"Simak Penilaian Fitch terhadap Bank Mandiri, BRI, dan BNI",Kontan,BBNI
58,2019-07-19,BNI-JAL Beri Promo Menarik Liburan ke Jepang Sampai AS,CNBC Indonesia,BBNI
59,2019-07-23,"Laba BNI Semester I/2019 Tumbuh 2,7 Persen",Bisnis,BBNI
60,2019-07-24,"Kurs Dolar, Euro di Bank Mandiri & BNI Hari Ini, Mana Lebih Murah?",Bisnis,BBNI
61,2019-07-29,"Sawit Sumbermas Sarana (SSMS) Gaet Pinjaman dari BNI Rp 1,13 Triliun",Kontan,BBNI
62,2019-07-30,Ini Strategi BNI Gaet Milenial untuk Menabung,CNBC Indonesia,BBNI
63,2019-08-05,"Antisipasi pemadaman listrik, BNI siapkan genset di ATM",Kontan,BBNI
64,2019-08-07,"Layani TKI, Biaya Transfer BNI Hong Kong Termurah Sedunia",CNBC Indonesia,BBNI
65,2019-08-07,BNI Akrabkan Perbankan Digital ke Pekerja Migran di Hong Kong,Bisnis,BBNI
66,2019-08-07,BNI dorong perbankan digital pada pekerja migran di Hong Kong,Kontan,BBNI
67,2019-08-07,"Biaya Lebih Murah, BNI Perkuat Remitansi dari TKI Hong Kong",CNBC Indonesia,BBNI
68,2019-08-08,BEI Jatuhkan Peringatan ke BNI Sekuritas,CNBC Indonesia,BBNI
69,2019-08-13,BNI Manado Target Akuisisi 2.000 Merchant Baru,Bisnis,BBNI
70,2019-08-17,"Bantu WNI di Jepang, Kini di BNI Osaka pun Bisa Buka Rekening",CNBC Indonesia,BBNI
71,2019-08-20,BNI bidik transaksi QR code capai 20% dari total transaksi EDC tahun depan,Kontan,BBNI
72,2019-08-22,"Dana kelolaan DPLK BNI mencapai Rp 22,9 triliun hingga Juli 2019",Kontan,BBNI
73,2019-08-22,"Susul Bank Mandiri (BMRI), Bank BNI (BBNI) Ikut Kucurkan Kredit Untuk Perakit iPhone",Kontan,BBNI
74,2019-08-23,Kejutan Bagi Nasabah di Bulan Layanan BNI Wilayah Malang,Bisnis,BBNI
75,2019-08-27,Siap-siap! Bakal Ada Direksi BNI yang Diganti Pekan Ini,CNBC Indonesia,BBNI
76,2019-08-30,"BNI gelar RUPSLB hari ini, bagaimana nasib jajaran direksinya?",Kontan,BBNI
77,2019-08-30,"Perombakan direksi bank BUMN berlanjut, Ario Bimo jadi direktur termuda di BNI",Kontan,BBNI
78,2019-08-30,"Pindah dari Bank Mandiri, Askolani Jadi Komisaris BNI",CNBC Indonesia,BBNI
79,2019-08-30,"Achmad Baiquni Tetap Dirut, Direksi BNI Dirombak",CNBC Indonesia,BBNI
