,published_date,title,publisher,kode_emitten
0,2018-09-09,BTN sarankan nasabah wealth managementnnya lakukan pengembangan produk,Kontan,BBTN
1,2018-09-11,"Remunerasi direksi dan komisaris Bank BTN mencapai Rp 3,6 miliar",Kontan,BBTN
2,2018-12-03,Strategi BTN menjaga likuiditas agar LDR mencapai 105%,Kontan,BBTN
3,2018-12-18,"Bunga Deposito Special Rate Tembus 9%, BTN Ogah Ikut Bersaing",Bisnis,BBTN
4,2019-01-23,"Startup Usia 5 Tahun Kalahkan Valuasi BTN, Kok Bisa?",CNBC Indonesia,BBTN
5,2019-02-11,"BTN Catat Perolehan Laba Hingga Rp 3,2 Triliun Sepanjang 2018",CNBC Indonesia,BBTN
6,2019-02-14,"BTN Syariah luncurkan KPR Hits demi pasar milenial, ini keistimewaannya",Kontan,BBTN
7,2019-03-28,"Laba BTN Rp2,8 Triliun, Turun 7 Persen",Bisnis,BBTN
8,2019-03-29,"Laba BBTN 2018 Turun 7%, Capai Rp 2,8 T",CNBC Indonesia,BBTN
9,2019-04-16,Begini progres dari rencana akuisisi yang akan dilakukan BNI dan BTN di tahun ini,Kontan,BBTN
10,2019-05-02,Laba Permodalan Nasional Madani berpotensi terkerek pasca BTN akuisisi PNMIM,Kontan,BBTN
11,2019-05-17,Hasil RUPS: BTN Ganti Satu Direksi dan Dua Komisaris,CNBC Indonesia,BBTN
12,2019-07-08,"Hadapi SDG, Bank BTN Sudah Siapkan Peta Jalan",Bisnis,BBTN
13,2019-08-01,"Saham BBTN (Bank BTN) naik 0,41%, ini PER dan PBV terbaru (31/7)",Kontan,BBTN
14,2019-08-02,Bank BTN buka kantor cabang di Tarakan,Kontan,BBTN
15,2019-08-07,Membedah Kinerja Kinclong Bank BTN di Semester I-2019,CNBC Indonesia,BBTN
16,2019-08-14,"Berinovasi di KPR, BTN Bertahan di Tengah Lesunya Properti",CNBC Indonesia,BBTN
17,2019-08-21,Eksklusif Streaming! Direksi BTN Bicara Proyeksi Kinerja 2019,CNBC Indonesia,BBTN
18,2019-08-29,"Lewat RUPSLB, Suprajarto Ditunjuk Pimpin BTN",CNBC Indonesia,BBTN
19,2019-08-29,"Direksi BMRI Lolos Perombakan, Gimana Nasib Direksi BTN?",CNBC Indonesia,BBTN
20,2019-08-29,"Rencana Rini Berjalan Mulus, Dirut BTN Diganti Bos BRI",CNBC Indonesia,BBTN
21,2019-08-29,"Dicopot dari Dirut Bank BTN, Apa Rencana Maryono?",CNBC Indonesia,BBTN
22,2019-08-29,"Jelang RUPSLB Siang Ini, Simak Kinerja Bisnis Bank BTN",CNBC Indonesia,BBTN
23,2019-08-29,Serikat Pekerja Dukung Suprajarto Tolak Jadi Dirut BTN,CNBC Indonesia,BBTN
24,2019-08-29,Alasan Suprajarto Menolak Digeser Tiba-tiba dari BRI ke BTN,CNBC Indonesia,BBTN
25,2019-08-29,Alasan Rini Pindahkan Suprajarto ke BTN: Untuk Refreshing,CNBC Indonesia,BBTN
26,2019-08-29,"Suprajarto Menolak, Siapa Jadi Dirut BTN?",CNBC Indonesia,BBTN
27,2019-08-29,"Suprajarto Jadi Dirut BTN, Siapa Dirut Baru BRI?",CNBC Indonesia,BBTN
28,2019-08-29,Sah! RUPSLB BTN Setujui Akuisisi Sarana Papua Ventura,CNBC Indonesia,BBTN
29,2019-08-29,"RUPSLB Bank BTN, Maryono hengkang digantikan Suprajarto sebagai dirut",Kontan,BBTN
30,2019-08-29,"Usai menolak jadi dirut BTN, Suprajarto: Saya mau liburan dan nikahkan anak bungsu",Kontan,BBTN
