title,description,published date,url,publisher,keywords,content
"Saham Bank Ini Diam-diam Bisa Kasih Cuan dan Dividen Gede, Pegangan LKH - Investor.ID","Saham Bank Ini Diam-diam Bisa Kasih Cuan dan Dividen Gede, Pegangan LKH  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU1Ni9zYWhhbS1iYW5rLWluaS1kaWFtZGlhbS1iaXNhLWthc2loLWN1YW4tZGFuLWRpdmlkZW4tZ2VkZS1wZWdhbmdhbi1sa2jSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Kelebihan 'KBstar', Mobile Banking yang Serba Bisa Persembahan Bank KB Bukopin - Investor.ID","Kelebihan 'KBstar', Mobile Banking yang Serba Bisa Persembahan Bank KB Bukopin  Investor.ID",2023-09-22,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDEzNjUva2VsZWJpaGFuLWtic3Rhci1tb2JpbGUtYmFua2luZy15YW5nLXNlcmJhLWJpc2EtcGVyc2VtYmFoYW4tYmFuay1rYi1idWtvcGlu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Yang Pegang Saham Medco Sabar, Target Harga Masih Tinggi - Investor.ID","Yang Pegang Saham Medco Sabar, Target Harga Masih Tinggi  Investor.ID",2023-09-21,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTIzMy95YW5nLXBlZ2FuZy1zYWhhbS1tZWRjby1zYWJhci10YXJnZXQtaGFyZ2EtbWFzaWgtdGluZ2dp0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Bank Mandiri (BMRI) Gandeng FishLog, Pacu Kredit Digital ke UMKM - Investor.ID","Bank Mandiri (BMRI) Gandeng FishLog, Pacu Kredit Digital ke UMKM  Investor.ID",2023-09-20,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDExMjMvYmFuay1tYW5kaXJpLWJtcmktZ2FuZGVuZy1maXNobG9nLXBhY3Uta3JlZGl0LWRpZ2l0YWwta2UtdW1rbdIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Bank Mandiri (BMRI) Dorong Penyaluran Kredit Infrastruktur - Investor.ID,Bank Mandiri (BMRI) Dorong Penyaluran Kredit Infrastruktur  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDA4OTIvYmFuay1tYW5kaXJpLWJtcmktZG9yb25nLXBlbnlhbHVyYW4ta3JlZGl0LWluZnJhc3RydWt0dXLSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Barito Pacific (BRPT) Tembus Barisan Emiten Elite - Investor.ID,Barito Pacific (BRPT) Tembus Barisan Emiten Elite  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDkzNC9iYXJpdG8tcGFjaWZpYy1icnB0LXRlbWJ1cy1iYXJpc2FuLWVtaXRlbi1lbGl0ZdIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
digibank by DBS Rambah 800 Ribu Pengguna - Investor.ID,digibank by DBS Rambah 800 Ribu Pengguna  Investor.ID,2023-09-17,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDA4MDIvZGlnaWJhbmstYnktZGJzLXJhbWJhaC04MDAtcmlidS1wZW5nZ3VuYdIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Bank Mandiri Menggalakkan Program #SuperAPPSuperLengkAPP di Livin' Fest - Investor.ID,Bank Mandiri Menggalakkan Program #SuperAPPSuperLengkAPP di Livin' Fest  Investor.ID,2023-09-14,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zNDA1OTQvYmFuay1tYW5kaXJpLW1lbmdnYWxha2thbi1wcm9ncmFtLXN1cGVyYXBwc3VwZXJsZW5na2FwcC1kaS1saXZpbi1mZXN00gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Didominasi Saham BBRI, BBCA, dan BMRI, Investor Asing Net Sell Rp 1,1 Triliun - Investor.ID","Didominasi Saham BBRI, BBCA, dan BMRI, Investor Asing Net Sell Rp 1,1 Triliun  Investor.ID",2023-09-07,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTk4OS9kaWRvbWluYXNpLXNhaGFtLWJicmktYmJjYS1kYW4tYm1yaS1pbnZlc3Rvci1hc2luZy1uZXQtc2VsbC1ycC0xMS10cmlsaXVu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Beberapa Sektor yang Terdampak Pemilu, 7 Saham Dijagokan - Investor.ID","Beberapa Sektor yang Terdampak Pemilu, 7 Saham Dijagokan  Investor.ID",2023-09-04,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTY1My9iZWJlcmFwYS1zZWt0b3IteWFuZy10ZXJkYW1wYWstcGVtaWx1LTctc2FoYW0tZGlqYWdva2Fu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham Astra (ASII) Lagi Murah, Potensi Cuan Tambah Besar - Investor.ID","Saham Astra (ASII) Lagi Murah, Potensi Cuan Tambah Besar  Investor.ID",2023-08-23,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzODY5MS9zYWhhbS1hc3RyYS1hc2lpLWxhZ2ktbXVyYWgtcG90ZW5zaS1jdWFuLXRhbWJhaC1iZXNhctIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
BCA (BBCA) Incar AUM Bisnis Wealth Management Tumbuh 30% - Investor.ID,BCA (BBCA) Incar AUM Bisnis Wealth Management Tumbuh 30%  Investor.ID,2023-08-23,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzg3ODYvYmNhLWJiY2EtaW5jYXItYXVtLWJpc25pc3dlYWx0aC1tYW5hZ2VtZW50dHVtYnVoMzDSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Bank Mandiri (BMRI) Proyeksi Kinerja Industri Perbankan Masih Positif Jelang Pemilu - Investor.ID,Bank Mandiri (BMRI) Proyeksi Kinerja Industri Perbankan Masih Positif Jelang Pemilu  Investor.ID,2023-08-22,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vaW52ZXN0b3IuaWQvZmluYW5jZS8zMzg2NjAvYmFuay1tYW5kaXJpLWJtcmktcHJveWVrc2kta2luZXJqYS1pbmR1c3RyaXBlcmJhbmthbi1tYXNpaC1wb3NpdGlmLWplbGFuZy1wZW1pbHXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
