,published_date,title,publisher,kode_emitten
0,2018-09-13,"Laba Barito Pacific Turun, Ini Penjelasan dari Direksi",CNBC Indonesia,BRPT
1,2019-03-31,STRATEGI EMITEN : Star Energy Jaga Kinerja BRPT,Bisnis,BRPT
2,2019-04-12,"Prajogo Pangestu Kembali Lepas Saham Barito Pacific Rp 1,2 T",CNBC Indonesia,BRPT
3,2019-04-12,"5 Bulan Prajogo Sudah Lepas Rp 2,59 T Saham Barito Pacific",CNBC Indonesia,BRPT
4,2019-05-03,Moody's Ingatkan Risiko Surat Utang Barito Pacific Tinggi,CNBC Indonesia,BRPT
5,2019-05-15,Barito Pacific (BRPT) Rombak Susunan Komisaris,Bisnis,BRPT
6,2019-07-19,PT Barito Pacific Tbk (BRPT) timbang ulang kemungkinan terbitkan obligasi tahun ini,Kontan,BRPT
7,2019-07-19,"Stock Split Saham, Ini Alasan Barito Pacific (BRPT)",Bisnis,BRPT
8,2019-07-19,Sah! Barito Pacific (BRPT) akan stock split dengan rasio 1:5 di pertengahan Agustus,Kontan,BRPT
9,2019-07-20,"Barito Pacific (BRPT) akan stock split dengan rasio 1:5, begini kata analis",Kontan,BRPT
10,2019-09-19,Cucu Usaha Barito Pacific (BRPT) Dapat Investor Baru,Bisnis,BRPT
11,2019-09-19,"Nyali Besar! Investasi di BRPT Rp 100 Juta, Jadi Rp 216 Juta",CNBC Indonesia,BRPT
12,2019-09-30,"Prajogo Pangestu Tekor Lagi, Laba BRPT di Juni Amblas 74%",CNBC Indonesia,BRPT
13,2019-09-30,"Ini penyebab laba Barito Pacific (BRPT) turun 73,8% di semester I 2019",Kontan,BRPT
14,2019-10-01,"Kinerja Barito Pacific (BRPT) Jeblok, Ini Kata Agus Salim Pangestu",Kontan,BRPT
15,2019-12-06,"Daftar orang kaya Indonesia, Bos Barito Pacific Group melejit",Kontan,BRPT
16,2019-12-10,Laju Saham BRPT Bikin Kekayaan Prajogo Pangestu Tembus US$8 Miliar,Bisnis,BRPT
17,2019-12-26,"Kinerja Barito Pacific (BRPT) tertekan harga produk petrokimia, ini kata analis",Kontan,BRPT
18,2019-12-30,"Transaksi negosiasi hari ini: BRPT senilai Rp 3,5 triliun, KPIG, dan ARTO menyusul",Kontan,BRPT
19,2020-01-04,"Barito Pacific Akuisisi Lahan Di Banten Senilai Rp 1,13 T",CNBC Indonesia,BRPT
20,2020-02-04,"Pasar Saham Bergejolak, Begini Respons Bos Barito Pacific",CNBC Indonesia,BRPT
21,2020-03-11,"Divestasi Anak BRPT, Jalan Perkawanan Michael Sampoerna dan Agus Salim Pangestu di Hutan?",Bisnis,BRPT
22,2020-03-13,Barito Pacific Buyback Saham Rp 1 Triliun,CNBC Indonesia,BRPT
23,2020-04-01,Pendiri Barito Pacific (BRPT) Salurkan Bantuan Pandemi COVID-19 Sebesar Rp30 Miliar,Bisnis,BRPT
