title,description,published date,url,publisher,keywords,content
"Lepas Multi Tambangjaya ke Petrindo (CUAN), Begini Penjelasan Indika (INDY) - Investor.ID","Lepas Multi Tambangjaya ke Petrindo (CUAN), Begini Penjelasan Indika (INDY)  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTUwNy9sZXBhcy1tdWx0aS10YW1iYW5namF5YS1rZS1wZXRyaW5kby1jdWFuLWJlZ2luaS1wZW5qZWxhc2FuLWluZGlrYS1pbmR50gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Induk Jasa Keuangan Grup Sinar Mas (SMMA) Gandeng S-Quantum Engine - Investor.ID,Induk Jasa Keuangan Grup Sinar Mas (SMMA) Gandeng S-Quantum Engine  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDkyMi9pbmR1ay1qYXNhLWtldWFuZ2FuLWdydXAtc2luYXItbWFzLXNtbWEtZ2FuZGVuZy1zcXVhbnR1bS1lbmdpbmXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Arah Pasar Sepekan dan Saham-Saham Potensial Cuan - Investor.ID,Arah Pasar Sepekan dan Saham-Saham Potensial Cuan  Investor.ID,2023-09-17,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDgyNS9hcmFoLXBhc2FyLXNlcGVrYW4tZGFuLXNhaGFtc2FoYW0tcG90ZW5zaWFsLWN1YW7SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"EXCL dan ISAT Buka Pintu bagi Starlink, FREN Selangkah Lebih Maju - Investor.ID","EXCL dan ISAT Buka Pintu bagi Starlink, FREN Selangkah Lebih Maju  Investor.ID",2023-09-14,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDUzNy9leGNsLWRhbi1pc2F0LWJ1a2EtcGludHUtYmFnaS1zdGFybGluay1mcmVuc2VsYW5na2FoLWxlYmloLW1hanXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham EXCL Cuma Naik Segini, Jika Jadi Merger dengan FREN - Investor.ID","Saham EXCL Cuma Naik Segini, Jika Jadi Merger dengan FREN  Investor.ID",2023-09-12,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDM5NC9zYWhhbS1leGNsLWN1bWEtbmFpay1zZWdpbmktamlrYS1qYWRpLW1lcmdlci1kZW5nYW4tZnJlbtIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Pundi-pundi Cuan Telkom (TLKM), Target Harga Saham Naik - Investor.ID","Pundi-pundi Cuan Telkom (TLKM), Target Harga Saham Naik  Investor.ID",2023-09-12,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDM2My9wdW5kaXB1bmRpLWN1YW4tdGVsa29tLXRsa20tdGFyZ2V0LWhhcmdhLXNhaGFtLW5haWvSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Opsi Merger Smartfren dan XL Dihidupkan Lagi, Ini Dampaknya bagi Industri - Investor.ID","Opsi Merger Smartfren dan XL Dihidupkan Lagi, Ini Dampaknya bagi Industri  Investor.ID",2023-09-07,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTkyMS9vcHNpLW1lcmdlci1zbWFydGZyZW4tZGFuLXhsLWRpaGlkdXBrYW4tbGFnaS1pbmktZGFtcGFrbnlhLWJhZ2ktaW5kdXN0cmnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Charoen (CPIN) Masuk Radar Cuan, Target Harga Sahamnya Baru - Investor.ID","Charoen (CPIN) Masuk Radar Cuan, Target Harga Sahamnya Baru  Investor.ID",2023-09-06,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTgzOS9jaGFyb2VuLWNwaW4tbWFzdWstcmFkYXItY3Vhbi10YXJnZXQtaGFyZ2Etc2FoYW1ueWEtYmFyddIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Axiata dan Sinar Mas Dikabarkan Bahas Lagi Kemungkinan Merger XL (EXCL) & Smartfren (FREN) - Investor.ID,Axiata dan Sinar Mas Dikabarkan Bahas Lagi Kemungkinan Merger XL (EXCL) & Smartfren (FREN)  Investor.ID,2023-09-05,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vaW52ZXN0b3IuaWQvaW50ZXJuYXRpb25hbC8zMzk3NDAvYXhpYXRhLWRhbi1zaW5hci1tYXMtZGlrYWJhcmthbi1iYWhhcy1sYWdpLWtlbXVuZ2tpbmFuLW1lcmdlci14bC1leGNsLXNtYXJ0ZnJlbi1mcmVu0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Target Harga Baru BBRI Keluar, Potensi Gain Tambah Lebar - Investor.ID","Target Harga Baru BBRI Keluar, Potensi Gain Tambah Lebar  Investor.ID",2023-09-04,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTYzNi90YXJnZXQtaGFyZ2EtYmFydS1iYnJpLWtlbHVhci1wb3RlbnNpLWdhaW4tdGFtYmFoLWxlYmFy0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
