title,description,published date,url,publisher,keywords,content
"Gandeng GEM, Merdeka Battery (MBMA) Bangun Pabrik HPAL Rp 9,2 Triliun - Investor.ID","Gandeng GEM, Merdeka Battery (MBMA) Bangun Pabrik HPAL Rp 9,2 Triliun  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU0OS9nYW5kZW5nLWdlbS1tZXJkZWthLWJhdHRlcnktbWJtYS1iYW5ndW4tcGFicmlrLWhwYWwtcnAtOTItdHJpbGl1btIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Emiten Nikel Kian Legit Didukung Kebijakan Pemerintah - Investor.ID,Emiten Nikel Kian Legit Didukung Kebijakan Pemerintah  Investor.ID,2023-09-25,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTQ4MS9lbWl0ZW4tbmlrZWwta2lhbi1sZWdpdC1kaWR1a3VuZy1rZWJpamFrYW4tcGVtZXJpbnRhaNIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Sumber Global Energy (SGER) Akan Bagikan Dividen Saham, Segini Usulannya - Investor.ID","Sumber Global Energy (SGER) Akan Bagikan Dividen Saham, Segini Usulannya  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTUxOC9zdW1iZXItZ2xvYmFsLWVuZXJneS1zZ2VyLWFrYW4tYmFnaWthbi1kaXZpZGVuLXNhaGFtLXNlZ2luaS11c3VsYW5ueWHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Soal Bayar Gugatan Rp 1,2 Triliun, Antam (ANTM) Punya Kas Segini - Investor.ID","Soal Bayar Gugatan Rp 1,2 Triliun, Antam (ANTM) Punya Kas Segini  Investor.ID",2023-09-24,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTQ1OC9zb2FsLWJheWFyLWd1Z2F0YW4tcnAtMTItdHJpbGl1bi1hbnRhbS1hbnRtLXB1bnlhLWthcy1zZWdpbmnSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Mengubur Kesan Invasi pada Investasi Pertambangan (Bagian Pertama) - Investor.ID,Mengubur Kesan Invasi pada Investasi Pertambangan (Bagian Pertama)  Investor.ID,2023-09-23,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vaW52ZXN0b3IuaWQvYnVzaW5lc3MvMzQxNDA1L21lbmd1YnVyLWtlc2FuLWludmFzaS1wYWRhLWludmVzdGFzaS1wZXJ0YW1iYW5nYW4tYmFnaWFuLXBlcnRhbWHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Semester I-2023, Menn Teknologi (MENN) Berhasil Catatkan Kinerja Positif - Investor.ID","Semester I-2023, Menn Teknologi (MENN) Berhasil Catatkan Kinerja Positif  Investor.ID",2023-09-22,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTI4OS9zZW1lc3Rlci1pMjAyMy1tZW5uLXRla25vbG9naS1tZW5uLWJlcmhhc2lsLWNhdGF0a2FuLWtpbmVyamEtcG9zaXRpZtIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Geger Nikel, Harita Nickel (NCKL) Lebih Diuntungkan - Investor.ID","Geger Nikel, Harita Nickel (NCKL) Lebih Diuntungkan  Investor.ID",2023-09-21,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTE4MS9nZWdlci1uaWtlbC1oYXJpdGEtbmlja2VsLW5ja2wtbGViaWhkaXVudHVuZ2thbtIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Sumber Global Energy (SGER) Mau Bagi-bagi Dividen Saham - Investor.ID,Sumber Global Energy (SGER) Mau Bagi-bagi Dividen Saham  Investor.ID,2023-09-21,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTIyNS9zdW1iZXItZ2xvYmFsLWVuZXJneS1zZ2VyLW1hdS1iYWdpYmFnaS1kaXZpZGVuLXNhaGFt0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Amman Mineral (AMMN) Ungkap Fakta Baru - Investor.ID,Amman Mineral (AMMN) Ungkap Fakta Baru  Investor.ID,2023-09-20,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTEwOS9hbW1hbi1taW5lcmFsLWFtbW4tdW5na2FwLWZha3RhLWJhcnXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Saham Nikel Banyak, tapi yang Paling Jos Dua Ini - Investor.ID","Saham Nikel Banyak, tapi yang Paling Jos Dua Ini  Investor.ID",2023-09-19,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTAzMy9zYWhhbS1uaWtlbC1iYW55YWstdGFwaS15YW5nLXBhbGluZy1qb3MtZHVhLWluadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
