title,description,published date,url,publisher,keywords,content
"Danai Pabrik Rp 57 Triliun, Indah Kiat Grup Sinar Mas (INKP) Pakai Ini - Investor.ID","Danai Pabrik Rp 57 Triliun, Indah Kiat Grup Sinar Mas (INKP) Pakai Ini  Investor.ID",2023-09-25,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTU3NC9kYW5haS1wYWJyaWstcnAtNTctdHJpbGl1bi1pbmRhaC1raWF0LWdydXAtc2luYXItbWFzLWlua3AtcGFrYWktaW5p0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Sariguna Primatirta (CLEO) Luncurkan Varian Baru - Investor.ID,Sariguna Primatirta (CLEO) Luncurkan Varian Baru  Investor.ID,2023-09-22,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MTM2MC9zYXJpZ3VuYS1wcmltYXRpcnRhLWNsZW8tbHVuY3Vya2FuLXZhcmlhbi1iYXJ10gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Induk Jasa Keuangan Grup Sinar Mas (SMMA) Gandeng S-Quantum Engine - Investor.ID,Induk Jasa Keuangan Grup Sinar Mas (SMMA) Gandeng S-Quantum Engine  Investor.ID,2023-09-18,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDkyMi9pbmR1ay1qYXNhLWtldWFuZ2FuLWdydXAtc2luYXItbWFzLXNtbWEtZ2FuZGVuZy1zcXVhbnR1bS1lbmdpbmXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Indah Kiat Grup Sinar Mas (INKP) Mau Bangun Pabrik Rp 57 Triliun, Lokasinya Mepet Sini - Investor.ID","Indah Kiat Grup Sinar Mas (INKP) Mau Bangun Pabrik Rp 57 Triliun, Lokasinya Mepet Sini  Investor.ID",2023-09-14,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDU3Ni9pbmRhaC1raWF0LWdydXAtc2luYXItbWFzLWlua3AtbWF1LWJhbmd1bi1wYWJyaWstcnAtNTctdHJpbGl1bi1sb2thc2lueWEtbWVwZXQtc2luadIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Ekspektasi terhadap GOTO Berubah, Target Harga Sahamnya Baru - Investor.ID","Ekspektasi terhadap GOTO Berubah, Target Harga Sahamnya Baru  Investor.ID",2023-09-14,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzM0MDU3Ny9la3NwZWt0YXNpLXRlcmhhZGFwLWdvdG8tYmVydWJhaC10YXJnZXQtaGFyZ2Etc2FoYW1ueWEtYmFyddIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Target Harga Baru BBRI Keluar, Potensi Gain Tambah Lebar - Investor.ID","Target Harga Baru BBRI Keluar, Potensi Gain Tambah Lebar  Investor.ID",2023-09-04,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTYzNi90YXJnZXQtaGFyZ2EtYmFydS1iYnJpLWtlbHVhci1wb3RlbnNpLWdhaW4tdGFtYmFoLWxlYmFy0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Harga Melesat 20%, Medco (MEDC) Motor Penopang IHSG - Investor.ID","Harga Melesat 20%, Medco (MEDC) Motor Penopang IHSG  Investor.ID",2023-09-01,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzOTQ1NS9oYXJnYS1tZWxlc2F0LTIwLW1lZGNvLW1lZGMtbW90b3ItcGVub3BhbmctaWhzZ9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Indonesia Siapkan ASEAN Concord IV, Visi 2045 - Investor.ID","Indonesia Siapkan ASEAN Concord IV, Visi 2045  Investor.ID",2023-09-01,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vaW52ZXN0b3IuaWQvaW50ZXJuYXRpb25hbC8zMzk0MTUvaW5kb25lc2lhLXNpYXBrYW4tYXNlYW4tY29uY29yZC1pdi12aXNpLTIwNDXSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Tiga Saham Sawit Turut Ketiban Berkah Bursa Karbon - Investor.ID,Tiga Saham Sawit Turut Ketiban Berkah Bursa Karbon  Investor.ID,2023-08-25,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzODkxMi90aWdhLXNhaGFtLXNhd2l0LXR1cnV0LWtldGliYW4tYmVya2FoLWJ1cnNhLWthcmJvbtIBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Prospek Saham Surya Esa (ESSA) di Tengah Pergerakan Harga Komoditas - Investor.ID,Prospek Saham Surya Esa (ESSA) di Tengah Pergerakan Harga Komoditas  Investor.ID,2023-08-13,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNzk1Ny9wcm9zcGVrLXNhaGFtLXN1cnlhLWVzYS1lc3NhLWRpLXRlbmdhaC1wZXJnZXJha2FuLWhhcmdhLWtvbW9kaXRhc9IBAA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Penjualan Properti Tetap Pesat, Berikut Target Harga Kelima Saham Pengembang Ini - Investor.ID","Penjualan Properti Tetap Pesat, Berikut Target Harga Kelima Saham Pengembang Ini  Investor.ID",2023-08-11,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNzgwOC9wZW5qdWFsYW4tcHJvcGVydGktdGV0YXAtcGVzYXQtYmVyaWt1dC10YXJnZXQtaGFyZ2Eta2VsaW1hLXNhaGFtLXBlbmdlbWJhbmctaW5p0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Potensi Gain 136%, Sekuritas Ini Sebut Saham Indah Kiat (INKP) Layak Dihargai Premium - Investor.ID","Potensi Gain 136%, Sekuritas Ini Sebut Saham Indah Kiat (INKP) Layak Dihargai Premium  Investor.ID",2023-08-10,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNzY4OS9wb3RlbnNpLWdhaW4tMTM2LXNla3VyaXRhcy1pbmktc2VidXQtc2FoYW0taW5kYWgta2lhdC1pbmtwLWxheWFrLWRpaGFyZ2FpLXByZW1pdW3SAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
"Beri Ruang bagi UMKM, Agung Sedayu Resmi Operasikan Aloha PIK 2 - Investor.ID","Beri Ruang bagi UMKM, Agung Sedayu Resmi Operasikan Aloha PIK 2  Investor.ID",2023-08-08,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vaW52ZXN0b3IuaWQvYnVzaW5lc3MvMzM3NTA2L2JlcmktcnVhbmctYmFnaS11bWttLWFndW5nLXNlZGF5dS1yZXNtaS1vcGVyYXNpa2FuLWFsb2hhLXBpay0y0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Mau Saham Murah tapi Gak Murahan? Ini Daftar Terbarunya! - Investor.ID,Mau Saham Murah tapi Gak Murahan? Ini Daftar Terbarunya!  Investor.ID,2023-07-28,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNjQwOC9tYXUtc2FoYW0tbXVyYWgtdGFwaS1nYWstbXVyYWhhbi1pbmktZGFmdGFyLXRlcmJhcnVueWHSAQA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Laba Astra Turun Gara-gara Investasi di Goto - Investor.ID,Laba Astra Turun Gara-gara Investasi di Goto  Investor.ID,2023-07-28,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNjQ5NS9sYWJhLWFzdHJhLXR1cnVuLWdhcmFnYXJhLWludmVzdGFzaS1kaS1nb3Rv0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
Saham Pilihan untuk Trading 27 Juli dan Target Harganya - Investor.ID,Saham Pilihan untuk Trading 27 Juli dan Target Harganya  Investor.ID,2023-07-27,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vaW52ZXN0b3IuaWQvbWFya2V0LzMzNjI3Mi9zYWhhbS1waWxpaGFuLXVudHVrLXRyYWRpbmctMjctanVsaS1kYW4tdGFyZ2V0LWhhcmdhbnlh0gEA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"{'href': 'https://investor.id', 'title': 'Investor.ID'}",Missing,Missing
