,published_date,title,publisher,kode_emitten
0,2018-09-27,Suwarna Arta Mandiri beli saham Merdeka Copper Gold,Kontan,MDKA
1,2018-09-27,"Sah, Provident Agro (PALM) Beli Saham Merdeka Copper (MDKA)",Bisnis,MDKA
2,2018-09-27,"SRTG Jual Saham di MDKA Rp309,12 Miliar",Bisnis,MDKA
3,2018-09-30,"Kinerja Merdeka Copper Gold (MDKA) Moncer, Analis Bilang Begini",Bisnis,MDKA
4,2018-09-30,"Merdeka Copper Gold (MDKA) Kantongi Laba Bersih US$32,56 Juta",Bisnis,MDKA
5,2018-11-05,"Merdeka Copper Gold (MDKA) Beli Saham Pani Rp864,1 Miliar",Bisnis,MDKA
6,2018-11-05,"Merdeka Copper Gold (MDKA) beli saham Pani Bersama Jaya sebesar Rp 836,43 miliar",Kontan,MDKA
7,2018-11-07,Kontribusi Pani Bersama Jaya belum tampak bagi Merdeka Copper (MDKA) tahun ini,Kontan,MDKA
8,2018-12-18,"Trimitra Karya Jaya beli saham Merdeka Copper Gold Rp 222,58 miliar",Kontan,MDKA
9,2018-12-20,Saratoga (SRTG) Tambah Saham di MDKA & AGII,Bisnis,MDKA
10,2019-02-27,"Merdeka Copper Dapat Pinjaman Rp 1,75 T dari Anak Usaha",CNBC Indonesia,MDKA
11,2019-04-04,Boy Thohir Tambah Kepemilikan Saham Merdeka Copper Gold Senilai Rp 91 Miliar,Kontan,MDKA
12,2019-07-19,"Rampungkan Private Placement, Merdeka Copper Gold (MDKA) Kantongi Rp855,69 Miliar",Bisnis,MDKA
13,2019-07-19,Saham Merdeka Copper Gold (MDKA) cetak harga tertinggi sepanjang sejarah,Kontan,MDKA
14,2019-09-12,Merdeka Copper Gold Segera Mulai Pengeboran di Pani,Bisnis,MDKA
15,2019-10-22,"Usai Stock Split, Saham MDKA Malah Babak Belur",CNBC Indonesia,MDKA
16,2019-11-11,Merdeka Copper Gold (MDKA) Memacu Produksi Seiring Tingginya Harga Emas,Kontan,MDKA
17,2019-11-12,Merdeka Copper Gold (MDKA) Kucurkan Rp37 Miliar untuk Eksplorasi Tambang,Bisnis,MDKA
18,2019-11-15,Merdeka Copper (MKDA) Perbesar Target Pengerukan Emas di Tujuh Bukit,Bisnis,MDKA
19,2019-12-05,Merdeka Copper (MDKA) menyerap belanja modal US$ 120 juta sampai September 2019,Kontan,MDKA
20,2019-12-05,MDKA Serap Belanja Modal US$120 juta,Bisnis,MDKA
21,2019-12-05,Merdeka Copper (MDKA) mengejar produksi tembaga dari tambang Wetar,Kontan,MDKA
22,2019-12-05,Merdeka Copper (MDKA) menaikkan target produksi emas pada 2019,Kontan,MDKA
23,2020-01-07,MDKA dan PSAB Targetkan Transaksi JV Pani Rampung Kuartal I/2020,Bisnis,MDKA
24,2020-01-13,Mantan Dubes RI untuk AS Jadi Komisaris Merdeka Copper Gold (MDKA),Bisnis,MDKA
25,2020-02-07,"Usai Bro Sandi-Erick Ketemuan, Saham MDKA kok Tiba-tiba Naik?",CNBC Indonesia,MDKA
