,published_date,title,publisher,kode_emitten
0,2018-09-17,"Jaga Margin, Semen Indonesia (SMGR) Kerek Harga Penjualan",Bisnis,SMGR
1,2018-10-24,"SMGR Tawar Rp 28 T, Ini Daftar Peminat Saham Holcim",CNBC Indonesia,SMGR
2,2018-10-25,"Dikabarkan Mau Akuisisi Holcim, Saham SMGR Malah Turun 2,2%",CNBC Indonesia,SMGR
3,2018-11-13,"Sah! Semen Indonesia Akuisisi Holcim Senilai Rp 25,78 T",CNBC Indonesia,SMGR
4,2018-11-13,"Pasca-Caplok Holcim, Begini Valuasi Semen Indonesia",CNBC Indonesia,SMGR
5,2018-11-13,"Ini Penjelasan Holcim Indonesia, Setelah Diakuisisi SMGR",CNBC Indonesia,SMGR
6,2018-11-13,"Pasca-Akuisisi, Semen Indonesia Kuasai Pangsa Pasar 55%",CNBC Indonesia,SMGR
7,2018-11-13,"Akuisisi Holcim, SMGR Kokohkan Diri di Pasar Asia",CNBC Indonesia,SMGR
8,2018-11-13,"Semen Indonesia Utang Rp 18,97 T untuk Akuisisi Holcim",CNBC Indonesia,SMGR
9,2018-11-13,"SMGR Caplok SMCB Saat Industri Semen Suram, Kenapa?",CNBC Indonesia,SMGR
10,2018-11-13,"Alasan Semen Indonesia Akuisisi Holcim Rp 13,47 T",CNBC Indonesia,SMGR
11,2018-11-13,"LafargeHolcim Lepas Saham Holcim Indonesia (SMCB) ke Semen Indonesia (SMGR) US$1,75 Miliar",Bisnis,SMGR
12,2018-11-13,PT Semen Indonesia Industri Bangunan Jadi Calon Pengendali Baru Holcim Indonesia (SMCB),Bisnis,SMGR
13,2018-11-13,"Bos Semen Indonesia: Nilai Akuisisi Holcim Hanya Rp 13,57 T",CNBC Indonesia,SMGR
14,2018-11-14,Begini Potret Industri Semen Indonesia,CNBC Indonesia,SMGR
15,2018-11-14,Semen Indonesia Resmi Ambil Alih Holcim,CNBC Indonesia,SMGR
16,2018-11-14,"Holcim Lepas 80,6 Persen Saham, Semen Indonesia Jadi Raja di Asean",Bisnis,SMGR
17,2018-11-17,SMGR Raja Semen Baru di ASEAN yang Bergulat dengan Oversupply,CNBC Indonesia,SMGR
18,2018-11-20,"Akuisisi Holcim, pangsa pasar Semen Indonesia (SMGR) makin dominan",Kontan,SMGR
19,2018-11-28,"Akuisisi Holcim, Semen Indonesia Diganjar Credit Watch dengan Implikasi Negatif",Kontan,SMGR
20,2018-12-11,Semen Indonesia Bakal Perbesar Kapasitas Packing Plant Banjarmasin,Bisnis,SMGR
21,2018-12-12,Semen Indonesia Kaji Rencana Pengembangan Packing Plant Banjarmasin,Bisnis,SMGR
22,2019-01-09,Semen Indonesia: Akuisisi Holcim Rampung Februari,CNBC Indonesia,SMGR
23,2019-01-16,"2018, Volume Penjualan Semen Indonesia (SMGR) Tumbuh 7%",Bisnis,SMGR
24,2019-01-31,"Resmi! Saham SMCB Dicaplok SMGR, Ada Crossing Rp 12,96 T",CNBC Indonesia,SMGR
25,2019-02-04,Semen Indonesia Industri Bangunan (SIIB) Resmi Jadi Pengendali Baru Holcim (SMCB),Bisnis,SMGR
26,2019-02-11,Semen Indonesia Prediksi Konsumsi Semen Industri 4%—5% Tahun Ini,Bisnis,SMGR
27,2019-02-11,"Dicaplok SMGR, Holcim Indonesia (SMCB) Ganti Nama Jadi Solusi Bangun Indonesia",Bisnis,SMGR
28,2019-02-11,Semen Indonesia Tender Offer Saham Holcim Rp 2.097,CNBC Indonesia,SMGR
29,2019-02-11,Ini 5 Rencana Semen Indonesia Pasca Akuisisi Holcim,CNBC Indonesia,SMGR
30,2019-02-11,Semen Indonesia Bidik Ekspor 5 Juta Ton di 2019,CNBC Indonesia,SMGR
31,2019-02-28,Berita Semen Indonesia Hari Ini Terkini dan Terlengkap,Bisnis,SMGR
32,2019-03-11,"Semen Indonesia (SMGR) Kucurkan Dana Rp3,11 triliun untuk Tender Offer",Bisnis,SMGR
33,2019-04-10,Semen Indonesia akan Terbitkan Obligasi Rp 5 T,CNBC Indonesia,SMGR
34,2019-05-02,"Kinerja Q1-2019 Tak Sesuai Harapan, Saham SMGR Anjlok 4,44%",CNBC Indonesia,SMGR
35,2019-05-06,"Waduh! 3 Hari, Harga Saham Semen Indonesia Anjlok 19%",CNBC Indonesia,SMGR
36,2019-05-10,"Semen Indonesia Restatement Lapkeu 2017, Laba Turun",CNBC Indonesia,SMGR
37,2019-05-13,"Semen Indonesia Kantongi Komitmen Obligasi Rp 3,47 T",CNBC Indonesia,SMGR
38,2019-05-17,"Semen Indonesia, Indocement Akan Setop Beberapa Unit Produksi",Bisnis,SMGR
39,2019-05-20,Semen Indonesia Perkuat Produk Derivatif,CNBC Indonesia,SMGR
40,2019-05-22,Semen Indonesia Rombak Jajaran Komisaris dan Direksi,CNBC Indonesia,SMGR
41,2019-05-23,"Gantikan Holcim, Semen Indonesia Siapkan Merek Baru",CNBC Indonesia,SMGR
42,2019-05-23,"Semen Indonesia Optimistis di Semester 2, tapi Ini PR-nya",CNBC Indonesia,SMGR
43,2019-07-24,"Bayar Utang, Semen Indonesia Ngutang Lagi Rp 9,35 T",CNBC Indonesia,SMGR
44,2019-07-30,Semen Indonesia (SMGR) siap bersaing dengan pemain baru,Kontan,SMGR
45,2019-07-31,"Gara-Gara Holcim, Laba Semen Indonesia Anjlok 50%!",CNBC Indonesia,SMGR
46,2019-08-17,"Kisah IPO Semen Indonesia (SMGR), BUMN Pertama di Bursa Efek",Kontan,SMGR
47,2019-08-19,Wow! SMGR Kuasai 53% Pangsa Pasar Semen di RI,CNBC Indonesia,SMGR
48,2019-08-21,"Kelebihan Suplai, Ini Cara SMGR Bersiasat",CNBC Indonesia,SMGR
49,2019-08-21,"Makin besar setelah akuisisi SMCB, ini strategi Semen Indonesia (SMGR) selanjutnya",Kontan,SMGR
50,2019-08-21,Semen Indonesia (SMGR) Ungkap 3 Dampak Positif Pascakonsolidasi,Bisnis,SMGR
51,2019-08-23,Semen Indonesia Memperkuat Perekonomian Nasional,Bisnis,SMGR
52,2019-09-27,"Anjlok 3,2% Karena Dijual Asing, Saham SMGR Masuk Downtrend",CNBC Indonesia,SMGR
53,2019-11-08,"Reliance Sekuritas : IHSG Berpeluang Berbalik Menguat, Pantau Saham JPFA, SMGR dan BBRI",Bisnis,SMGR
54,2020-02-11,"Visi Baru, Semen Indonesia Bertransformasi Jadi SIG",Bisnis,SMGR
55,2020-02-11,Semen Indonesia (SMGR) resmi bertransformasi menjadi Semen Indonesia Group (SIG),Kontan,SMGR
56,2020-02-19,Semen Indonesia (SMGR) Akui Over Capacity Terjadi Sejak 2016,Bisnis,SMGR
57,2020-03-03,"Penjualan Semen Indonesia Group (SMGR) per Januari 2020 mencapai 3,35 juta ton",Kontan,SMGR
58,2020-03-17,Pakde Karwo Mundur dari Jabatan Komut SMGR,Bisnis,SMGR
59,2020-03-17,"Laba turun 22,3% di 2019, simak rekomendasi saham Semen Indonesia (SMGR) berikut",Kontan,SMGR
60,2020-03-17,"Beban melonjak, laba bersih Semen Indonesia (SMGR) turun 22,3% pada 2019",Kontan,SMGR
61,2020-03-17,"Laba Semen Indonesia 2019 Drop 22%, Jadi Rp 2,39 T",CNBC Indonesia,SMGR
62,2020-03-17,"Beban Keuangan Melonjak, Laba Semen Indonesia (SMGR) Turun 22,31 Persen di 2019",Bisnis,SMGR
63,2020-04-22,Perusahaan Jepang Caplok 15% Saham Anak Usaha Semen Indonesia,CNBC Indonesia,SMGR
64,2020-05-18,"Semen Indonesia Cetak Laba Q1 Rp 446 M, Saham Minus 27%",CNBC Indonesia,SMGR
65,2020-06-19,"Pasar semen masih berat, begini prospek Semen Indonesia (SMGR)",Kontan,SMGR
66,2020-06-19,Sah! Daftar Jajaran Direksi dan Komisaris Semen Indonesia (SMGR) yang Baru,Bisnis,SMGR
67,2020-06-24,"Semen Indonesia (SMGR) membagi dividen Rp 239 miliar, catat jadwalnya",Kontan,SMGR
68,2020-07-10,Semen Indonesia Adopsi Pola Baru Reklamasi di Lahan Tambang Kapur,Bisnis,SMGR
69,2020-08-26,"Industri semen terpapar pandemi, begini strategi Semen Indonesia (SMGR)",Kontan,SMGR
70,2020-08-26,"Setelah Akuisisi Holcim, Semen Indonesia (SMGR) Incar Perusahaan Lain? Direksi Beberkan Faktanya",Bisnis,SMGR
71,2020-08-26,"Antisipasi Dampak Covid-19, Ini Strategi Semen Indonesia (SMGR)",Bisnis,SMGR
72,2020-11-27,Semen Indonesia (SMGR) dan KAI menjalin kerja sama pengangkutan semen,Kontan,SMGR
73,2020-11-30,"Sabet The Most Resilient BUMN 2020, Ini Kiprah Semen Indonesia (SMGR) Sejak 1957",Bisnis,SMGR
74,2020-12-01,"Profil Hendi Prio Santoso, Bos Semen Indonesia yang Sabet The Best CEO",Bisnis,SMGR
75,2020-12-14,"Rajai Pasar, Semen Indonesia (SMGR) Raih Penghargaan Bisnis Indonesia Award 2020",Bisnis,SMGR
76,2021-01-16,"Saham-saham blue chip ini patut dicermati, di antaranya SMGR dan AKRA",Kontan,SMGR
77,2021-03-01,"Laba Semen Indonesia (SMGR) naik saat pendapatan menurun, simak kata analis",Kontan,SMGR
78,2021-03-08,"Volume penjualan Semen Indonesia (SMGR) turun 7,9% di tahun 2020",Kontan,SMGR
79,2021-03-29,Semen Indonesia (SMGR) memaksimalkan pemanfaatan limbah sisa produksi,Kontan,SMGR
80,2021-03-29,Sah! Erick Angkat Eks Bos Pupuk Indonesia Jadi Komisaris SMGR,CNBC Indonesia,SMGR
81,2021-03-30,"Semen Indonesia (SMGR) akan bagi dividen Rp 1,12 triliun dari laba tahun buku 2020",Kontan,SMGR
82,2021-04-06,"Kerja sama pembiayaan distributor mitra, Semen Indonesia (SMGR) menggandeng BNI",Kontan,SMGR
83,2021-05-04,"Penjualan Semen Drop, Laba Semen Indonesia Q1 Cuma Naik 0,08%",CNBC Indonesia,SMGR
84,2021-05-07,"Rapor Emiten Semen: SMGR, SMCB hingga INTP, Siapa Terparah?",CNBC Indonesia,SMGR
85,2021-06-04,Semen Indonesia (SMGR) luncurkan semen hidraulis tipe HE pertama di Indonesia,Kontan,SMGR
86,2021-06-08,"SMGR Ekspansi Bisnis Mortar, Begini Komentar Erick Thohir",CNBC Indonesia,SMGR
87,2021-08-04,"TCC Masuk, Semen Indonesia Group Siap Lebarkan Sayap di Pasar Global",Bisnis,SMGR
88,2021-08-04,Semen Indonesia (SMGR) dan Taiheiyo Cement Resmi Bangun Aliansi,Bisnis,SMGR
89,2021-08-04,Semen Indonesia (SMGR) resmi menjalin kemitraan dengan Taiheiyo Cement,Kontan,SMGR
90,2021-08-09,"Jadi Pesaing SMGR-INTP dkk, Semen Merah Putih IPO Rp 2,2 T",CNBC Indonesia,SMGR
91,2021-09-09,Sederet Strategi SMGR TIngkatkan Strategi Penjualan,CNBC Indonesia,SMGR
92,2021-09-09,Sederet Langkah Mitigasi SMGR Atasi Kelebihan Pasokan Semen,CNBC Indonesia,SMGR
93,2021-09-09,Strategi Semen Indonesia (SMGR) menghadapi tantangan di industri semen,Kontan,SMGR
94,2021-09-09,Semen Indonesia (SMGR) Targetkan Kinerja Tumbuh di Atas Industri,Bisnis,SMGR
95,2021-09-25,SMGR Terpilih Sebagai Outstanding Company 2021 Dari Asiamoney,CNBC Indonesia,SMGR
96,2021-10-03,Semen Indonesia (SMGR) memiliki teknik pertambangan dengan predikat terbaik,Kontan,SMGR
97,2021-10-16,KAI dan Semen Indonesia Group Luncurkan KA Angkutan Semen,Bisnis,SMGR
98,2021-10-18,PT KAI dan Semen Indonesia (SMGR) meluncurkan KA barang angkutan semen,Kontan,SMGR
99,2021-10-29,"Intip Kinerja SMGR di Bawah Hendi Prio Santoso, CEO Baru MIND ID",Bisnis,SMGR
100,2021-10-29,"Hendi ke MIND ID, Siapa Dirut Semen Indonesia Berikutnya?",CNBC Indonesia,SMGR
101,2021-11-01,"Jualan Semen Loyo, Laba Semen Indonesia Q3 Drop Jadi Rp 1,4 T",CNBC Indonesia,SMGR
102,2021-11-01,"Jadi Bos MIND ID, Hendi Prio Resign dari Semen Indonesia",CNBC Indonesia,SMGR
103,2021-11-01,"Diangkat jadi Dirut MIND ID, Hendi Prio Santoso undur diri dari Semen Indonesia",Kontan,SMGR
104,2021-11-03,"Saham SMGR Naik 500 Poin, Cek Rekomendasi Sahamnya",Bisnis,SMGR
105,2021-11-05,Grup SMGR: Mitra Kiara Indonesia Siap Luncurkan 12 Produk Mortar pada 2022,Bisnis,SMGR
