,published_date,title,publisher,kode_emitten
0,2018-09-07,"Genjot Kinerja, BRI Medan Rangkul Hipmi Sumut",Bisnis,BBRI
1,2018-09-19,BRI Gandeng Siloam Hospitals,Bisnis,BBRI
2,2018-09-28,"Anak Usaha Dicaplok BRI, Danareksa Masih Calon Holding BUMN Jasa Keuangan",Bisnis,BBRI
3,2018-10-07,BRI berikan pinjaman non cash loan US$ 200 juta ke Garuda Indonesia,Kontan,BBRI
4,2018-10-24,BRI Mengaku Tertarik Dengan Bank Banten,Bisnis,BBRI
5,2018-10-24,"Biaya dana naik, NIM BRI turun menjadi 7,61% di kuartal III-2018",Kontan,BBRI
6,2018-11-15,"Modernisasi infrastruktur, BRI akan naikkan anggaran belanja IT 10% di tahun depan",Kontan,BBRI
7,2018-11-30,BRI Agro Raih Penghargaan Bank Indonesia,Bisnis,BBRI
8,2018-12-21,Kertas Basuki Rahmat (KBRI) mencari investor demi memaksimalkan produksi,Kontan,BBRI
9,2018-12-26,"Perkuat bisnis, BRI bentuk tiga anak usaha lewat akuisisi",Kontan,BBRI
10,2018-12-27,"Akuisisi 3 Entitas, BRI Kucurkan Rp822 Miliar",Bisnis,BBRI
11,2019-01-04,Direktur BRI Dilantik Jadi Dirut Pegadaian,Bisnis,BBRI
12,2019-02-06,BRI Gandeng BPN Untuk Permudah Penyaluran Kredit,Bisnis,BBRI
13,2019-02-19,Bank BRI bidik penyaluran kredit ke BUMN tumbuh hingga 6% di tahun 2019,Kontan,BBRI
14,2019-02-24,BRI Agro luncurkan aplikasi pinjaman bank berbasis digital,Kontan,BBRI
15,2019-02-28,Berita Bri Hari Ini Terkini dan Terlengkap,Bisnis,BBRI
16,2019-03-23,Bank BRI Sabet 2 Penghargaan Bergengsi dari The Asian Banker,Bisnis,BBRI
17,2019-03-27,Ini penjelasan BRI soal pinjaman US$ 700 juta,Kontan,BBRI
18,2019-04-10,Ini Keuntungan Jadi Perusahaan Terbuka menurut BRI (BBRI),Bisnis,BBRI
19,2019-04-11,BRI Jual Uang Elektronik Brizzi Edisi Komik Tahilalats di Tokopedia,Bisnis,BBRI
20,2019-04-25,"BCA, BRI dan Mandiri masuk jajaran sepuluh bank terbesar di Asia Tenggara",Kontan,BBRI
