,published_date,title,publisher,kode_emitten
0,2018-11-26,"3 Emiten Kontraktor Tambang Moncer, INTP Cetak Kenaikan 7%",Bisnis,INTP
1,2019-01-18,Indocement (INTP) Operasikan Terminal Semen Lampung,Bisnis,INTP
2,2019-01-22,Indocement Perkuat Fasilitas Produksi di Sumatra,Kontan,INTP
3,2019-02-21,Volume penjualan semen Indocement (INTP) hampir sama dengan tahun lalu,Kontan,INTP
4,2019-03-21,KINERJA 2018 : Laba Bersih Indocement Tunggal Prakarsa (INTP) Merosot 38 Persen,Bisnis,INTP
5,2019-03-21,Empat Tahun Berturut-turut Laba Indocement Turun,CNBC Indonesia,INTP
6,2019-03-22,"Laba Turun 4 Tahun Beruntun, Begini Strategi Indocement",CNBC Indonesia,INTP
7,2019-03-22,Ini Penyebab Laba Bersih Indocement Tunggal Prakarsa (INTP) Tergerus Tajam,Bisnis,INTP
8,2019-03-23,"Laba Turun di 2018, Begini Bocoran Strategi INTP di 2019",CNBC Indonesia,INTP
9,2019-03-24,Indocement Tunggal Prakarsa (INTP) Lirik Semen Bima,Bisnis,INTP
10,2019-05-17,"Semen Indonesia, Indocement Akan Setop Beberapa Unit Produksi",Bisnis,INTP
11,2019-05-22,"AKSI EMITEN 22 MEI: Melirik Saham BUMN Usai Pilpres, INTP Incar Pertumbuhan 4 Persen",Bisnis,INTP
12,2019-05-22,"Indocement 100% Laba Jadi Dividen, Investor dapat Rp 550/unit",CNBC Indonesia,INTP
13,2019-07-08,Indocement Tunggal Prakarsa (INTP) Terbuka untuk Akuisisi Pabrik Semen,Bisnis,INTP
14,2019-07-09,Indocement Tunggal Prakarsa (INTP) Mencuil Cuan dari Tambang Batu Andesit,Bisnis,INTP
15,2019-07-23,Bos Indocement Buka Suara Soal Semen China,CNBC Indonesia,INTP
16,2019-07-29,Indocement (INTP) Optimistis Penjualan Semen Tiga Roda Bakal Lebih Baik,Kontan,INTP
17,2019-08-28,Anak usaha Indocement (INTP) mengakuisisi Semesta Perkasa dengan nilai Rp 29 miliar,Kontan,INTP
18,2020-03-17,"Corona Jadi Momok Industri Semen, Saham INTP Lebih Diunggulkan",Bisnis,INTP
19,2020-04-02,Bos Indocement Tunggal Prakarsa (INTP) Beberkan Strategi Jaga Kinerja 2020,Bisnis,INTP
20,2020-04-15,"Industri semen diprediksi lesu, begini prospek Indocement (INTP)",Kontan,INTP
21,2020-05-14,"Bidik pasar Sulawesi, Indocement Tunggal (INTP) relokasi terminal apung ke Konawe",Kontan,INTP
22,2020-05-26,"Akibat Covid-19, Indocement (INTP) Tutup Sejumlah Pabrik",Bisnis,INTP
23,2020-05-27,"Efek Corona, Indocement Tutup 7 Pabrik & Potong Gaji Direksi",CNBC Indonesia,INTP
24,2020-05-27,Ini Alasan Indocement Tutup Sementara 7 Pabrik Saat Pandemi,CNBC Indonesia,INTP
25,2020-05-27,Ini Alasan Indocement Tutup 7 Pabrik & Potong Gaji Direksi,CNBC Indonesia,INTP
26,2020-05-28,"Tutup 7 Pabrik, Indocement Ramal Penjualan Semen RI Drop 7%",CNBC Indonesia,INTP
27,2020-08-17,"Dua pemain baru masuk pasar semen, bagaimana prospek bisnis Indocement (INTP)?",Kontan,INTP
28,2020-09-23,Indocement (INTP) akan kecipratan untung dari pembangunan Pelabuhan Patimban,Kontan,INTP
29,2020-10-22,"Saham LQ45: IHSG loyo, INTP naik 8 hari, ASII naik 3 hari, LPPF, MNCN turun 3 hari",Kontan,INTP
30,2020-10-23,"Penjualan semen mulai pulih, simak rekomendasi saham Indocement (INTP)",Kontan,INTP
31,2020-11-03,Indocement (INTP) Mengoperasikan Tambang Andesit Baru,Kontan,INTP
32,2020-11-12,"Ekspor Indocement (INTP) Melesat 464 Persen, Ini Penyebabnya",Bisnis,INTP
33,2020-11-12,"Produsen Semen Tiga Roda, Indocement (INTP) Genjot Penjualan Home Base",Bisnis,INTP
34,2021-03-19,"Pandemi 2020, Laba Indocement Drop Jadi Rp 1,8 T",CNBC Indonesia,INTP
35,2021-03-19,"Turun tipis, Indocement (INTP) bukukan laba bersih Rp 1,80 triliun di 2020",Kontan,INTP
36,2021-03-19,"Indocement Pede Jualan Semen Tahun Ini Naik 5%, Ini Alasannya",CNBC Indonesia,INTP
37,2021-03-19,Kinerja 2020: Laba Indocement (INTP) Turun Tipis Tertekan Penjualan,Bisnis,INTP
38,2021-03-24,Indocement (INTP) Kenalkan Semen Hidrolik Ramah Lingkungan,Bisnis,INTP
39,2021-05-03,"Masih Tertekan, Laba Bersih Indocement Drop 12% di Q1",CNBC Indonesia,INTP
40,2021-05-07,"Rapor Emiten Semen: SMGR, SMCB hingga INTP, Siapa Terparah?",CNBC Indonesia,INTP
41,2021-05-18,"Permintaan Semen Naik, Saham Indocement Tunggal Prakarsa (INTP) bisa Dilirik",Kontan,INTP
42,2021-06-06,"Hari Lingkungan Hidup Sedunia 2021, Indocement Lakukan Penanaman Pohon",Bisnis,INTP
43,2021-07-08,Indocement (INTP) alokasikan seluruh laba bersih tahun 2020 sebagai dividen,Kontan,INTP
44,2021-07-08,"Gelar RUPS, Indocement (INTP) tebar dividen final Rp 725 per saham",Kontan,INTP
45,2021-08-04,"Masih Pandemi, Laba Indocement Semester I Tembus Rp 587 M",CNBC Indonesia,INTP
46,2021-08-09,"Jadi Pesaing SMGR-INTP dkk, Semen Merah Putih IPO Rp 2,2 T",CNBC Indonesia,INTP
47,2021-08-23,"Indocement Buka Lowongan Kerja Lulusan S1, Cek Syarat dan Cara Daftarnya!",Bisnis,INTP
48,2021-10-20,"Indocement (INTP) Bersaing Ketat di Jawa Barat, Ini Rekomendasi Sahamnya",Bisnis,INTP
49,2021-10-27,"Indocement (INTP) Luncurkan 3 Produk Baru, Investasi Rp44,5 Miliar",Bisnis,INTP
50,2021-10-27,"Indocement (INTP) Luncurkan Tiga Produk Baru, Investasinya Rp44,5 Miliar",Bisnis,INTP
51,2021-10-27,Indocement Tunggal (INTP) meluncurkan tiga produk baru,Kontan,INTP
52,2021-10-28,"Luncurkan tiga produk baru, Indocement (INTP) sasar pasar Jabar-Banten terlebih dulu",Kontan,INTP
53,2021-11-08,"Bakal Dapat Harga Batu Bara Khusus, Indocement (INTP) Untung?",Bisnis,INTP
54,2021-12-06,"Harga sudah turun 23,5% sejak awal tahun, begini arah saham Indocement (INTP)",Kontan,INTP
55,2022-01-20,Indocement (INTP) Catat Volume Penjualan Semen Tahun 2021 Sebanyak 17 Juta Ton,Kontan,INTP
56,2022-01-28,"IDX High Dividend 20 Dirombak, BEI Keluarkan DMAS hingga INTP, ANTM hingga MPMX Masuk",Bisnis,INTP
57,2022-01-30,Indocement Tunggal Prakarsa Akui Kebijakan Zero ODOL Bisa Pengaruhi Distribusi Semen,Kontan,INTP
58,2022-03-07,Volume Penjualan Indocement Tunggal Prakarsa (INTP) Naik 6% di Januari 2022,Kontan,INTP
59,2022-03-21,Indocement Perpanjang Periode Buyback Saham,Bisnis,INTP
60,2022-03-24,"Pendapatan Indocement Tunggal (INTP) Naik 4,13% Sepanjang 2021",Kontan,INTP
61,2022-03-25,"Industri Semen Belum Pulih, Tengok Laba Indocement Drop",CNBC Indonesia,INTP
62,2022-05-15,"ADMR-AMRT-INCO Masuk MSCI Global Standard Index, INTP Keluar",CNBC Indonesia,INTP
63,2022-05-25,Indocement (INTP) Bagikan Dividen Rp 500/Saham Pada 24 Juni,CNBC Indonesia,INTP
64,2022-05-25,"Indocement Tunggal Prakarsa (INTP) Tebar Dividen, Ini Besarannya",Kontan,INTP
65,2022-06-15,Berikut Rekomendasi Saham Indocement (INTP) yang Dibayangi Kenaikan Beban,Kontan,INTP
66,2022-07-08,"Duh Kacau, Saham INTP Terus Longsor! Ada Apa?",CNBC Indonesia,INTP
67,2022-07-21,Berikut Kemajuan Proyek RDF Milik Indocement Tunggal Prakarsa (INTP),Kontan,INTP
68,2022-08-11,"Tingkatkan Efisiensi, Pabrik Tarjun Indocement Beralih ke Listrik PLN",Kontan,INTP
69,2022-08-19,"Kinerja di Bawah Ekspektasi Analis, Simak Rekomendasi Saham Indocement (INTP)",Kontan,INTP
70,2022-08-19,"Laba Indocement Anjlok 50,3% di Semester I, Prospek Suram?",CNBC Indonesia,INTP
71,2022-09-05,"Tunjang Penjualan di Luar Jawa, Indocement (INTP) Menyewa Aset Semen Bosowa Maros",Kontan,INTP
72,2022-09-06,"Harga Batu Bara Meroket, Indocement (INTP) Tak Terdampak Signifikan",Bisnis,INTP
73,2022-09-07,"Gandeng Bosowa Maros, Indocement Tunggal (INTP) Optimistis Target Kinerja Tercapai",Kontan,INTP
74,2022-09-08,"Gandeng Semen Bosowa, Indocement (INTP) Memperkuat Pasar Indonesia Timur",Kontan,INTP
75,2022-09-11,Update Hak Jawab Emiten Utama Radar Cahaya dan INTP,CNBC Indonesia,INTP
76,2022-10-25,Begini Dampak Buyback Saham Terhadap Kinerja Indocement (INTP),Kontan,INTP
77,2022-10-26,Historia Bisnis: Robohnya Indocement (INTP) dari Tangan Grup Salim,Bisnis,INTP
78,2022-11-23,"Tekan Emisi, Indocement (INTP) Gencarkan Penggunaan Semen Hijau Ramah Lingkungan",Kontan,INTP
79,2022-12-17,Volume Penjualan Semen Indocement (INTP) Turun 10% di Periode Oktober 2022,Kontan,INTP
80,2022-12-21,Pertagas Akan Pasok 9.000 MMBTUD Gas Bumi untuk Indocement (INTP),Bisnis,INTP
81,2023-01-06,Historia Bisnis: Sangkutan Grup Salim di Indocement (INTP) Sebelum Dilepas ke Asing,Bisnis,INTP
82,2023-01-27,Margin Indocement Tunggal Prakasa (INTP) Kian Tebal Usai Dapat Batubara DMO,Kontan,INTP
83,2023-01-29,Indocement Tunggal Prakarsa (INTP) Merilis Produk Semen Ramah Lingkungan,Kontan,INTP
84,2023-02-16,"Harga Batu Bara Acuan Turun, Indocement (INTP): Berdampak Positif Bagi Industri Semen",Bisnis,INTP
85,2023-03-03,"Indocement (INTP) Catat Penjualan 1,45 Juta Ton per Januari 2023",Bisnis,INTP
86,2023-03-07,"Emiten Semen Didukung Pembangunan IKN, Simak Rekomendasi Saham SMGR dan INTP",Kontan,INTP
87,2023-03-08,"Proyek IKN Untungkan Industri Semen, INTP Belum Layak Beli?",CNBC Indonesia,INTP
88,2023-03-28,Pendapatan dan Laba Bersih Indocement (INTP) Kompak Naik di Tahun 2022,Kontan,INTP
89,2023-03-28,"Laba Semen Tiga Roda, Indocement (INTP) Tembus Rp1,84 Triliun 2022",Bisnis,INTP
90,2023-03-30,"Laba Emiten Semen Masih Kokoh di 2022, Pilih Mana, INTP atau SMGR?",Kontan,INTP
91,2023-03-30,"Indocement (INTP) Sebut Realisasi Buyback Saham Tembus Rp2,7 Triliun",Bisnis,INTP
92,2023-03-30,Indocement (INTP): Pasar Semen di Indonesia Kelebihan Pasokan 54 Juta Ton pada 2022,Bisnis,INTP
93,2023-03-31,Indocement (INTP) Target Penjualan Semen Naik 4 Persen pada 2023,Bisnis,INTP
94,2023-04-08,Simak Rekomendasi Saham Indocement Tunggal Prakarsa (INTP) dari Analis Berikut,Kontan,INTP
95,2023-04-09,"Simak Rekomendasi Saham Emiten Sektor Semen : INTP, SMGR, SMBR dan CMNT",Kontan,INTP
96,2023-04-11,"Februari 2023, Kinerja Penjualan Indocement (INTP) Tumbuh 3 Persen",Bisnis,INTP
97,2023-04-27,"Indocement (INTP) Jual 4 Juta Ton Semen Kuartal I/2023, Naik Tipis",Bisnis,INTP
98,2023-05-07,Ini Strategi Indocement Tunggal (INTP) yang Incar Penjualan Semen Naik Hingga 4%,Kontan,INTP
99,2023-05-09,"Indocement (INTP) Resah, Produksi Semen Surplus Tapi Tak Terserap",Bisnis,INTP
100,2023-05-09,Indocement (INTP) Catatkan Ekspor Hingga 156.000 Ton Semen per Kuartal I/2023,Bisnis,INTP
101,2023-05-10,Indocement (INTP) Dorong Penggunaan Semen Hijau di IKN,Bisnis,INTP
102,2023-05-14,Indocement (INTP) Antisipasi Kenaikan Permintaan Semen Usai Libur Lebaran,Kontan,INTP
103,2023-05-17,"Indocement (INTP) Tebar Dividen Rp548,97 Miliar, Turun 69,15 Persen",Bisnis,INTP
104,2023-05-17,"Indocement (INTP) Bagi-Bagi Dividen Rp548,97 Miliar",CNBC Indonesia,INTP
105,2023-05-18,"Indocement (INTP) Bagikan Dividen Rp 548,97 Miliar, Catat Jadwalnya",Kontan,INTP
106,2023-05-19,"Jadwal Indocement (INTP) Guyur Dividen Rp548,9 Miliar",Bisnis,INTP
107,2023-05-21,"Simak Jadwal Pembayaran Dividen Indocement (INTP) Senilai Rp 548,97 Miliar",Kontan,INTP
108,2023-05-22,Menanti Tuah Saham Indocement (INTP) di Tengah Suramnya Utilisasi Pabrik Semen,Bisnis,INTP
109,2023-05-24,"Penjualan Semen di April 2023 Melemah, Begini Rekomendasi Saham INTP dan SMGR",Kontan,INTP
110,2023-06-18,"Turun di April 2023, Indocement (INTP) Yakin Target Penjualan Semen Tercapai",Kontan,INTP
111,2023-06-27,Indocement (INTP) Terima Sampah Perdana untuk Bahan Bakar Alternatif,Kontan,INTP
112,2023-07-12,"Harga Batubara Makin Anjlok, SMGR-INTP Full Senyum!",CNBC Indonesia,INTP
113,2023-07-17,"Pasar Semen Jenuh, Indocement (INTP) Menyiapkan Terobosan Produk Baru",Kontan,INTP
114,2023-07-17,Secercah Harapan Saham Semen INTP & SMGR,Bisnis,INTP
115,2023-08-01,Volume Penjualan Indocement (INTP) Naik 4% di Semester I-2023,Kontan,INTP
116,2023-08-01,Laba Indocement (INTP) Melesat 139 Persen pada Semester I 2023,Bisnis,INTP
117,2023-08-03,"Laba Bersih Meroket 139%, Saham INTP Melesat 5% Lebih",CNBC Indonesia,INTP
118,2023-08-03,Di Balik Rambu Kuning dan Aksi Jual JP Morgan di Saham Semen SMGR & INTP,Bisnis,INTP
119,2023-08-04,"Semester I/2023, Indocement (INTP) Catatkan Penjualan 8,36 Juta Ton Semen dan Klinker",Kontan,INTP
120,2023-08-28,Prawiratno Jadi Bos Anak Usaha INTP Mineral Industri Sukabumi,CNBC Indonesia,INTP
121,2023-08-30,"Ciri Kepribadian INTP, Ini Kelebihan dan Kekurangannya",Bisnis,INTP
122,2023-09-11,Indocement (INTP) Gandeng Krakatau Posco untuk Penuhi Bahan Baku Semen Hijau,Kontan,INTP
123,2023-09-12,"Kinerja Industri Semen Diprediksi Kokoh pada 2024, Cek Rekomendasi INTP dan SMGR",Kontan,INTP
124,2023-09-13,Ini Strategi Indocement Tunggal Prakarsa (INTP) untuk Kerek Penjualan Semen,Kontan,INTP
