index,title,sentiment,kode_emiten
1,Pundi-pundi Konglomerat di Lapak Bursa Karbon Indonesia - Bisnis.com,0,ADRO
2,"IHSG Diprediksi Lanjut Menguat, Cek Saham AKRA, MDKA, PGEO & TLKM - Bisnis.com",1,ADRO
3,"Indeks Bisnis-27 Melemah Awal Pekan, Saham AMRT, AKRA & INTP Justru Cuan - Bisnis.com",1,ADRO
4,"IHSG Dibuka Menguat, Saham CUAN, ASII, hingga AMMN Melesat Pagi Ini - Bisnis.com",1,ADRO
5,Profil Tambang MUTU yang Bikin CUAN Milik Prajogo Pangestu Kepincut - Bisnis.com,0,ADRO
6,"Harga Emas Pegadaian Mandek Awal Pekan, Borong sebelum Naik - Bisnis.com",1,ADRO
7,"Cek Rapor Pergerakan IHSG 4 Musim Pemilu Terakhir, Cuan atau Boncos? - Bisnis.com",0,ADRO
8,"IHSG Bisa Bertahan di Atas 7.000 Besok, Cek Rekomendasi Sahamnya - Bisnis.com",1,ADRO
9,Mitratel (MTEL) Sebut Layanan Starlink Penting - Bisnis.com,0,ADRO
10,"Saham-Saham Favorit Investor Asing, AMMN, TLKM, BBCA Jawara - Bisnis.com",1,ADRO
11,Presiden Jokowi Akan Resmikan Bursa Karbon Indonesia pada 26 September - Bisnis.com,0,ADRO
12,"Grup Indika (INDY) Raih Kredit Rp769,15 miliar dari Bank DBS - Bisnis.com",1,ADRO
13,"Saham-Saham Paling Rontok Sepekan, Ada RELF-MSKY - Bisnis.com",-1,ADRO
14,"Saham-Saham Paling Cuan Sepekan saat IHSG Tembus 7.000, Ada yang Naik 86 Persen! - Bisnis.com",1,ADRO
15,"IHSG Melaju ke 7.016,84, Grup Salim (META) Puncaki Top Gainers Sepekan - Bisnis.com",1,ADRO
16,"Daftar 10 Saham Top Losers Pekan Ini, Emiten Hary Tanoe (MSKY) Masuk - Bisnis.com",-1,ADRO
17,"Harga Minyak Mendingin, Efek Sinyal Hawkish the Fed dan Larangan Ekspor BBM Rusia - Bisnis.com",-1,ADRO
18,Tiga Alasan Utama Gen-Z Harus Melek Investasi Sejak Dini - Bisnis.com,0,ADRO
19,"IHSG Ditutup 7.016, Saham META, AHAP & DOOH Melambung 30 Persen - Bisnis.com",1,ADRO
20,"10 Top Gainers Hari Ini, Saham DOOH hingga META Pesta Pora - Bisnis.com",1,ADRO
21,"IHSG Diprediksi Lanjut Koreksi Kala Suku Bunga Ditahan, Cermati Saham ICBP, KLBF & CPIN - Bisnis.com",-1,ADRO
22,Bisakah IHSG Menguat saat The Fed dan BI Tahan Suku Bunga? Cek 4 Saham Ini - Bisnis.com,0,ADRO
23,Multivision Plus (RAAM) Akuisisi 30 Persen Saham B-Universe - Bisnis.com,1,ADRO
24,"Profil Keluarga Tjajadi Pemilik Best Agro, Pecah Konflik Warga Seruyan - Bisnis.com",0,ADRO
25,"Indeks Bisnis-27 Dibuka Menguat, Saham INKP, AKRA, hingga ICBP Dorong Penguatan - Bisnis.com",1,ADRO
26,"Bursa Karbon Segera Meluncur, Emiten LVV (MUTU) Rambah Pasar China - Bisnis.com",1,ADRO
27,Menilik Larangan Ekspor Solar Rusia dan Dampaknya ke Asia - Bisnis.com,-1,ADRO
28,"Sumber Global Energy (SGER) Gelar RUPS Bulan Depan, Siap Bagi Dividen Lagi - Bisnis.com",1,ADRO
29,Optimisme Adaro ADRO Kala Batu Bara Rusia & Australia Serbu China - Bisnis.com,1,ADRO
30,"The Fed Rem Suku Bunga, Saham VALE, PGAS dan UNTR Berpotensi Topang IHSG - Bisnis.com",1,ADRO
31,"IHSG Dibuka Melemah Usai The Fed Tahan Suku Bunga, Saham BBCA, BBRI, BMRI Paling Laris - Bisnis.com",-1,ADRO
32,"IHSG Diprediksi Lanjut Menguat Tersengat Suku Bunga The Fed, 4 Saham Ini Bisa Cuan - Bisnis.com",1,ADRO
33,"Indeks Bisnis-27 Dibuka Melemah, Saham AKRA, MAPI, AMRT Jadi Beban - Bisnis.com",-1,ADRO
34,"Jatuh Tempo Utang Waskita (WSKT) Rp941 Miliar Menghitung Hari, Sanggup Bayar? - Bisnis.com",-1,ADRO
35,"Permintaan Batu Bara Membaik, Simak Rekomendasi Saham Harum Energy (HRUM) - Bisnis.com",1,ADRO
36,"Grup Sinarmas DSSA Lego 30,5 Miliar Saham Smartfren (FREN), Raup Rp2,4 Triliun - Bisnis.com",1,ADRO
37,Kereta Cepat Jakarta-Bandung jadi Alasan WIKA Raih PMN Rp6 Triliun - Bisnis.com,1,ADRO
38,"BI Tahan Suku Bunga, Saham Properti Jumbo Melemah - Bisnis.com",-1,ADRO
39,PGN (PGAS) Berencana Bangun Hub LNG di Nusa Dua Bali - Bisnis.com,0,ADRO
40,"Indeks Bisnis-27 Ditutup Melemah, Saham Boy Thohir (BFIN), MTEL, ASII Loyo - Bisnis.com",-1,ADRO
41,Harga Emas Antam Hari Ini di Pegadaian Diskon Usai The Fed Tahan Suku Bunga - Bisnis.com,0,ADRO
42,"IHSG Sesi I Melemah Tinggalkan Level 7.000, Saham META, MSIN & HITS Melesat - Bisnis.com",1,ADRO
43,"10 Saham Paling Banyak Dilego Asing saat IHSG Merah, BMRI hingga GOTO - Bisnis.com",-1,ADRO
44,"The Fed Tahan Suku Bunga, IHSG Menuju ke 7.030 Jelang RDG BI - Bisnis.com",0,ADRO
45,"Peluang Rebound IHSG Terbuka, Analis Jagokan Saham ADRO, AMRT hingga INDF - Bisnis.com",1,ADRO
46,"Indeks Bisnis-27 Naik Bareng IHSG, Saham Boy Thohir (BFIN) Melesat - Bisnis.com",1,ADRO
47,Rekomendasi Saham dan Pergerakan IHSG Hari Ini Dipengaruhi The Fed dan RDG BI - Bisnis.com,1,ADRO
48,"Wall Street Jatuh setelah The Fed Tahan Suku Bunga 5,25-5,50 Persen - Bisnis.com",-1,ADRO
49,"IHSG Ditutup Menguat ke 7.011, Saham TLKM-BBCA Hijau - Bisnis.com",1,ADRO
50,"Saham Energi & Metal Bersinar Semester II/2023, Waktunya Rotasi Sektor? - Bisnis.com",1,ADRO
51,"Potensi Cuan Akhir Tahun dari Dividen Interim, Cek Emiten Ini - CNBC Indonesia",1,ADRO
52,Cerita Adaro dari BUMN Spanyol Hingga Polemik Rebutan Saham - CNBC Indonesia,0,ADRO
53,"Harga Batu Bara Jeblok, Tapi 13 Saham Ini Malah Meroket - CNBC Indonesia",1,ADRO
54,Asing Terciduk Kompak Lego 10 Saham Ini Kala IHSG Melemah - CNBC Indonesia,-1,ADRO
55,"IHSG Merana, Asing Jual Saham Bank Pelat Merah - CNBC Indonesia",-1,ADRO
56,Asing Buang Saham Big Bank Sepanjang Perdagangan Pekan Lalu - CNBC Indonesia,-1,ADRO
57,Asing Terciduk Borong 10 Saham Ini Kala IHSG Menguat Tipis - CNBC Indonesia,1,ADRO
58,3 Perusahaan RI Ini Siap Jual Listrik ke Singapura - CNBC Indonesia,0,ADRO
59,"Net Sell Rp881 M, Asing Lagi-lagi Lepas Saham Big Bank RI - CNBC Indonesia",-1,ADRO
60,10 Saham Ini Ramai-ramai Dilepas Asing Meski IHSG Hijau - CNBC Indonesia,-1,ADRO
